elements
Ac
Al
Ar
Be
C
Ca
Ce
Co
Cr
Cs
Cu
Dy
Er
Eu
Fe
Gd
He
Hf
Ho
Ir
K
Kr
La
Li
Lu
Mn
Mo
Nb
Nd
Ne
Ni
Np
Os
Pa
Pm
Pr
Pu
Rb
Re
Rh
Ru
Sc
Sm
Sr
Ta
Tb
Tc
Th
Ti
Tm
U
V
W
Xe
Y
Yb
Zr
