Li-Tl
Li-Pr
Li-Cr
Li-Dy
Na-Li
Li-Mg
Li-Si
Li-Be
Li-Al
Li-Rh
Li-La
Li-P
Li-Ge
K-Li
Li-O
Li-Pb
Li-Sb
Li-Sn
Li-Fe
Li-Th
Li-S
Li-Ag
Li-Tc
Sr-Li
Li-Sm
Li-Ga
Li-H
Li-Ce
Li-Ir
Li-N
Li-Cd
Li-Hg
Li-Gd
Li-Nb
Li-Pd
Li-Te
Li-Zn
Rb-Li
Li-B
Li-Yb
Li-Cl
Li-C
Li-Re
Li-Au
Li-I
Li-Ni
Li-Y
Li-Eu
Li-In
Li-As
Li-Ca
Li-Cu
Li-Tm
Li-Ac
Li-Se
Li-Tb
Li-Pu
Li-Co
Li-Pt
Li-F
Li-Pm
Li-Er
Li-Br
Li-W
Ba-Li
Li-Lu
Li-Hf
Li-Np
Li-Mo
Li-Bi
Li-Ho
Li-Sc
Li-Nd
Li-Zr
