Li-Zr-V-P-O
Cs-Na-Li-B-O
Ba-Li-Ti-Nb-O
Li-B-P-C-O
Li-Ti-Cr-P-O
Rb-Li-V-P-O
Li-Fe-P-C-O
Li-Tl-P-C-O
Li-Cr-Ni-S-O
Li-Mn-Fe-Cu-O
Li-Mn-V-P-O
Li-Cr-P-H-O
Li-Cu-Bi-P-O
Li-Mn-Fe-B-O
Li-Fe-P-H-O
Li-V-Fe-Ni-O
Li-Ni-P-W-O
Li-V-Cr-Sn-O
Li-Co-P-O-F
Li-Mn-H-S-O
Li-Mn-Cr-Co-O
Li-Mn-Cu-Ru-O
Li-Ni-P-C-O
Li-Nd-Sb-Te-O
Li-Sc-Fe-Si-O
Li-Ti-Cr-Fe-O
Li-Ti-Nb-Ni-O
Li-Nb-Fe-Te-O
Li-Cr-Fe-P-O
Li-V-Bi-P-O
Li-Al-Si-N-O
Li-Mn-P-C-O
Li-Mn-Nb-Sb-O
Li-Ti-Cu-W-O
Li-Mn-P-O-F
Li-Mn-V-Cr-O
Li-Mn-Sn-Te-O
Sr-Li-In-B-O
Li-H-S-N-O
Li-V-Cr-Co-O
Li-V-Sb-P-O
Li-Co-P-C-O
Li-Sb-P-C-O
Li-Mg-P-C-O
Li-Nb-V-Ni-O
Rb-Li-B-P-O
Li-V-Si-Ge-O
Li-Fe-Ni-Sn-O
Li-Ti-V-Cu-O
Sr-Li-Ti-Cr-O
Li-Mn-Al-H-O
Na-Li-Fe-Si-O
Li-V-Fe-Cu-O
Li-Fe-Co-Sn-O
Li-Fe-Bi-Te-O
Li-Bi-B-S-O
Li-Al-Cr-Sb-O
Li-Mn-Nb-W-O
Li-Ti-Mn-Cr-O
Li-V-P-H-O
Li-Mn-P-H-O
Cs-Li-H-S-O
Li-Mn-Fe-P-O
Li-Fe-Si-B-O
Li-Mg-Sc-Si-O
Li-Cr-Ni-Te-O
Li-Co-Cu-P-O
Li-V-Cr-Ni-O
Li-Cr-Co-P-O
Li-Be-P-I-O
Rb-Li-Co-C-N
Li-Al-Si-Cl-O
Li-Fe-B-P-O
Li-Si-Bi-C-O
Li-Sb-As-C-O
Li-Fe-Cu-Sn-O
Rb-Li-Fe-Mo-O
Li-Ti-Ni-Sn-O
Li-Fe-P-O-F
Li-Fe-H-S-O
Li-Fe-As-C-O
Li-V-Ni-Sn-O
Li-Mn-H-Se-O
K-Li-Y-Mo-O
Li-Nd-Tl-Mo-O
Rb-Li-Al-Mo-O
Li-Ga-P-O-F
Cs-Li-Fe-C-N
Li-Fe-B-Pb-O
Li-Cr-B-As-O
Li-Cr-P-C-O
Li-Mn-Fe-Sn-O
Li-B-P-Pb-O
Li-In-Fe-P-O
Li-V-Ni-P-O
Li-Co-Cu-Te-O
Li-Cr-C-S-O
Li-Ti-Ni-P-O
Li-Mg-Cu-Si-O
Li-Fe-Co-Sb-O
Li-Cr-Fe-Sn-O
Cs-Ba-Li-P-O
K-Li-Lu-Mo-O
Li-Fe-Sb-W-O
Li-Ti-Fe-Te-O
Li-V-Cr-P-O
Li-V-S-O-F
Li-Mn-Sb-P-O
Li-Fe-Cu-Sb-O
Li-Mn-Co-W-O
Li-Ti-Co-Sn-O
Li-Mg-H-Cl-O
Li-As-H-C-O
Li-Zn-Fe-P-O
Li-Ni-Sn-P-O
Li-Si-P-C-O
Li-Si-Sb-C-O
Rb-Na-Li-Ti-O
Li-Cr-Te-W-O
Li-H-Ru-Cl-O
Li-Nb-Te-Cl-O
Li-Mn-Co-Sb-O
Na-Li-V-H-O
Cs-Li-Al-Mo-O
Li-Cu-Ni-P-O
Li-V-Fe-P-O
Li-Zn-P-H-O
Sr-Li-La-Ti-O
Li-Ni-P-H-O
Li-Nd-P-C-O
Li-Mn-Co-Cu-O
Li-Mn-Ni-P-O
Li-V-Si-C-O
Li-Cr-Cu-P-O
K-Li-Nd-B-O
Li-Co-H-C-O
Li-Mn-As-C-O
Li-Fe-Co-Ni-O
Li-Cr-Cu-Sb-O
Li-Mg-P-O-F
Li-Ti-Mn-Fe-O
Li-Co-C-S-O
Li-Cr-H-Cl-O
Li-Nb-H-O-F
Li-V-Co-Cu-O
Li-Mn-V-Cu-O
Li-Ti-V-Co-O
Li-Fe-Cu-C-N
Li-Ti-P-C-O
Li-V-Cr-Te-O
Li-Sb-P-O-F
K-Li-Tm-Mo-O
Li-La-Nd-Sb-O
Li-Ti-Mn-Sb-O
Li-Fe-Ni-Sb-O
Li-Y-Ti-S-O
Na-Li-B-H-N
Li-Al-Si-H-O
Ba-Li-Pr-Te-O
Rb-Li-Si-Ni-O
Li-Zr-H-N-F
Li-C-S-O-F
Li-Mn-Fe-Co-O
Li-Ti-V-Sn-O
Li-Tl-P-H-O
Li-V-Fe-Sb-O
Ba-Li-B-H-O
Li-Ti-Ni-Te-O
Li-Mn-Nb-P-O
Li-Nd-B-O-F
Na-Li-Mo-H-O
Li-Ti-Fe-Sb-O
Li-Ti-Cr-S-O
Li-Sm-P-C-O
Li-V-Sn-Te-O
Li-Ti-Fe-W-O
Li-Cu-H-S-O
Na-Li-Al-Si-O
Na-Li-Y-Si-O
Rb-Li-Bi-Mo-O
Li-Fe-Co-P-O
Li-Ti-Cr-Sb-O
Li-Ti-Mn-V-O
Rb-Li-Cr-B-O
Li-Ti-Sn-P-O
Li-Ti-Mn-Co-O
Li-Sb-S-O-F
Li-Zn-P-C-O
Na-Li-Ga-Si-O
Li-V-P-C-O
Li-Mn-Fe-W-O
Li-Cu-Ni-W-O
Li-Ni-C-S-O
Sr-Li-Nb-Fe-O
Li-Co-Ni-P-O
Li-Nb-V-P-O
Li-Mn-V-Fe-O
Li-Sc-P-H-O
Sr-Li-Eu-Te-O
Li-Cr-P-O-F
Li-Nb-Co-Ni-O
Cs-Li-B-P-O
K-Li-H-S-O
Li-Zr-P-C-O
Li-Mn-C-O-F
Li-Cr-As-C-O
Li-Ti-V-Cr-O
Li-Cr-Ni-Sn-O
Li-Ni-P-O-F
Li-Mn-Fe-Te-O
Li-V-Si-P-O
Li-Ti-Mn-Cu-O
Li-V-P-O-F
Na-Li-V-O-F
Li-Sb-P-H-O
Li-Cr-Cu-Te-O
Li-Si-Sn-C-O
Li-Cr-Sn-Sb-O
Li-Cr-Ni-Sb-O
Li-Cr-Fe-W-O
Ba-Na-Li-B-O
Li-Mg-Al-S-O
Li-Cr-Ni-P-O
Li-Ti-Co-P-O
Li-Nb-Fe-P-O
Li-Ti-Fe-Ni-O
Li-Nb-Co-Sn-O
Li-La-Ti-Nb-O
Li-Ga-Te-H-O
Li-Ca-B-O-F
Li-Co-P-H-O
Li-Cr-Sb-W-O
Na-Li-Mg-Si-O
Li-Nb-Fe-W-O
Li-Ti-V-Fe-O
Li-Mn-Co-Ni-O
Li-Fe-Te-W-O
Li-Ti-Mn-P-O
Li-Cr-Co-Sn-O
Li-Ti-Fe-P-O
Li-Mg-Zn-B-H
Rb-Li-Ga-B-O
K-Li-Nb-P-O
Rb-Li-H-S-O
Li-Zr-Nb-Te-O
Li-Si-P-S-Cl
Li-Ca-Pr-Te-O
Li-Al-Ge-Cl-O
Li-Co-Sb-P-O
Li-Nb-Sn-P-O
Li-Co-Sn-P-O
Sr-Li-Cu-P-O
Li-Sb-Te-W-O
Li-Mn-V-Ni-O
Na-Li-Cu-P-O
Li-Fe-Ni-P-O
Li-P-W-O-F
Li-Bi-As-C-O
Li-Ti-Cr-Ni-O
Rb-Li-B-O-F
Li-V-Co-Ni-O
Li-Nb-Cr-P-O
Li-Ti-Sb-P-O
Li-Pr-C-N-F
Ba-Li-V-P-O
Li-Mn-Cr-Sb-O
Na-Li-Cu-Br-O
Li-Cu-P-H-O
Li-Fe-Ni-Te-O
Li-Al-H-Br-O
Li-Sn-C-S-O
Li-V-Cr-Fe-O
Li-Cu-B-Pb-O
Li-Ti-Mn-Te-O
Li-Ti-Nb-Co-O
Li-Ti-Fe-Co-O
K-Li-P-H-O
Cs-K-Li-Ga-F
Sr-Li-La-Fe-O
Li-Nb-Fe-Co-O
Li-V-B-P-O
Li-Ti-Co-W-O
Li-Cr-Co-Sb-O
Li-Co-Cu-W-O
Li-Ti-V-P-O
Li-Cr-Fe-Ni-O
Li-Al-P-H-O
Li-Mn-Si-B-O
Li-Mn-Cr-Te-O
Li-Ti-Nb-Cu-O
Ba-Li-Ho-W-O
Ba-Li-V-Cl-O
Li-Sn-B-P-O
Rb-Li-H-Se-N
Li-V-H-O-F
Li-Mn-Co-P-O
Ba-Li-Ti-Sb-O
Li-Mn-Si-C-O
Li-Mn-Co-Te-O
Li-Fe-Cu-P-O
Li-Cr-Fe-Sb-O
Li-Fe-Co-W-O
Cs-Na-Li-Ge-O
Rb-Na-Li-Si-O
Li-Cr-Si-C-O
Li-Cr-Fe-Co-O
Li-Ti-Nb-Cr-O
Li-Nb-V-Fe-O
Li-Ti-Ni-Sb-O
Li-Mn-Cr-Fe-O
Li-Cr-Si-B-O
Li-Zn-S-O-F
Li-V-Co-Sb-O
Li-Cr-H-S-O
Rb-Li-Zn-Mo-O
Li-As-H-S-O
Li-Mg-Fe-P-O
Li-Mn-V-W-O
Li-Mn-Cu-Sn-O
Li-Ti-Mn-Sn-O
Li-Mn-Fe-Ni-O
Li-Fe-C-S-O
Li-Nb-Co-P-O
Li-B-H-O-F
Cs-Li-Cr-C-N
Li-Mn-Cu-Sb-O
Li-Ce-B-H-Cl
Ba-Li-La-Te-O
Li-Nb-Ni-Sn-O
Li-Fe-Si-C-O
Li-Mg-B-H-N
Li-V-Co-W-O
Li-Fe-Co-Cu-O
Sr-Li-Be-B-O
Li-La-S-O-F
Sr-Li-Nb-O-F
Li-Fe-Sn-Sb-O
Li-Mn-H-O-F
Li-Al-H-Cl-O
Li-Cr-Sb-P-O
Li-Mn-Cr-P-O
Li-Sn-As-C-O
Li-Ca-Re-N-O
Li-Mn-Co-Sn-O
Li-Cr-Bi-Te-O
