Li-Sm-Sn
Li-Sc-Cd
Ba-Li-Tl
Li-Co-O
Li-Sn-O
Li-In-Pb
Li-W-O
Li-Gd-Cl
Li-Pt-O
Li-Mg-Si
Li-Ag-F
Li-Fe-S
Li-Cr-O
Li-Fe-F
Li-Ca-Rh
Li-B-C
Li-Zn-Ag
Li-Sc-Tl
Li-Cl-O
Li-Mn-O
Li-H-N
Li-Mo-O
Li-Cu-Sn
Li-Mn-F
Li-V-F
Li-Ti-S
Li-Ti-O
Li-Hf-O
Li-Cd-Ge
Li-Mg-Au
Li-Mg-Ir
Ba-Li-Ca
Li-V-O
Li-Eu-P
Li-B-H
Li-Nd-Se
Li-Mg-Tl
Li-Cd-Sb
Li-Ga-O
Li-Sb-S
Li-Cu-F
Li-Nb-S
Li-Ho-Tc
Li-Fe-P
Li-Dy-Ga
Li-N-O
Li-U-Br
Li-U-O
Li-Ho-Rh
Na-Li-Hg
Li-Fe-O
Li-C-O
Li-Sb-F
Li-Pd-N
Li-I-O
Li-Ge-N
Na-Li-N
Li-Ge-P
Li-Ni-O
Li-Nb-O
Ba-Li-Pb
Li-In-Bi
Li-Y-Tl
Li-Ta-N
Li-Ru-N
Li-Sn-Au
Li-Pr-S
Li-Y-S
Li-Bi-S
Li-Cd-In
Li-Zn-Pt
Li-Si-O
Li-Cu-S
Li-Tl-Pd
Cs-Li-I
Li-Nb-As
Li-Si-Ni
Cs-Li-F
Li-Ta-O
Li-Hf-Tc
Li-Dy-O
Li-Eu-O
Li-Si-Ag
Li-Bi-F
Li-Eu-S
Li-In-Ag
Li-Ta-Rh
Li-Cu-O
Li-Cu-Ni
Li-Al-Au
Li-Sc-Ag
Li-Mg-Co
Li-Ga-F
Li-Se-O
Li-Fe-N
Rb-Li-Sn
Li-Er-Os
Li-Ga-Au
Li-Yb-S
Li-Pr-Sn
Na-Li-Tl
Li-Ag-Sn
Li-Nd-As
Li-Ca-Sn
Li-Zn-Sb
Li-La-As
Li-Mn-Ir
Li-Dy-F
Sr-Li-Ge
Li-Y-Sn
Li-Nd-Si
Li-Co-S
Li-Zr-Pt
Li-La-Au
Li-Be-N
Li-Cd-Rh
Li-Tm-Rh
Li-Nb-Ir
Li-Cd-Pb
Li-V-Sb
Li-Tm-Ge
Li-Re-N
Li-Sn-Ru
Li-In-Pd
Li-Zn-Si
Li-Zn-In
Li-Gd-In
Li-Ti-Bi
Li-Ir-N
Li-Cu-As
Li-Ni-Ge
Li-Al-Rh
Li-Ho-Os
Li-Ti-Os
Li-Ag-Au
Ba-Li-As
Na-Li-Sb
Li-Pm-Ge
Li-Pm-Au
Li-Y-Rh
Li-Ge-Pt
Li-Tl-Rh
Ba-Li-O
Li-Sn-Se
Li-Yb-Hg
Li-Pb-N
Li-Ge-O
Li-Y-Se
Li-V-S
Li-Pr-P
Na-Li-Te
Li-Tm-O
Li-Ir-O
Li-Cr-N
Li-Dy-Br
Li-Re-O
Li-Zr-Rh
Li-Ca-Ga
Li-Al-Ir
Li-H-Rh
Li-Al-Pd
Li-Dy-Tl
Li-Co-P
Li-Ce-Zn
Li-Eu-Si
Li-Pr-Ge
Li-Sc-In
Li-Cd-Ag
Li-Tl-Cd
Li-Mo-S
Li-Bi-O
Li-Pm-Os
Li-Sb-N
Li-Zr-Hg
Li-Ho-Se
Li-Th-N
Li-Ga-Ir
Ba-Na-Li
Li-Er-Ru
Li-Hf-Os
Li-Pr-Hg
Li-Si-Au
Li-Ag-Pb
Li-Yb-Tl
Li-Er-Se
Li-Mg-N
Li-Ca-Hg
Li-La-Al
Li-P-O
Ba-Li-In
Li-Mn-N
Li-V-P
Li-Ti-Cl
Li-Ti-Se
Rb-Li-O
Li-Rh-F
Li-Yb-Au
Li-Gd-Sn
Li-S-O
Li-Tl-Hg
Li-Mn-P
Li-Mn-Se
Li-Zr-O
Li-Er-Rh
Li-Ag-Ge
Li-S-N
Li-Ge-As
Na-Li-O
Li-Sm-O
Li-Er-In
Li-Gd-Ir
K-Li-Se
Li-U-N
Li-Er-Br
Li-Mg-Hg
Li-H-F
Li-Ru-O
Li-Ge-F
Li-Ta-W
Li-Sm-Sb
Li-Ge-S
Li-Mg-Ge
Li-U-S
Li-Lu-F
Li-B-O
Li-Ce-Bi
Li-Y-Bi
Li-Pr-O
Li-P-Pd
Li-Y-In
Li-Yb-In
Li-Mg-As
Li-Ce-Ge
Li-Te-O
Li-Ho-Hg
Li-Er-Tl
Li-As-O
Ba-Li-P
Li-Sn-Ir
Li-Eu-Bi
Sr-Li-Si
Li-Zr-N
Li-In-Pt
Li-Ga-Cl
Li-Au-F
Li-Ni-N
Li-Tm-In
Li-Pd-Au
Li-In-Hg
Li-Mg-Zn
Li-Mn-Te
Li-In-Ir
Li-Sm-Tl
Li-Co-N
Li-Ho-Sn
Li-Ta-Os
Li-Zn-Co
Li-La-Tl
Li-Cu-Ge
Li-Zn-Ge
Li-Ga-N
Li-Rh-O
Sr-Li-Ca
Li-Yb-Bi
Li-Er-S
Li-Zn-Sn
Li-Ce-O
Li-Hg-Sb
Li-Nd-O
Li-P-Se
Li-Mn-Cl
Li-Ga-Ge
Li-Tm-Tl
Li-Ca-Au
Li-Sc-Pd
Li-Al-As
Li-Sn-F
Li-In-Sn
Li-Cd-N
Li-Ac-Tl
Li-Tb-Ge
Li-Dy-In
Li-In-N
Li-Os-N
Li-Nb-F
Li-Zn-O
Li-Ga-Rh
Li-In-Au
Li-Al-Pt
Li-La-Ru
Li-Lu-Au
Li-Yb-Sn
Ba-Li-Si
Li-B-S
Li-Zn-N
Li-Si-C
Li-Zr-Sb
Li-Ga-Sb
Li-Y-O
Li-Hg-As
Li-Y-Cd
Li-Sm-Ge
Li-Br-N
K-Li-O
Li-H-S
Li-Si-N
Li-Ta-S
Li-Rh-Pb
Li-Cd-Pd
Li-Zn-Au
Li-Al-Ni
Sr-Li-Ga
Li-C-N
Li-Zr-Pd
Li-Ca-Ag
Li-Y-Pd
Li-Gd-Rh
Li-Al-H
Li-Lu-Tc
Li-Pm-Ga
Li-In-Se
Li-Mo-N
Li-Ce-Sb
Li-Mg-O
Li-Fe-Cl
Na-Li-Sn
Li-Cr-S
Li-Sc-Os
Li-Gd-Tl
Li-Zn-Ir
Li-Y-Tc
Li-Y-Ga
Li-In-Te
Li-Tb-F
Li-Mn-S
Li-As-Pd
Li-V-N
Li-Eu-Sn
Li-Tb-Se
Li-Zn-Br
Li-Mn-As
Sr-Li-Sb
Li-Tl-Sn
Li-Hf-N
Li-Ca-Pb
Li-Ge-Te
Li-Ca-Zn
Li-Cd-Bi
Li-Ag-Bi
Li-Fe-Br
Li-Lu-Os
Li-Ga-Ni
Li-Sn-Ge
Li-Re-S
Li-Si-P
Li-Nd-Rh
Li-Zn-Cu
Na-Li-Se
Li-Ga-I
Li-Ca-N
Li-Zn-Cd
Li-Sn-Rh
Li-P-N
Li-La-Sb
Li-V-Se
Na-Li-S
Li-Cu-N
Cs-Li-Cl
Li-Ag-C
Li-Sc-Sn
Li-Sm-S
Na-Li-Bi
Li-Zr-Os
