Li-V-P-O
Li-Mn-P-O
Li-Mg-B-O
Li-Mg-Al-O
Na-Li-Mg-O
Li-P-S-Cl
Cs-Li-Mg-O
Li-Mn-Co-O
Li-Bi-P-O
K-Li-Ti-F
K-Li-Sc-F
K-Li-Ce-Br
Li-Sc-Cu-Cl
Cs-Li-Y-I
Li-La-Zr-O
Li-La-S-O
Li-Zn-P-S
Li-Cu-Bi-O
Li-Mn-B-O
Li-Cu-P-O
Li-Cr-P-O
Li-Fe-Ni-O
Li-V-Fe-O
Li-Cu-Sb-O
Li-Cu-Ni-O
Li-Fe-Co-O
Li-Fe-W-O
Li-Mn-Sn-O
Li-Fe-S-O
Li-Cr-Fe-O
Li-Co-Sn-O
Li-Fe-O-F
Li-B-H-N
Li-H-Br-O
Li-La-C-N
Li-In-W-O
Li-H-I-O
K-Li-P-O
Li-V-H-O
Li-Cu-B-O
Li-Sc-Tl-Cl
Rb-Li-V-Cl
Sr-Li-V-F
Sr-Li-Ta-O
Li-H-Pt-O
Li-Zn-W-O
Li-Zn-Mo-O
Li-H-C-N
Li-P-Ru-O
Li-Nd-W-O
Rb-Li-Mn-S
Li-La-W-O
Li-Sb-W-O
Li-Ru-Rh-O
Li-Fe-Rh-O
Li-In-Mo-Se
Li-V-Cr-S
Cs-Li-Zn-S
Li-Fe-Si-O
Li-Ca-Ga-F
Li-Ti-Ge-O
Li-Ta-N-O
Li-V-Si-O
Li-Sc-Mo-O
Li-Ge-Pb-S
Li-H-S-O
Li-P-H-O
Li-Mo-P-O
Li-Co-P-O
Li-Ni-P-O
Li-Al-As-O
Li-Pr-N-O
K-Li-Y-F
K-Li-Al-F
Li-Zn-P-O
K-Li-Nd-F
Li-Fe-Se-O
Li-Al-Si-O
Ba-Li-B-O
Li-Bi-Mo-O
Li-Mn-Si-O
Na-Li-Si-O
Li-La-Au-O
Sr-Li-Ge-N
Rb-Li-Dy-Br
Li-Si-N-O
Li-B-H-O
Li-Sc-Si-O
Li-Sn-P-O
Li-Al-Ge-O
Na-Li-S-O
Li-Fe-P-O
Li-Mn-Zn-O
Li-Si-P-S
Li-Mn-C-O
Li-V-O-F
Li-Ti-V-O
Li-Co-Si-O
Li-Fe-B-O
Li-Mn-O-F
Li-Ti-Co-O
Na-Li-Mn-O
Li-Ni-O-F
Li-V-Ni-O
Li-La-Mn-O
Li-Mn-V-O
Li-Mn-Nb-O
Li-V-B-O
Li-V-Cr-O
Li-Mn-Cr-O
Li-Nb-Co-O
Li-Mn-Sb-O
Li-Ti-Ni-O
Li-Cu-S-O
Li-Co-O-F
Li-Nb-V-O
Li-Co-Ni-O
Li-Ti-Cr-O
Li-Cu-Sn-O
Li-V-Co-O
Li-Fe-Cu-O
Li-Cu-Si-O
Li-Cr-Ga-O
Li-Cr-Sn-O
Li-Ni-Bi-O
Li-Cr-Ni-O
Li-Si-Ni-O
Li-Si-Bi-O
Li-Nb-P-O
Li-P-W-O
Li-V-C-O
Li-Ti-P-O
K-Li-Fe-O
Li-Sb-P-O
Li-Zr-P-O
Li-Cu-C-O
Li-Mn-Ni-O
Li-Nd-Cu-O
Li-Mn-Fe-O
K-Li-Sb-O
Li-Co-S-O
Li-Bi-B-O
Li-Ni-S-O
Li-Al-Co-O
Li-Ni-B-O
Li-Ti-Mn-O
Li-V-Te-O
Li-V-Bi-O
Li-Fe-Te-O
Li-Cr-Co-O
Li-Al-Fe-O
Li-Nb-Fe-O
Li-Te-H-N
Li-Fe-Bi-O
Li-Ti-Sb-O
Li-Ti-Cu-O
Li-Mn-S-O
Li-Cr-Te-O
Li-Cr-W-O
Li-Cr-Cu-O
Li-Cu-H-O
Li-Mn-Cu-O
Li-Nd-Mo-O
Ba-Li-Fe-N
K-Li-Ta-O
Li-U-C-O
Li-Yb-Al-F
Li-B-P-O
Li-Mg-P-O
Rb-Li-B-O
Sr-Li-B-O
Li-Mg-Ga-O
Li-La-Mg-O
Li-P-Br-O
Na-Li-Rh-F
Li-Cu-Ir-F
K-Li-Dy-Cl
K-Li-Au-Cl
Na-Li-Nd-Cl
Li-Mg-W-O
Li-Co-Sb-O
Li-Mg-Ti-O
Li-Ti-Nb-O
Li-Co-Te-O
Li-Zn-Cl-O
Sr-Li-Sb-O
Li-Lu-W-O
Li-Mg-Al-F
Rb-Li-S-O
Li-Ce-C-O
Li-La-V-O
Li-Mn-Ge-O
Li-Ti-S-O
Li-Gd-W-O
Li-Ti-Ni-F
Li-Tm-W-O
Li-Pr-Mo-O
Li-Er-B-O
Na-Li-Cd-S
Li-Ge-Sb-Te
Li-Ta-Ge-O
Li-Ce-Mo-O
Li-V-Zn-O
Li-Zn-In-F
Li-Co-Cu-F
Li-Fe-Mo-O
Li-Nd-P-S
Cs-Li-Mn-S
Li-Ca-P-O
Na-Li-Fe-O
K-Li-Cr-O
