material_id,pretty_formula,band_gap,density,e_above_hull,theoretical,icsd_ids,FullWindow
mp-661,AlN,4.039,3.201,0.000,False,"[608626, 608627, 602460, 190420, 44107, 54697, 161881, 82790, 602459, 191772, 183638, 185441, 42001, 34475, 44106, 608624, 41480, 163953, 31169, 181362, 34236, 41482, 67767, 41542]",True
mp-1427,Lu2O3,4.023,9.495,0.000,False,"[193361, 194467, 428543, 642475, 151762, 40471, 642477, 96211, 33659, 168341]",True
mp-352,HfO2,4.016,9.968,0.000,False,"[60903, 173964, 60902, 638740, 27313, 638737, 638744, 57385, 173158, 187015, 172165]",True
mp-557753,K3PO4,4.002,2.510,0.000,False,[158801],True
mp-1767,Tm2O3,3.980,8.919,0.000,False,"[647578, 33657, 78582, 184541, 90669, 61270, 647581]",True
mp-29909,Ba4I6O,3.979,4.813,0.000,False,[280584],True
mp-679,Er2O3,3.964,8.654,0.000,False,"[39185, 55832, 39187, 53406, 39521, 94888, 180843, 96210, 33656, 184540, 39189, 630890, 630897, 186592, 39190, 39186, 39188, 27992, 27774]",True
mp-812,Ho2O3,3.950,8.404,0.000,False,"[184539, 80038, 152458, 639523, 44516, 639519, 27993, 185248, 82423, 33655, 27773, 96209, 639525, 82422, 41268]",True
mp-5418,Li6Zr2O7,3.944,3.433,0.000,False,"[73835, 73836, 41321]",True
mp-2345,Dy2O3,3.925,8.144,0.000,False,"[630047, 82421, 630042, 61269, 248579, 184538, 185242, 248578, 185606, 96208, 27994, 180837, 41269, 66736]",True
mp-2983,Ba(PN2)2,3.912,4.600,0.000,False,"[153060, 414350]",True
mp-1056,Tb2O3,3.901,7.837,0.000,False,"[33653, 27995, 647494, 184537, 647501, 647509, 40474]",True
mp-3564,BaSc2O4,3.872,4.796,0.000,False,"[201083, 35592]",True
mp-614603,CsI,3.857,3.555,0.000,False,[61517],True
mp-22898,KI,3.851,2.972,0.000,False,"[53843, 44283, 52244, 22158, 53827]",True
mp-23859,CaHCl,3.846,2.490,0.000,False,"[37199, 25601]",True
mp-1196869,Ba3Al2O6,3.841,4.791,0.000,False,[246227],True
mp-4571,CaZrO3,3.826,4.467,0.000,False,"[239370, 97466, 183758, 97464, 167889, 183757, 97463, 97465, 130053, 37264]",True
mp-216,Sc2O3,3.824,3.751,0.000,False,"[202905, 647392, 647398, 184529, 169172, 647397, 24200, 27948, 41264, 26841, 33646, 186676, 26942]",True
mp-218,Sm2O3,3.782,6.962,0.000,False,"[96206, 647450, 184535, 41271, 165779, 647461, 40475, 27998, 33650]",True
mp-1199246,Ba5B3BrO9,3.777,4.786,0.000,False,[422557],True
mp-22903,RbI,3.777,3.360,0.000,False,"[53831, 61536, 22168, 44287, 53846]",True
mp-1201345,Ba5B3ClO9,3.750,4.652,0.000,False,[422556],True
mp-4156,Li2ZrO3,3.750,4.032,0.000,False,"[291154, 94897, 191166, 94895, 94896, 94894, 94893]",True
mp-1045,Nd2O3,3.708,6.396,0.000,False,"[191535, 645662, 96204, 645664, 645657, 184534]",True
mp-984055,Ca7(H6Cl)2,3.693,2.176,0.000,False,[420927],True
mp-16705,Pr2O3,3.659,6.090,0.000,False,"[647301, 184533, 647290, 96203]",True
mp-2605,CaO,3.630,3.287,0.000,False,"[60199, 52783, 60704, 619461, 61550, 180198, 26959, 90486, 261847, 51409, 75786, 163628, 75785, 28905]",True
mp-3933,Mg2PN3,3.537,3.045,0.000,False,"[27229, 50224]",True
mp-2292,La2O3,3.532,5.840,0.000,False,"[641600, 184531, 641602, 96201]",True
mp-31417,Nd3TaO7,3.483,7.403,0.000,False,[55659],True
mp-1216,YbO,3.473,11.723,0.000,False,"[77710, 151764]",True
mp-23260,BaI2,3.443,4.899,0.000,False,"[24366, 15707]",True
mp-14964,Pr3TaO7,3.424,7.233,0.000,False,[78008],True
mp-1153,Li2S,3.411,1.630,0.000,False,"[642291, 54396, 657596, 642297, 60432, 657597, 56023]",True
mp-753721,GdOF,3.375,7.541,0.000,False,"[247803, 247805, 247806, 184007, 247802, 247804]",True
mp-17904,Nd2TiO5,3.314,5.729,0.000,False,"[195209, 262619, 2898, 247560]",True
mp-770806,Sm2TiO5,3.304,6.106,0.000,False,"[195210, 191142]",True
mp-2472,SrO,3.287,4.878,0.000,False,"[181061, 181274, 180194, 28904, 248393, 109461, 163625, 105548, 249178, 52276, 187678, 26960]",True
mp-18051,La2TiO5,3.286,5.361,0.000,False,"[195207, 261167, 262618, 28277, 247559]",True
mp-1079891,Ba2Br2O,3.270,4.492,0.000,False,[423479],True
mp-974482,K4Hf5O12,3.268,6.730,0.000,False,[180186],True
mp-3952,BaY2O4,3.249,5.602,0.000,False,"[78483, 166845, 89640, 427510]",True
mp-643047,Ba3(H6Ir)2,3.170,5.662,0.000,False,[75962],True
mp-23702,LiH2N,3.144,1.120,0.000,False,"[168793, 165467, 182470, 156000, 51679, 10354, 173179, 237203, 182471, 37370, 161017, 168792, 154395]",True
mp-2892,BaNd2O4,3.097,6.612,0.000,False,"[81380, 427484, 96546, 78486, 81379]",True
mp-504554,Ba5Ta4O15,3.090,7.685,0.000,False,"[15429, 16028]",True
mp-4511,La2SO2,3.080,5.700,0.000,False,"[31640, 31614, 260145, 154583, 14280]",True
mp-12671,Er2SO2,3.073,8.210,0.000,False,[109334],True
mp-8430,KLiS,3.058,1.965,0.000,False,"[47229, 290450]",True
mp-551835,Ba2I2O,3.054,4.792,0.000,False,[391434],True
mp-2931,Li2TiO3,3.043,3.336,0.000,False,"[261238, 261236, 162215, 15150, 261239]",True
mp-23713,CaH2,3.008,1.959,0.000,False,"[156881, 156882, 156883, 23870, 157944, 155987, 261185, 261636, 260873, 81425, 261635, 619336, 1090]",True
mp-1212889,DyF3,7.871,7.692,0.000,True,[],True
mp-865934,YbF2,6.735,7.541,0.000,True,[],True
mp-1223129,Li4SiO4,5.093,2.317,0.000,True,[],True
mp-1210775,LuOF,5.022,8.727,0.000,True,[],True
mp-1207669,TmOF,4.859,8.197,0.000,True,[],True
mp-769173,PrOF,4.436,6.241,0.000,True,[],True
mp-1218249,SrLa4Si3O13,4.428,5.169,0.000,True,[],True
mp-755417,Ba3(BO3)2,4.170,4.752,0.000,True,[],True
mp-1216160,Y4Zr3O12,4.032,5.250,0.000,True,[],True
mp-1227337,Ca6Al7O16F,3.871,2.658,0.000,True,[],True
mp-1227232,Ca6Al7ClO16,3.797,2.695,0.000,True,[],True
