facet
"{'mp-1186055', 'mp-567395', 'mp-135'}"
"{'mp-135', 'mp-1138', 'mp-867227'}"
"{'mp-135', 'mp-17751', 'mp-112'}"
"{'mp-135', 'mp-14209', 'mp-1777'}"
"{'mp-135', 'mp-14209', 'mp-17751'}"
"{'mp-757', 'mp-135', 'mp-862658'}"
"{'mp-1153', 'mp-135', 'mp-112'}"
"{'mp-1153', 'mp-135', 'mp-1184067'}"
"{'mp-1153', 'mp-135', 'mp-144'}"
"{'mp-135', 'mp-2286', 'mp-11698'}"
"{'mp-135', 'mp-144', 'mp-2286'}"
"{'mp-135', 'mp-99', 'mp-2286'}"
"{'mp-69', 'mp-135', 'mp-15822'}"
"{'mp-135', 'mp-1777', 'mp-15822'}"
"{'mp-10181', 'mp-135', 'mp-23'}"
"{'mp-10181', 'mp-135', 'mp-29720'}"
"{'mp-976408', 'mp-135', 'mp-2074'}"
"{'mp-600561', 'mp-135', 'mp-573471'}"
"{'mp-135', 'mp-510430', 'mp-2286'}"
"{'mp-135', 'mp-510430', 'mp-867227'}"
"{'mp-510430', 'mp-135', 'mp-2530'}"
"{'mp-135', 'mp-570466', 'mp-865892'}"
"{'mp-135', 'mp-574275', 'mp-865892'}"
"{'mp-135', 'mp-510430', 'mp-1197547'}"
"{'mp-162', 'mp-135', 'mp-11544'}"
"{'mp-135', 'mp-11544', 'mp-866180'}"
"{'mp-135', 'mp-866180', 'mp-574275'}"
"{'mp-135', 'mp-573471', 'mp-33'}"
"{'mp-135', 'mp-1138', 'mp-129'}"
"{'mp-135', 'mp-834', 'mp-37'}"
"{'mp-2251', 'mp-135', 'mp-27487'}"
"{'mp-135', 'mp-27487', 'mp-834'}"
"{'mp-1186055', 'mp-2286', 'mp-135'}"
"{'mp-87', 'mp-135', 'mp-18337'}"
"{'mp-2251', 'mp-135', 'mp-29463'}"
"{'mp-135', 'mp-18337', 'mp-29463'}"
"{'mp-135', 'mp-567395', 'mp-570935'}"
"{'mp-135', 'mp-2988', 'mp-29210'}"
"{'mp-600561', 'mp-135', 'mp-2988'}"
"{'mp-135', 'mp-75', 'mp-1185319'}"
"{'mp-135', 'mp-510430', 'mp-976408'}"
"{'mp-135', 'mp-510430', 'mp-567395'}"
"{'mp-135', 'mp-567395', 'mp-2074'}"
"{'mp-135', 'mp-567395', 'mp-573471'}"
"{'mp-135', 'mp-568404', 'mp-30816'}"
"{'mp-135', 'mp-1197547', 'mp-30816'}"
"{'mp-135', 'mp-30818', 'mp-568404'}"
"{'mp-135', 'mp-867227', 'mp-30818'}"
"{'mp-135', 'mp-862658', 'mp-29210'}"
"{'mp-135', 'mp-510430', 'mp-279'}"
"{'mp-135', 'mp-867227', 'mp-2074'}"
"{'mp-135', 'mp-29210', 'mp-3201'}"
"{'mp-135', 'mp-1197547', 'mp-3201'}"
"{'mp-135', 'mp-2286', 'mp-69'}"
"{'mp-135', 'mp-3726', 'mp-29210'}"
"{'mp-135', 'mp-867227', 'mp-3726'}"
"{'mp-1213824', 'mp-28', 'mp-135'}"
"{'mp-1777', 'mp-1213824', 'mp-135'}"
"{'mp-567412', 'mp-135', 'mp-112'}"
"{'mp-567412', 'mp-135', 'mp-504790'}"
"{'mp-135', 'mp-504790', 'mp-573471'}"
"{'mp-1186055', 'mp-135', 'mp-2074'}"
"{'mp-135', 'mp-279', 'mp-31441'}"
"{'mp-135', 'mp-29210', 'mp-31441'}"
"{'mp-1153', 'mp-135', 'mp-2530'}"
"{'mp-135', 'mp-573471', 'mp-976408'}"
"{'mp-135', 'mp-567735', 'mp-123'}"
"{'mp-571109', 'mp-135', 'mp-9967'}"
"{'mp-135', 'mp-9967', 'mp-355'}"
"{'mp-135', 'mp-355', 'mp-567735'}"
"{'mp-571109', 'mp-135', 'mp-29720'}"
"{'mp-135', 'mp-1185233', 'mp-112'}"
"{'mp-135', 'mp-510430', 'mp-1185233'}"
"{'mp-135', 'mp-573471', 'mp-1186899'}"
"{'mp-492', 'mp-135', 'mp-686129'}"
"{'mp-72', 'mp-135', 'mp-8282'}"
"{'mp-492', 'mp-135', 'mp-8282'}"
"{'mp-2251', 'mp-135', 'mp-686129'}"
"{'mp-135', 'mp-772185', 'mp-103'}"
"{'mp-135', 'mp-1960', 'mp-772185'}"
"{'mp-2251', 'mp-135', 'mp-1934'}"
"{'mp-91', 'mp-135', 'mp-1138'}"
"{'mp-135', 'mp-1138', 'mp-1777'}"
