facet
"{'mp-10172', 'mp-984', 'mp-28630', 'mp-1184905'}"
"{'mp-10172', 'mp-736', 'mp-1222413', 'mp-27275', 'mp-1960'}"
"{'mp-10172', 'mp-736', 'mp-1001835', 'mp-1018134', 'mp-1960'}"
"{'mp-10172', 'mp-736', 'mp-1001835', 'mp-1222413', 'mp-1960'}"
"{'mp-10172', 'mp-736', 'mp-27275', 'mp-1598', 'mp-1960'}"
"{'mp-10172', 'mp-736', 'mp-1222413', 'mp-27275', 'mp-1598'}"
"{'mp-10172', 'mp-27275', 'mp-560189', 'mp-1598', 'mp-1960'}"
"{'mp-10172', 'mp-1222413', 'mp-27275', 'mp-560189', 'mp-1598'}"
"{'mp-10172', 'mp-28395', 'mp-1222413', 'mp-560189', 'mp-1598'}"
"{'mp-10172', 'mp-674333', 'mp-30975', 'mp-2352', 'mp-1960'}"
"{'mp-10172', 'mp-674333', 'mp-30975', 'mp-1598', 'mp-1960'}"
"{'mp-262', 'mp-10172', 'mp-28395', 'mp-30975', 'mp-1222413'}"
"{'mp-10172', 'mp-558455', 'mp-560189', 'mp-1598', 'mp-1960'}"
"{'mp-10172', 'mp-558455', 'mp-30975', 'mp-1598', 'mp-1960'}"
"{'mp-10172', 'mp-558455', 'mp-28395', 'mp-30975', 'mp-1598'}"
"{'mp-10172', 'mp-558455', 'mp-28395', 'mp-560189', 'mp-1598'}"
"{'mp-10172', 'mp-558455', 'mp-28395', 'mp-1222413', 'mp-560189'}"
"{'mp-10172', 'mp-558455', 'mp-28395', 'mp-30975', 'mp-1222413'}"
"{'mp-1265', 'mp-10172', 'mp-22003', 'mp-10572', 'mp-3933'}"
"{'mp-1265', 'mp-10172', 'mp-674333', 'mp-22003', 'mp-10572'}"
"{'mp-1265', 'mp-10172', 'mp-674333', 'mp-22003', 'mp-2352'}"
"{'mp-1265', 'mp-10172', 'mp-22003', 'mp-1559', 'mp-3933'}"
"{'mp-1265', 'mp-10172', 'mp-2514', 'mp-1186271', 'mp-1559'}"
"{'mp-1265', 'mp-10172', 'mp-10572', 'mp-3933', 'mp-1598'}"
"{'mp-1265', 'mp-10172', 'mp-674333', 'mp-10572', 'mp-1598'}"
"{'mp-1265', 'mp-10172', 'mp-1559', 'mp-3933', 'mp-1598'}"
"{'mp-1265', 'mp-10172', 'mp-2514', 'mp-1559', 'mp-1598'}"
"{'mp-10172', 'mp-129', 'mp-541291'}"
"{'mp-10172', 'mp-541291', 'mp-22003'}"
"{'mp-10172', 'mp-10419', 'mp-8'}"
"{'mp-10172', 'mp-10419', 'mp-22003'}"
"{'mp-10172', 'mp-1623', 'mp-1184115', 'mp-12671'}"
"{'mp-10172', 'mp-1184115', 'mp-12671', 'mp-679'}"
"{'mp-10172', 'mp-648', 'mp-12671', 'mp-679'}"
"{'mp-10172', 'mp-648', 'mp-5586', 'mp-679'}"
"{'mp-10172', 'mp-648', 'mp-5586', 'mp-2352'}"
"{'mp-10172', 'mp-1623', 'mp-12671', 'mp-3613'}"
"{'mp-10172', 'mp-648', 'mp-12671', 'mp-3613'}"
"{'mp-10172', 'mp-27838', 'mp-573697', 'mp-1184151'}"
"{'mp-10172', 'mp-27838', 'mp-573697', 'mp-22862'}"
"{'mp-10172', 'mp-1342', 'mp-551835', 'mp-23268'}"
"{'mp-10172', 'mp-22937', 'mp-1342', 'mp-2352'}"
"{'mp-10172', 'mp-22937', 'mp-1342', 'mp-23268'}"
"{'mp-23260', 'mp-10172', 'mp-29909', 'mp-23268'}"
"{'mp-10172', 'mp-29909', 'mp-551835', 'mp-23268'}"
"{'mp-23260', 'mp-10172', 'mp-11820', 'mp-29909'}"
"{'mp-10172', 'mp-11820', 'mp-29909', 'mp-551835'}"
"{'mp-10172', 'mp-1342', 'mp-1019519', 'mp-551835'}"
"{'mp-10172', 'mp-1019519', 'mp-11820', 'mp-551835'}"
"{'mp-10172', 'mp-865027', 'mp-29657', 'mp-2970'}"
"{'mp-10172', 'mp-35', 'mp-865027', 'mp-2970'}"
"{'mp-10172', 'mp-27569', 'mp-2970', 'mp-2352'}"
"{'mp-10172', 'mp-35', 'mp-27569', 'mp-2970'}"
"{'mp-10172', 'mp-648', 'mp-13', 'mp-682', 'mp-2352'}"
"{'mp-10172', 'mp-67', 'mp-23193', 'mp-1184905'}"
"{'mp-10172', 'mp-67', 'mp-23193', 'mp-22862'}"
"{'mp-10172', 'mp-145', 'mp-23193', 'mp-1184905'}"
"{'mp-10172', 'mp-145', 'mp-23193', 'mp-22862'}"
"{'mp-10172', 'mp-67', 'mp-1184905', 'mp-23251'}"
"{'mp-10172', 'mp-67', 'mp-22916', 'mp-23251'}"
"{'mp-10172', 'mp-67', 'mp-614603', 'mp-1184151'}"
"{'mp-10172', 'mp-614603', 'mp-67', 'mp-23268'}"
"{'mp-10172', 'mp-571222', 'mp-38', 'mp-1184151'}"
"{'mp-10172', 'mp-22916', 'mp-571222', 'mp-38'}"
"{'mp-10172', 'mp-67', 'mp-571222', 'mp-1184151'}"
"{'mp-10172', 'mp-67', 'mp-22916', 'mp-571222'}"
"{'mp-10172', 'mp-614603', 'mp-567332', 'mp-1184151'}"
"{'mp-10172', 'mp-614603', 'mp-567332', 'mp-23268'}"
"{'mp-10172', 'mp-22916', 'mp-655', 'mp-571222'}"
"{'mp-10172', 'mp-655', 'mp-571222', 'mp-1184151'}"
"{'mp-10172', 'mp-10658', 'mp-573697', 'mp-1184151'}"
"{'mp-10172', 'mp-10658', 'mp-573697', 'mp-22862'}"
"{'mp-10172', 'mp-1184115', 'mp-23295', 'mp-1179656'}"
"{'mp-10172', 'mp-1184115', 'mp-23295', 'mp-22862'}"
"{'mp-10172', 'mp-67', 'mp-23295', 'mp-1179656'}"
"{'mp-10172', 'mp-67', 'mp-23295', 'mp-22862'}"
"{'mp-10172', 'mp-1363', 'mp-30794'}"
"{'mp-10172', 'mp-35', 'mp-30', 'mp-1266'}"
"{'mp-10172', 'mp-707836', 'mp-101', 'mp-1182061'}"
"{'mp-10172', 'mp-23715', 'mp-23870', 'mp-1182061'}"
"{'mp-10172', 'mp-23870', 'mp-707836', 'mp-1182061'}"
"{'mp-643047', 'mp-10172', 'mp-23715', 'mp-11820'}"
"{'mp-643047', 'mp-10172', 'mp-23715', 'mp-1182061'}"
"{'mp-643047', 'mp-10172', 'mp-11820', 'mp-101'}"
"{'mp-643047', 'mp-10172', 'mp-101', 'mp-1182061'}"
"{'mp-10172', 'mp-30352', 'mp-30794'}"
"{'mp-10172', 'mp-74', 'mp-983509'}"
"{'mp-10172', 'mp-75', 'mp-3744', 'mp-1266'}"
"{'mp-10172', 'mp-2352', 'mp-1266', 'mp-5477'}"
"{'mp-10172', 'mp-27247', 'mp-3744', 'mp-1266'}"
"{'mp-10172', 'mp-27247', 'mp-1266', 'mp-5477'}"
"{'mp-10172', 'mp-682', 'mp-12899', 'mp-569851', 'mp-812'}"
"{'mp-10172', 'mp-1072114', 'mp-812', 'mp-13236', 'mp-10659'}"
"{'mp-10172', 'mp-12899', 'mp-1072114', 'mp-812', 'mp-13236'}"
"{'mp-10172', 'mp-682', 'mp-12899', 'mp-1072114', 'mp-812'}"
"{'mp-10172', 'mp-675798', 'mp-1072114', 'mp-13236', 'mp-10659'}"
"{'mp-10172', 'mp-675798', 'mp-12899', 'mp-1072114', 'mp-13236'}"
"{'mp-10172', 'mp-675798', 'mp-682', 'mp-12899', 'mp-1072114'}"
"{'mp-10172', 'mp-2402', 'mp-682', 'mp-4533', 'mp-812'}"
"{'mp-10172', 'mp-2402', 'mp-682', 'mp-812', 'mp-569851'}"
"{'mp-10172', 'mp-755617', 'mp-682', 'mp-2352', 'mp-7500'}"
"{'mp-10172', 'mp-755617', 'mp-682', 'mp-812', 'mp-7500'}"
"{'mp-10172', 'mp-682', 'mp-4533', 'mp-812', 'mp-7500'}"
"{'mp-10172', 'mp-1924', 'mp-14093', 'mp-682', 'mp-11347'}"
"{'mp-10172', 'mp-1056', 'mp-1924', 'mp-14093', 'mp-682'}"
"{'mp-10172', 'mp-206', 'mp-14093', 'mp-11698', 'mp-11347'}"
"{'mp-10172', 'mp-206', 'mp-1924', 'mp-14093', 'mp-11347'}"
"{'mp-10172', 'mp-1056', 'mp-206', 'mp-14093', 'mp-11698'}"
"{'mp-10172', 'mp-1056', 'mp-206', 'mp-1924', 'mp-14093'}"
"{'mp-10172', 'mp-1056', 'mp-1924', 'mp-1077398', 'mp-682'}"
"{'mp-10172', 'mp-1056', 'mp-2402', 'mp-1077398', 'mp-682'}"
"{'mp-10172', 'mp-682', 'mp-2352', 'mp-6964', 'mp-7500'}"
"{'mp-10172', 'mp-1056', 'mp-682', 'mp-6964', 'mp-7500'}"
"{'mp-10172', 'mp-1056', 'mp-682', 'mp-4533', 'mp-7500'}"
"{'mp-10172', 'mp-1056', 'mp-2402', 'mp-682', 'mp-4533'}"
"{'mp-10172', 'mp-643', 'mp-37', 'mp-1753'}"
"{'mp-10172', 'mp-643', 'mp-655', 'mp-1753'}"
"{'mp-10172', 'mp-643', 'mp-655', 'mp-2352'}"
"{'mp-10172', 'mp-1207669', 'mp-1767', 'mp-682', 'mp-1066975'}"
"{'mp-10172', 'mp-1207669', 'mp-1018122', 'mp-1189863', 'mp-682'}"
"{'mp-10172', 'mp-1207669', 'mp-1189863', 'mp-682', 'mp-1066975'}"
"{'mp-10172', 'mp-1207669', 'mp-1018122', 'mp-1767', 'mp-1189863'}"
"{'mp-10172', 'mp-1207669', 'mp-1767', 'mp-1189863', 'mp-1066975'}"
"{'mp-10172', 'mp-2402', 'mp-1767', 'mp-682', 'mp-1066975'}"
"{'mp-10172', 'mp-2402', 'mp-1767', 'mp-682', 'mp-4533'}"
"{'mp-10172', 'mp-754825', 'mp-682', 'mp-2352', 'mp-7500'}"
"{'mp-10172', 'mp-1767', 'mp-754825', 'mp-682', 'mp-7500'}"
"{'mp-10172', 'mp-1767', 'mp-682', 'mp-4533', 'mp-7500'}"
"{'mp-10172', 'mp-1184115', 'mp-560114', 'mp-674459', 'mp-31167'}"
"{'mp-10172', 'mp-560114', 'mp-674459', 'mp-31167', 'mp-378'}"
"{'mp-10172', 'mp-31167', 'mp-1072193', 'mp-378', 'mp-679'}"
"{'mp-10172', 'mp-560114', 'mp-31167', 'mp-1072193', 'mp-378'}"
"{'mp-10172', 'mp-1184115', 'mp-31167', 'mp-1072193', 'mp-679'}"
"{'mp-10172', 'mp-1184115', 'mp-560114', 'mp-31167', 'mp-1072193'}"
"{'mp-10172', 'mp-2402', 'mp-682', 'mp-4533', 'mp-679'}"
"{'mp-10172', 'mp-2402', 'mp-682', 'mp-378', 'mp-679'}"
"{'mp-10172', 'mp-682', 'mp-1072193', 'mp-378', 'mp-679'}"
"{'mp-10172', 'mp-560114', 'mp-682', 'mp-674459', 'mp-378'}"
"{'mp-10172', 'mp-560114', 'mp-682', 'mp-1072193', 'mp-378'}"
"{'mp-10172', 'mp-682', 'mp-5586', 'mp-2352', 'mp-7500'}"
"{'mp-10172', 'mp-682', 'mp-5586', 'mp-7500', 'mp-679'}"
"{'mp-10172', 'mp-682', 'mp-4533', 'mp-7500', 'mp-679'}"
"{'mp-10172', 'mp-7956', 'mp-1266'}"
"{'mp-10172', 'mp-67', 'mp-216', 'mp-1266'}"
"{'mp-10172', 'mp-2352', 'mp-1266', 'mp-7914'}"
"{'mp-10172', 'mp-216', 'mp-1266', 'mp-7914'}"
"{'mp-10172', 'mp-682', 'mp-72', 'mp-1709'}"
"{'mp-10172', 'mp-682', 'mp-1709', 'mp-44'}"
"{'mp-134', 'mp-10172', 'mp-569744', 'mp-682'}"
"{'mp-10172', 'mp-569744', 'mp-682', 'mp-44'}"
"{'mp-10172', 'mp-983509', 'mp-569304', 'mp-23870', 'mp-2352'}"
"{'mp-10172', 'mp-682', 'mp-90', 'mp-44'}"
"{'mp-10172', 'mp-146', 'mp-682', 'mp-44'}"
"{'mp-10172', 'mp-91', 'mp-2352', 'mp-1266'}"
"{'mp-10172', 'mp-954', 'mp-555218', 'mp-22916', 'mp-1903', 'mp-4202'}"
"{'mp-10172', 'mp-954', 'mp-555218', 'mp-567701', 'mp-1903', 'mp-4202'}"
"{'mp-10172', 'mp-954', 'mp-555218', 'mp-27456', 'mp-22916', 'mp-1903'}"
"{'mp-10172', 'mp-954', 'mp-555218', 'mp-27456', 'mp-567701', 'mp-1903'}"
"{'mp-134', 'mp-10172', 'mp-954', 'mp-9212', 'mp-22916', 'mp-1903'}"
"{'mp-10172', 'mp-954', 'mp-9212', 'mp-22916', 'mp-1903', 'mp-4202'}"
"{'mp-134', 'mp-10172', 'mp-34763', 'mp-954', 'mp-9212', 'mp-22916'}"
"{'mp-10172', 'mp-954', 'mp-560978', 'mp-1019519', 'mp-1079891', 'mp-4202'}"
"{'mp-10172', 'mp-954', 'mp-2631', 'mp-555218', 'mp-27456', 'mp-11820'}"
"{'mp-10172', 'mp-954', 'mp-2631', 'mp-555218', 'mp-11820', 'mp-1079891'}"
"{'mp-10172', 'mp-954', 'mp-2631', 'mp-11820', 'mp-1079891', 'mp-4202'}"
"{'mp-10172', 'mp-954', 'mp-1019519', 'mp-11820', 'mp-1079891', 'mp-4202'}"
"{'mp-10172', 'mp-954', 'mp-570400', 'mp-555218', 'mp-27456', 'mp-567701'}"
"{'mp-10172', 'mp-954', 'mp-570400', 'mp-2631', 'mp-555218', 'mp-27456'}"
"{'mp-10172', 'mp-954', 'mp-570400', 'mp-555218', 'mp-567701', 'mp-4202'}"
"{'mp-10172', 'mp-954', 'mp-570400', 'mp-555218', 'mp-1079891', 'mp-4202'}"
"{'mp-10172', 'mp-954', 'mp-570400', 'mp-2631', 'mp-1079891', 'mp-4202'}"
"{'mp-10172', 'mp-954', 'mp-570400', 'mp-2631', 'mp-555218', 'mp-1079891'}"
"{'mp-10172', 'mp-954', 'mp-560978', 'mp-1019519', 'mp-1199246', 'mp-1079891'}"
"{'mp-10172', 'mp-1342', 'mp-560978', 'mp-1019519', 'mp-1199246', 'mp-6575'}"
"{'mp-10172', 'mp-1342', 'mp-560978', 'mp-1019519', 'mp-1199246', 'mp-1079891'}"
"{'mp-10172', 'mp-954', 'mp-560978', 'mp-1199246', 'mp-4202', 'mp-6575'}"
"{'mp-10172', 'mp-954', 'mp-560978', 'mp-1199246', 'mp-1079891', 'mp-4202'}"
"{'mp-10172', 'mp-954', 'mp-555218', 'mp-1199246', 'mp-1079891', 'mp-4202'}"
"{'mp-10172', 'mp-954', 'mp-555218', 'mp-1199246', 'mp-22916', 'mp-4202'}"
"{'mp-10172', 'mp-555218', 'mp-1199246', 'mp-22916', 'mp-1079891', 'mp-4202'}"
"{'mp-10172', 'mp-34763', 'mp-954', 'mp-9212', 'mp-30975', 'mp-22916'}"
"{'mp-262', 'mp-10172', 'mp-34763', 'mp-954', 'mp-30975', 'mp-22916'}"
"{'mp-755417', 'mp-10172', 'mp-954', 'mp-560978', 'mp-1019519', 'mp-1199246'}"
"{'mp-755417', 'mp-10172', 'mp-954', 'mp-560978', 'mp-1199246', 'mp-6575'}"
"{'mp-755417', 'mp-10172', 'mp-560978', 'mp-1019519', 'mp-1199246', 'mp-6575'}"
"{'mp-10172', 'mp-1342', 'mp-6660', 'mp-22916', 'mp-31008', 'mp-985586'}"
"{'mp-10172', 'mp-6660', 'mp-30975', 'mp-22916', 'mp-31008', 'mp-985586'}"
"{'mp-10172', 'mp-6660', 'mp-954', 'mp-9212', 'mp-30975', 'mp-22916'}"
"{'mp-10172', 'mp-1342', 'mp-6660', 'mp-560978', 'mp-22916', 'mp-1079891'}"
"{'mp-10172', 'mp-6660', 'mp-9212', 'mp-560978', 'mp-22916', 'mp-1079891'}"
"{'mp-10172', 'mp-1342', 'mp-6660', 'mp-560978', 'mp-1199246', 'mp-6575'}"
"{'mp-10172', 'mp-1342', 'mp-6660', 'mp-560978', 'mp-1199246', 'mp-1079891'}"
"{'mp-10172', 'mp-6660', 'mp-9212', 'mp-560978', 'mp-1079891', 'mp-4202'}"
"{'mp-10172', 'mp-6660', 'mp-954', 'mp-9212', 'mp-22916', 'mp-4202'}"
"{'mp-10172', 'mp-6660', 'mp-954', 'mp-1199246', 'mp-22916', 'mp-4202'}"
"{'mp-10172', 'mp-6660', 'mp-954', 'mp-1199246', 'mp-4202', 'mp-6575'}"
"{'mp-10172', 'mp-6660', 'mp-560978', 'mp-1199246', 'mp-4202', 'mp-6575'}"
"{'mp-10172', 'mp-6660', 'mp-560978', 'mp-1199246', 'mp-1079891', 'mp-4202'}"
"{'mp-10172', 'mp-6660', 'mp-9212', 'mp-22916', 'mp-1079891', 'mp-4202'}"
"{'mp-10172', 'mp-6660', 'mp-1199246', 'mp-22916', 'mp-1079891', 'mp-4202'}"
"{'mp-13998', 'mp-10172', 'mp-1342', 'mp-30975', 'mp-2352', 'mp-985586'}"
