material_id,pretty_formula,theoretical,band_gap,density,e_above_hull,icsd_ids,FullWindow
mp-812,Ho2O3,False,3.961,8.404,0.000,"[184539, 80038, 152458, 639523, 44516, 639519, 27993, 185248, 82423, 33655, 27773, 96209, 639525, 82422, 41268]",True
mp-5418,Li6Zr2O7,False,3.944,3.433,0.000,"[73835, 73836, 41321]",True
mp-2345,Dy2O3,False,3.936,8.144,0.000,"[630047, 82421, 630042, 61269, 248579, 184538, 185242, 248578, 185606, 96208, 27994, 180837, 41269, 66736]",True
mp-1056,Tb2O3,False,3.912,7.837,0.000,"[33653, 27995, 647494, 184537, 647501, 647509, 40474]",True
mp-218,Sm2O3,False,3.878,6.962,0.000,"[96206, 647450, 184535, 41271, 165779, 647461, 40475, 27998, 33650]",True
mp-4533,Na2SiO3,False,3.863,2.540,0.000,"[24664, 74640, 15388]",True
mp-614603,CsI,False,3.856,3.555,0.000,[61517],True
mp-4156,Li2ZrO3,False,3.841,4.032,0.000,"[291154, 94897, 191166, 94895, 94896, 94894, 94893]",True
mp-9212,NaAlO2,False,3.815,2.669,0.000,[79404],True
mp-216,Sc2O3,False,3.814,3.751,0.000,"[202905, 647392, 647398, 184529, 169172, 647397, 24200, 27948, 41264, 26841, 33646, 186676, 26942]",True
mp-4657,Li5GaO4,False,3.792,2.824,0.000,"[16926, 9082]",True
mp-27247,Na3NbO4,False,3.782,3.680,0.000,[6116],True
mp-6406,Na2MgSiO4,False,3.774,2.575,0.000,"[15619, 15618]",True
mp-28940,Sr4Nb2O9,False,3.728,4.623,0.000,[79217],True
mp-18337,Be3N2,False,3.717,2.703,0.000,"[616348, 412667]",True
mp-1045,Nd2O3,False,3.711,6.396,0.000,"[191535, 645662, 96204, 645664, 645657, 184534]",True
mp-2605,CaO,False,3.692,3.287,0.000,"[60199, 52783, 60704, 619461, 61550, 180198, 26959, 90486, 261847, 51409, 75786, 163628, 75785, 28905]",True
mp-16705,Pr2O3,False,3.659,6.090,0.000,"[647301, 184533, 647290, 96203]",True
mp-28559,Na6Be8O11,False,3.621,2.402,0.000,[65247],True
mp-3952,BaY2O4,False,3.593,5.602,0.000,"[78483, 166845, 89640, 427510]",True
mp-2292,La2O3,False,3.590,5.840,0.000,"[641600, 184531, 641602, 96201]",True
mp-560978,Ba4Al2O7,False,3.574,5.080,0.000,[150769],True
mp-1153,Li2S,False,3.538,1.630,0.000,"[642291, 54396, 657596, 642297, 60432, 657597, 56023]",True
mp-1216,YbO,False,3.531,11.723,0.000,"[77710, 151764]",True
mp-31417,Nd3TaO7,False,3.472,7.403,0.000,[55659],True
mp-31415,La3TaO7,False,3.459,7.036,0.000,"[109059, 55655]",True
mp-2472,SrO,False,3.449,4.878,0.000,"[181061, 181274, 180194, 28904, 248393, 109461, 163625, 105548, 249178, 52276, 187678, 26960]",True
mp-14964,Pr3TaO7,False,3.418,7.233,0.000,[78008],True
mp-753721,GdOF,False,3.375,7.541,0.000,"[247803, 247805, 247806, 184007, 247802, 247804]",True
mp-17904,Nd2TiO5,False,3.348,5.729,0.000,"[195209, 262619, 2898, 247560]",True
mp-8128,NaNdO2,False,3.339,5.242,0.000,[31317],True
mp-14726,Na4TiO4,False,3.319,2.589,0.000,[69621],True
mp-18051,La2TiO5,False,3.292,5.361,0.000,"[195207, 261167, 262618, 28277, 247559]",True
mp-28030,Li8Nb2O9,False,3.242,3.396,0.000,[35252],True
mp-23714,SrH2,False,3.236,3.318,0.000,"[69077, 81426, 163569, 155988]",True
mp-7500,Na4SiO4,False,3.227,2.569,0.000,"[15500, 62594]",True
mp-8470,NaPrO2,False,3.200,5.018,0.000,[61682],True
mp-18793,LiCrO2,False,3.188,4.101,0.000,"[167479, 97758]",True
mp-23713,CaH2,False,3.186,1.959,0.000,"[156881, 156882, 156883, 23870, 157944, 155987, 261185, 261636, 260873, 81425, 261635, 619336, 1090]",True
mp-12671,Er2SO2,False,3.182,8.210,0.000,[109334],True
mp-23703,LiH,False,3.175,0.825,0.000,"[638265, 638263, 44748, 61751, 173192, 61749, 61754, 61752, 26874, 638266, 173177, 173178, 26873, 157495, 173205, 168789, 61750, 187680, 28557, 61753, 187681, 56066, 53975, 603869]",True
mp-551835,Ba2I2O,False,3.152,4.792,0.000,[391434],True
mp-5088,NaGdO2,False,3.150,6.044,0.000,"[22040, 97542]",True
mp-23702,LiH2N,False,3.124,1.120,0.000,"[168793, 165467, 182470, 156000, 51679, 10354, 173179, 237203, 182471, 37370, 161017, 168792, 154395]",True
mp-1019967,LaSi3N5,False,3.123,4.485,0.000,[130022],True
mp-2286,Li2Se,False,3.107,2.827,0.000,"[642354, 642353, 168446, 60433, 642355]",True
mp-4511,La2SO2,False,3.080,5.700,0.000,"[31640, 31614, 260145, 154583, 14280]",True
mp-2931,Li2TiO3,False,3.069,3.336,0.000,"[261238, 261236, 162215, 15150, 261239]",True
mp-5598,Sm2SO2,False,3.057,6.730,0.000,"[191403, 647379, 93224]",True
mp-578604,NaCrO2,False,3.036,4.140,0.000,"[182235, 108817, 24595]",True
mp-644307,Ca(H2N)2,False,3.035,1.727,0.000,[89572],True
mp-3211,Nd2SO2,False,3.016,6.222,0.000,"[645665, 300245, 32515]",True
mp-1019893,La3Si6N11,False,3.015,4.789,0.000,[248709],True
mp-3236,Pr2SO2,False,3.005,5.945,0.000,"[109329, 154585]",True
mp-1223129,Li4SiO4,True,5.093,2.317,0.000,[],True
mp-542201,Ba3Nb2O8,True,4.580,5.081,0.000,[],True
mp-769173,PrOF,True,4.437,6.241,0.000,[],True
mp-990440,Na2ZrO3,True,4.416,3.957,0.000,[],True
mp-17891,NaYSiO4,True,4.284,3.567,0.000,[],True
mp-769271,Sr4Ta2O9,True,4.197,5.850,0.000,[],True
mp-755417,Ba3(BO3)2,True,4.170,4.752,0.000,[],True
mp-1222825,Lu4Zr3O12,True,4.118,7.895,0.000,[],True
mp-1216160,Y4Zr3O12,True,4.032,5.250,0.000,[],True
mp-755013,Li5TaO5,True,3.720,4.430,0.000,[],True
mp-754027,NaSmO2,True,3.656,5.675,0.000,[],True
mp-770771,SrSc2O4,True,3.436,4.512,0.000,[],True
mp-755586,NaLaO2,True,3.242,4.856,0.000,[],True
