material_id,pretty_formula,band_gap,density,e_above_hull,theoretical,icsd_ids,FullWindow
mp-218,Sm2O3,3.782,6.962,0.000,False,"[96206, 647450, 184535, 41271, 165779, 647461, 40475, 27998, 33650]",True
mp-23870,NaH,3.767,1.417,0.000,False,"[183291, 186372, 186373, 261353, 33670, 186368, 56073, 33671]",True
mp-6406,Na2MgSiO4,3.765,2.575,0.000,False,"[15619, 15618]",True
mp-4657,Li5GaO4,3.763,2.824,0.000,False,"[16926, 9082]",True
mp-27247,Na3NbO4,3.760,3.680,0.000,False,[6116],True
mp-4156,Li2ZrO3,3.750,4.032,0.000,False,"[291154, 94897, 191166, 94895, 94896, 94894, 94893]",True
mp-1045,Nd2O3,3.708,6.396,0.000,False,"[191535, 645662, 96204, 645664, 645657, 184534]",True
mp-16705,Pr2O3,3.659,6.090,0.000,False,"[647301, 184533, 647290, 96203]",True
mp-28940,Sr4Nb2O9,3.648,4.623,0.000,False,[79217],True
mp-2605,CaO,3.630,3.287,0.000,False,"[60199, 52783, 60704, 619461, 61550, 180198, 26959, 90486, 261847, 51409, 75786, 163628, 75785, 28905]",True
mp-28559,Na6Be8O11,3.616,2.402,0.000,False,[65247],True
mp-18793,LiCrO2,3.548,4.101,0.000,False,"[167479, 97758]",True
mp-2292,La2O3,3.532,5.840,0.000,False,"[641600, 184531, 641602, 96201]",True
mp-31417,Nd3TaO7,3.483,7.403,0.000,False,[55659],True
mp-1216,YbO,3.473,11.723,0.000,False,"[77710, 151764]",True
mp-31415,La3TaO7,3.454,7.036,0.000,False,"[109059, 55655]",True
mp-14964,Pr3TaO7,3.424,7.233,0.000,False,[78008],True
mp-1153,Li2S,3.411,1.630,0.000,False,"[642291, 54396, 657596, 642297, 60432, 657597, 56023]",True
mp-753721,GdOF,3.375,7.541,0.000,False,"[247803, 247805, 247806, 184007, 247802, 247804]",True
mp-8128,NaNdO2,3.334,5.242,0.000,False,[31317],True
mp-14726,Na4TiO4,3.316,2.589,0.000,False,[69621],True
mp-17904,Nd2TiO5,3.314,5.729,0.000,False,"[195209, 262619, 2898, 247560]",True
mp-18337,Be3N2,3.313,2.703,0.000,False,"[616348, 412667]",True
mp-2472,SrO,3.287,4.878,0.000,False,"[181061, 181274, 180194, 28904, 248393, 109461, 163625, 105548, 249178, 52276, 187678, 26960]",True
mp-18051,La2TiO5,3.286,5.361,0.000,False,"[195207, 261167, 262618, 28277, 247559]",True
mp-3952,BaY2O4,3.249,5.602,0.000,False,"[78483, 166845, 89640, 427510]",True
mp-7500,Na4SiO4,3.222,2.569,0.000,False,"[15500, 62594]",True
mp-28030,Li8Nb2O9,3.209,3.396,0.000,False,[35252],True
mp-8470,NaPrO2,3.197,5.018,0.000,False,[61682],True
mp-1019967,LaSi3N5,3.193,4.485,0.000,False,[130022],True
mp-23702,LiH2N,3.144,1.120,0.000,False,"[168793, 165467, 182470, 156000, 51679, 10354, 173179, 237203, 182471, 37370, 161017, 168792, 154395]",True
mp-23714,SrH2,3.131,3.318,0.000,False,"[69077, 81426, 163569, 155988]",True
mp-5088,NaGdO2,3.117,6.044,0.000,False,"[22040, 97542]",True
mp-4511,La2SO2,3.080,5.700,0.000,False,"[31640, 31614, 260145, 154583, 14280]",True
mp-12671,Er2SO2,3.073,8.210,0.000,False,[109334],True
mp-551835,Ba2I2O,3.054,4.792,0.000,False,[391434],True
mp-2931,Li2TiO3,3.043,3.336,0.000,False,"[261238, 261236, 162215, 15150, 261239]",True
mp-23713,CaH2,3.008,1.959,0.000,False,"[156881, 156882, 156883, 23870, 157944, 155987, 261185, 261636, 260873, 81425, 261635, 619336, 1090]",True
mp-1223129,Li4SiO4,5.093,2.317,0.000,True,[],True
mp-542201,Ba3Nb2O8,4.500,5.081,0.000,True,[],True
mp-769173,PrOF,4.436,6.241,0.000,True,[],True
mp-990440,Na2ZrO3,4.359,3.957,0.000,True,[],True
mp-17891,NaYSiO4,4.283,3.567,0.000,True,[],True
mp-769271,Sr4Ta2O9,4.197,5.850,0.000,True,[],True
mp-755417,Ba3(BO3)2,4.170,4.752,0.000,True,[],True
mp-1222825,Lu4Zr3O12,4.118,7.895,0.000,True,[],True
mp-1216160,Y4Zr3O12,4.032,5.250,0.000,True,[],True
mp-755013,Li5TaO5,3.720,4.430,0.000,True,[],True
mp-754027,NaSmO2,3.613,5.675,0.000,True,[],True
mp-770771,SrSc2O4,3.436,4.512,0.000,True,[],True
mp-755586,NaLaO2,3.241,4.856,0.000,True,[],True
