elements
Ho
W
Ne
Be
Zr
U
Xe
Sm
Ac
Gd
Pa
Th
Mo
Sc
Tm
Sr
Ce
Dy
Tb
Nb
Mn
Ta
Os
K
Pr
Yb
Ru
Y
Pu
Nd
V
Tc
Cr
La
Co
Kr
Ni
Hf
Pm
Np
Ti
Cs
Lu
Er
He
Na
Re
Fe
Eu
Ar
Rb
