material_id,pretty_formula,FullWindow
mp-1188020,Zr2TcNi,True
mp-328,Zr2Ni,True
mp-30619,Zr3Co,True
mp-27162,Sc3Co,True
mp-2212,ScCo,True
mp-1188031,ZrScCo2,True
mp-253,ScCo2,True
mp-929,ZrCo2,True
mp-30569,Zr6Co23,True
mp-628,Zr2Co,True
mp-2283,ZrCo,True
mp-570670,YOs2,True
mp-1188757,Y3Os,True
mp-1187739,Y,True
mp-1095666,TbOs2,True
mp-1189565,Tb3Os,True
mp-570007,SmOs2,True
mp-1190029,Sm3Os,True
mp-86,Sm,True
mp-2157,Co3W,True
mp-1400,HfW2,True
mp-1192784,Hf9CoW4,True
mp-1193092,ErBe13,True
mp-1193176,Lu6Mn23,True
mp-865960,CoRe3,True
mp-1193334,Hf9CoRe4,True
mp-1203605,Hf21Re25,True
mp-864877,Hf2CoRe,True
mp-1689,HfRe2,True
mp-567490,Hf5Re24,True
mp-2049,ZrMo2,True
mp-1193397,Zr9NiMo4,True
mp-11507,Ni4Mo,True
mp-11506,Ni3Mo,True
mp-1193534,YBe13,True
mp-1193832,Zr9FeMo4,True
mp-1193889,HoBe13,True
mp-1194109,EuBe13,True
mp-1057315,Eu,True
mp-1194291,GdBe13,True
mp-570491,TaNi3,True
mp-1033,BeNi,True
mp-1208343,Ta6Be15Ni8,True
mp-1189402,Ta2Be17,True
mp-1102049,TaBe3,True
mp-1078957,Ta3Be2,True
mp-1867,Ta2Ni,True
mp-865168,Be3Ni,True
mp-11278,Ta2Be,True
mp-567842,TaBe12,True
mp-1208596,SmBe13,True
mp-12174,HfNi3,True
mp-1018056,HfNi,True
mp-2025,HfBe5,True
mp-1212567,Hf2Be17,True
mp-1212450,Hf6Be15Ni8,True
mp-1878,HfBe13,True
mp-2773,BeCo,True
mp-1212451,Hf6Be15Co8,True
mp-1183425,Be3Co,True
mp-1071690,Be5Co,True
mp-11272,Be2Nb3,True
mp-1214229,Be15(Nb3Ni4)2,True
mp-11273,Be3Nb,True
mp-1451,NbNi3,True
mp-1220799,NbNi,True
mp-30441,Be17Nb2,True
mp-568912,Be12Nb,True
mp-972071,V3Mo,True
mp-1215168,ZrVMo,True
mp-675,ZrW2,True
mp-1215169,ZrVW,True
mp-1215207,ZrScFe4,True
mp-1095443,ScFe2,True
mp-1218218,TaFe,True
mp-1215420,Zr3TaFe8,True
mp-568077,TaFe2,True
mp-1585,V3Co,True
mp-1215478,Zr2VCo3,True
mp-542614,VCo3,True
mp-1215479,Zr2V3Fe,True
mp-1079399,V3Fe,True
mp-866134,VFe3,True
mp-1215874,Zr3(V2Fe)2,True
mp-1215600,Zr2CoNi,True
mp-1105598,Y3Co,True
mp-1080107,UCo,True
mp-865373,YCo,True
mp-1383,UCo2,True
mp-1215820,YUCo10,True
mp-1294,YCo2,True
mp-862762,Pr3Co,True
mp-1215883,YbPr3Co34,True
mp-1105621,Pr2Co17,True
mp-1095601,YbCo3,True
mp-1104821,Pr5Co2,True
mp-1215908,YHoCo4,True
mp-11531,VNi2,True
mp-171,VNi3,True
mp-1418,FeNi3,True
mp-2213,FeNi,True
mp-1216443,V6FeNi,True
mp-7226,V3Ni,True
mp-1216708,V3Ni2,True
mp-1216666,TiNbCr4,True
mp-548,NbCr2,True
mp-1949,TiMn2,True
mp-1202079,Ti21Mn25,True
mp-1216946,TiMnCr,True
mp-867264,Re3Os,True
mp-1219509,ReOs,True
mp-867141,ReOs3,True
mp-518,Ti5Re24,True
mp-1018125,Ti2Re,True
mp-1217067,Ti2ReOs,True
mp-2179,TiRe,True
mp-1105945,Sm3Ni,True
mp-31139,TbNi,True
mp-623751,Tb3Ni,True
mp-1075,SmNi5,True
mp-1200995,Sm2Ni7,True
mp-1189379,Tb2Ni7,True
mp-1217630,Tb3SmNi4,True
mp-276,TbNi2,True
mp-999145,SmNi,True
mp-1402,SmNi2,True
mp-30808,TbNi5,True
mp-1095619,SmNi3,True
mp-1188994,Tb3Co,True
mp-30967,Tb12Co7,True
mp-1217693,Tb2Co3Ni,True
mp-2265,TbCo2,True
mp-1217989,Ta4CoNi,True
mp-574,Ta2Co,True
mp-1218015,TaCoNi2,True
mp-7851,TaCo3,True
mp-1218179,TaCo,True
mp-1105633,Y3Ni,True
