elements
Ac
Ar
Ba
Be
Ce
Co
Cr
Cs
Dy
Er
Eu
Fe
Gd
He
Hf
Ho
K
Kr
La
Lu
Mn
Mo
Na
Nb
Nd
Ne
Ni
Np
Os
Pa
Pm
Pr
Pu
Rb
Re
Ru
Sc
Sm
Ta
Tb
Tc
Th
Ti
Tm
U
V
W
Xe
Y
Yb
Zr
