material_id,pretty_formula
mp-1205422,Hf2Co7
mp-1207415,Zr6Be15Co8
mp-1207781,Y3Ru
mp-1209010,Sc2Be17
mp-12109,ZrRe2
mp-1212567,Hf2Be17
mp-1215168,ZrVMo
mp-1215217,ZrNbCr4
mp-1215478,Zr2VCo3
mp-1215479,Zr2V3Fe
mp-1215554,Zr2FeCo3
mp-1215844,YVFe11
mp-1215845,Yb2Ru
mp-1215874,Zr3(V2Fe)2
mp-1215958,YFeCo
mp-1216231,VW
mp-1216621,TiW
mp-1216666,TiNbCr4
mp-1217007,Tm4Co3
mp-1217201,Ti4Mn5V3
mp-1217247,Ti4CoNi
mp-1217363,TcRu
mp-1217473,TbHoFe4
mp-1217710,Tb2FeCo3
mp-1217895,TaMo
mp-1218022,TaCrCo
mp-1218179,TaCo
mp-1219231,Sm2Fe4Co13
mp-1219434,Sc2Fe3Ru
mp-1219509,ReOs
mp-1220023,OsRu
mp-1220316,NbW
mp-1220327,NbMo
mp-1220426,NbNi6Mo
mp-1220522,NbVCo
mp-1220599,NbVNi
mp-1220766,Nb2FeCo3
mp-1220799,NbNi
mp-1221162,Nb19Fe20
mp-1222913,LaCeRu4
mp-1222939,LaCeBe26
mp-1223428,LaCeNi10
mp-1223854,HoCoRu
mp-1223978,HoFeCo
mp-1224067,HfZrW4
mp-1225366,Dy2FeCo3
mp-1225543,ErFeRu
mp-1225806,Gd4Co3
mp-1226612,CeYCo17
mp-1226785,Ce2NiRu3
mp-123,Nd
mp-1247744,BaNa
mp-12615,TbBe13
mp-1263,URu3
mp-12775,ThRu
mp-129,Mo
mp-13,Fe
mp-131,Zr
mp-1374,Zr5Re24
mp-14015,HoMn12
mp-1425,TiCr2
mp-143,Tm
mp-144,Ho
mp-145,Lu
mp-1451,NbNi3
mp-146,V
mp-1473,Fe7W6
mp-1475,Be12Mo
mp-1553,HoNi5
mp-1570,YFe2
mp-1576,TmNi2
mp-1585,V3Co
mp-1590,Be12Cr
mp-1601,TaRu
mp-162,Yb
mp-1654,CeNi2
mp-1659,ThRe2
mp-1677,Be2Mo
mp-1709,U2Ti
mp-1718,ZrFe2
mp-1757,DyFe2
mp-1824,NdNi5
mp-1867,Ta2Ni
mp-1878,HfBe13
mp-1932,Nb3Os
mp-1939,ErNi2
mp-1980,YbNi2
mp-20089,GdFe2
mp-2049,ZrMo2
mp-20656,DyMn12
mp-2116,ZrMn2
mp-2130,LuNi2
mp-21315,PuNi5
mp-2152,YNi5
mp-2157,Co3W
mp-2216,Ce2Co17
mp-2225,Be2Fe
mp-22311,EuNi5
mp-2265,TbCo2
mp-2283,ZrCo
