material_id,pretty_formula
mp-1080107,UCo
mp-865373,YCo
mp-1383,UCo2
mp-1215820,YUCo10
mp-1294,YCo2
mp-862762,Pr3Co
mp-972364,Yb
mp-1215883,YbPr3Co34
mp-1105621,Pr2Co17
mp-1095601,YbCo3
mp-1104821,Pr5Co2
mp-1215908,YHoCo4
mp-568186,YRu2
mp-1207781,Y3Ru
mp-1216066,Y2CoRu3
mp-11531,VNi2
mp-171,VNi3
mp-1418,FeNi3
mp-2213,FeNi
mp-1216443,V6FeNi
mp-7226,V3Ni
mp-1216708,V3Ni2
mp-1216666,TiNbCr4
mp-1949,TiMn2
mp-1202079,Ti21Mn25
mp-1216946,TiMnCr
mp-316,MnV
mp-864984,MnV3
mp-865678,TiMn2V
mp-1217201,Ti4Mn5V3
mp-1409,TiNi3
mp-1048,TiNi
mp-1217247,Ti4CoNi
mp-1808,Ti2Ni
mp-1217473,TbHoFe4
mp-30634,HoFe3
mp-11698,Tb
mp-2584,TbFe3
mp-2265,TbCo2
mp-1217482,TbHoCo4
mp-30967,Tb12Co7
mp-1188994,Tb3Co
mp-18014,Th7Fe3
mp-1217496,ThScFe6
mp-30639,Th2Fe7
mp-30808,TbNi5
mp-1189379,Tb2Ni7
mp-276,TbNi2
mp-31139,TbNi
mp-623751,Tb3Ni
mp-1217693,Tb2Co3Ni
mp-1217710,Tb2FeCo3
mp-7851,TaCo3
mp-1218179,TaCo
mp-574,Ta2Co
mp-1217895,TaMo
mp-1217983,TaCo6Mo
mp-12678,TaMn2
mp-1217985,Ta2MnV3
mp-567276,TaV2
mp-1217989,Ta4CoNi
mp-1218015,TaCoNi2
mp-980752,Sm3Co
mp-7317,Sm5Co2
mp-1219047,SmYCo17
mp-1219005,SmYCo4
mp-540547,Sm2Co7
mp-1219231,Sm2Fe4Co13
mp-1225806,Gd4Co3
mp-1201816,Gd2Co17
mp-1219295,SmGdCo17
mp-1219785,PrSmCo17
mp-30970,Er12Co7
mp-537,ErCo2
mp-411,ErCo3
mp-1220026,PrErCo17
mp-1220374,NbVCr
mp-1187695,V3Cr
mp-1216394,VCr
mp-1187696,VCr3
mp-7250,Nb6Co7
mp-1220522,NbVCo
mp-977426,NbCo3
mp-1104417,La5Ru2
mp-1222913,LaCeRu4
mp-607,CeRu2
mp-570369,Ce16Ru9
mp-570629,Ce4Ru3
mp-1202486,La7Ru3
mp-573855,La7Ni3
mp-21188,CeNi
mp-1064719,LaNi
mp-580354,CeNi3
mp-582055,La7Ni16
mp-1223428,LaCeNi10
mp-1910,CeNi5
mp-2317,LaNi5
mp-1204381,Ce2Ni7
mp-1654,CeNi2
mp-1679,La2Ni7
mp-1229288,Ce15Ni32
mp-1223910,HoCoNi
mp-1224067,HfZrW4
mp-675,ZrW2
mp-1224193,HfZrMo4
mp-865382,V3Ru
mp-1395,VRu
mp-1224435,Hf2V3Ru
mp-971788,VRu3
mp-1224446,Hf3TaFe8
mp-1224689,GdErCo4
mp-1224937,GdYCo4
mp-1225043,DyYFe4
mp-1194186,Dy6Fe23
mp-568006,DyFe5
mp-646392,Dy3Co
mp-2551,DyCo5
mp-1225366,Dy2FeCo3
mp-2628,DyCo2
mp-573622,Dy12Co7
mp-569783,ErFe3
mp-1225620,ErFeCo
mp-1226473,CeYFe4
mp-11317,CeFe5
mp-1102302,CeOs2
mp-1226566,CeOsRu
mp-1226639,CeDyFe4
mp-1226767,Ce2CoRu3
mp-1112,CeCo2
mp-1226785,Ce2NiRu3
mp-12615,TbBe13
mp-14015,HoMn12
mp-1677,Be2Mo
mp-1475,Be12Mo
mp-1562,ThBe13
mp-16932,Th2Co17
mp-30564,ThCo
mp-30565,Th7Co3
mp-2039,ScMn2
mp-20656,DyMn12
mp-21050,UFe2
mp-22311,EuNi5
mp-1057315,Eu
mp-22482,ErMn12
mp-22508,YMn12
mp-23155,Ar
mp-23158,He
mp-2463,LuFe2
mp-640095,La3Co
mp-30559,LaCo13
mp-31189,DyBe13
mp-337,PuBe13
mp-571261,Pu
mp-457,CeBe13
mp-567695,UMn2
mp-571183,TmFe2
mp-612118,Kr
mp-639789,Fe2Re3
mp-784631,CrNi2
mp-819,HfCr2
mp-518,Ti5Re24
mp-1018125,Ti2Re
mp-861641,Ti2CoRe
mp-2179,TiRe
mp-11270,MnBe2
mp-2749,TiBe2
mp-1201649,Ti2Be17
mp-1104067,TiBe12
mp-1104792,MnBe12
mp-861958,Ti2MnBe
mp-861983,Ti2MnFe
mp-567314,ErNi
mp-1051,ErNi3
mp-1939,ErNi2
mp-853,ErNi5
mp-862615,Er2NiRu
mp-1200559,Er2Ni7
mp-862622,BeRu2W
mp-862655,Ru3W
