id,material_id,pretty_formula
199,mp-24199,LiHF2
200,mp-2530,Li2Te
201,mp-2659,LiN3
202,mp-27275,Li3BO3
203,mp-2744,LiPd
204,mp-27454,BaLi2Si
205,mp-27487,Li2ThN2
206,mp-27587,Li8Pb3
207,mp-27687,LiP7
208,mp-27811,Li2Te2O5
209,mp-279,LiIr
210,mp-27932,Li9Ge4
211,mp-28030,Li8Nb2O9
212,mp-28336,Li3P7
213,mp-28341,LiGaCl4
214,mp-28471,Li3AsS3
215,mp-28510,Li3BiO3
216,mp-28603,NaLiSe
217,mp-28623,Li4Ge5O12
218,mp-28628,Li3FeN2
219,mp-28989,Li10BrN3
220,mp-29025,Li5Br2N
221,mp-29077,LiBiO3
222,mp-29210,Li2Ga
223,mp-2931,Li2TiO3
224,mp-29344,LiGaCl3
225,mp-29364,Li5SbO5
226,mp-29463,LiBeN
227,mp-29520,LiAuI4
228,mp-29633,LiGePd2
229,mp-29720,Li21Si5
230,mp-29829,LiAuS
231,mp-2988,Li2GaRh
232,mp-29892,LiSb3O8
233,mp-29985,LiNb6Cl19
234,mp-30228,Li4HN
235,mp-30249,Li4GeS4
236,mp-30301,LiClO4
237,mp-30344,Li2InAg
238,mp-30392,Li2InAu
239,mp-30404,Li2SbAu
240,mp-30405,Li2SnAu
241,mp-3054,Li2CO3
242,mp-30738,LiIr3
243,mp-30760,Li3Pb
244,mp-30761,Li7Pb2
245,mp-30765,LiPt7
246,mp-30767,Li7Sn2
247,mp-30769,Li13Sn5
248,mp-30817,LiAl2Pd
249,mp-30819,LiAl2Pt
250,mp-30959,LiHS
251,mp-31194,Li13(Ga7Cu2)3
252,mp-31301,LiSn4Au3
253,mp-31324,Li2In
254,mp-31443,Li2InIr
255,mp-31496,Li2Sn2Au
256,mp-3158,Li2SbPt
257,mp-3201,Li2GaPd
258,mp-3524,LiPN2
259,mp-35388,LiSmSe2
260,mp-3540,Li2SnO3
261,mp-36111,LiMgP
262,mp-3726,Li2GaPt
263,mp-37620,LiMnO2
264,mp-37692,Li3RuO4
265,mp-3770,Li2Ce2Ge3
266,mp-37906,LiMgN
267,mp-3887,Li3GaN2
268,mp-4002,Li2ZrF6
269,mp-4107,Li(CoGe)6
270,mp-4117,Li2Si2O5
271,mp-4426,Li4SeO5
272,mp-4527,Li8SnO6
273,mp-4630,Li2RuO3
274,mp-4855,Li2SeO4
275,mp-4913,LiGa2Rh
276,mp-5001,Li3BN2
277,mp-5012,Li2SiO3
278,mp-504790,LiYSn
279,mp-5061,Li5ReO6
280,mp-5077,NaLi2Sb
281,mp-510430,Li13In3
282,mp-5159,LiGa2Pd
