id,pretty_formula
369,Dy3Ir
370,Ca3SiO
371,TiCo
372,TbN
373,LiAlNi2
374,Ru3W
375,Li2YIn
376,Sm
377,Sm5Ir2
378,Li2YbPb
379,NdAs
380,TbRu2
381,TbCu
382,Ti3Ir
383,SiRu
384,Nd2O3
385,GdRh2
386,Li2LaSn
387,LiPaRu2
388,LiTmGe
389,LiNdSn
390,LiLu2Rh
391,TbB4
392,Nd3Ir
393,Li2B2Rh3
394,LiGdGe
395,YN
396,LiZn
397,Fe7W6
398,Li3BN2
399,Pr7Ru3
400,LiLuGe
401,TiN
402,YIr2
403,Ca2N
404,ScRu2
405,LiCa2In
406,NdB4
407,Sc57Pt13
408,NdIr2
409,ThO2
410,LiEu4(BN2)3
411,LuN
412,Eu4Ir
413,LiRu2W
414,Li3Cd
415,ThRh
416,Sr3CrN3
417,Pr2O3
418,Y3Ir
419,Yb8Tl3
420,SrCu
421,Sc3P
422,Co
423,Be5Pd
424,Os
425,Li2CN2
426,Hf
427,Sc3P2
428,NdSi
429,Yb3N2
430,NbFe2
431,Be3Ir
432,Ta3Si
433,Yb2Pb
434,LiGd2Al
435,Y3Ru
436,La5Bi3
437,La2Sb
438,Li15Pd4
439,Mo
440,Li3LaSb2
441,Ta2N
442,V2C
443,Li7VN4
444,Li3Ag
445,Mn23C6
446,Pr5Ir2
447,Tb5Ir3
448,V3Ir
449,CoB
450,YbCu5
451,AlNi
452,LiGd2Ga
453,Li5Br2N
454,Li2GaPt
455,Er2O3
456,SrLiBi
457,Ti3Pt
458,La
459,Pr2Sb
460,Li2SmIn
461,Tb2O3
462,Li2CaSi
463,CsC8
464,Ho5Sn3
465,Tm2O3
466,VFe3
467,Li
468,LiNbIr2
469,Pr3Ir
470,Li2DyIn
471,TmIr
472,KLiTe
473,Yb8In3
474,MnB
475,Nb
476,Sc44Ru7
477,Nd2SeO2
478,EuO
479,Nb3Rh
480,LiPm2Pt
481,Cr
482,LuRu2
483,Li2PmIn
484,Nd3Os
485,GdB4
486,ErRu2
487,YbAl2
488,SmS
489,Sc11Ru4
490,Tb3Ru
491,LiY2Al
492,LiTm2Ru
493,SrLiAs
494,Sc11Os4
495,LiCaP
496,Gd2O3
497,LiGd2Os
498,Pr2SO2
499,LaOs2
500,LuRu
501,Be5Pt
502,Ba4I6O
503,Yb2Ge
504,Tm
505,LiY2Ru
506,HoB2
507,Li2LaPb
508,CaRh2
509,Sc57Rh13
510,Nb19Fe20
511,Li9Al4
512,DyIr2
513,ErB4
514,Li2NdIn
515,Y3Ga2
516,Li6MoN4
517,Sm3Ru
518,LiEr2Ir
519,BaCu
520,Ca5Rh
521,La5Ir2
522,LiAl2Ir
523,Li4Ca3(SiN3)2
524,SmRu2
525,LiMgN
526,LiHo2Ir
527,ScRh
528,Er5Ir3
529,LiNdGe
530,LiCo2Si
531,Li6Ca17Hg9
532,LiSc2Ir
533,Li3LaAs2
534,La2Bi
535,Nd5Ir2
536,KC8
537,Li2Nd2Si3
538,YOs2
539,LiDy2Os
540,YP
541,Li7MnN4
542,Li3Bi
543,LaHO
544,Li2PmAl
545,Li10BrN3
546,LiDyGe
547,NdP
548,LiGeRh2
549,LiPrSn
550,Li7IN2
551,V3Cr
552,AlMo3
553,Hf21Re25
554,Th
555,LiBeB
556,U
557,CeCu6
558,CrCo3
559,Sr17(Li2Hg3)3
560,Gd3In
561,LaS
562,Ti2Rh
563,LiIr
564,LiZnNi2
565,LiTm2Ir
566,Zr3Rh
567,TiCr2
568,V3Fe
569,Li2PmSn
570,Sr3MnN3
571,Sm2B5
572,ScOs2
573,CaCu5
574,TiNi3
575,LiCaAs
576,Ba19Na29Li13
577,VW3
578,ScH2
579,La5Ru2
580,ThN
581,HoB4
582,Ti21Mn25
583,SmCu2
584,TiFe
585,LiSm2Os
586,Nb3Ir
587,Zr
588,LiEuH3
589,RbCl
590,LiC12
591,Eu2N
592,VW
593,Tb3Ir
594,NbCr2
595,SrBe13
596,Ti6O
597,Li2La2Si3
598,Fe3Si
599,SrLi2Pb
600,LiNpRu2
601,V3Si
602,Dy3Ru
603,Ho5Ir3
604,Ti2Zn
605,PrRu2
606,SrLi2Sn
607,LiLu2Ru
608,Pr3Os
609,Nd2TeO2
610,LiVRh2
611,CaMg2
612,YbO
613,Hf3N2
614,YbB4
615,GdS
616,La7Ru3
617,Sm5Si3
618,Li3LaP2
619,HfRe2
620,Li4H4Rh
621,YCu
622,LiTiIr2
623,Y5Si3
624,Y5Ge3
625,TmB4
626,CaB6
627,LiCa2Ga
628,Li3ScN2
629,TbCu2
630,Li2ThN2
631,LiBC
632,Ti5Ge3
633,Gd2SO2
634,LiSc2Rh
635,LiYb2Rh
636,Li2YbSi
637,LiHfIr2
638,LiGd2Ru
639,LiTmO2
640,Sr2LiCBr3N2
641,Sc2Pd
642,TiNi
643,Sr4Li(BN2)3
644,LiAc2Ir
645,LiZrIr2
646,HfIr
647,LiTaRh2
648,Cr3Si
649,TbS
650,PrB4
651,PrS
652,Dy2O3
653,YB4
654,HfIr3
655,EuIr2
656,LuIr2
657,LaIr2
