material_id,pretty_formula,FullWindow
mp-1189,PrAl2,True
mp-2370,PrNi5,True
mp-1219687,PrAlNi4,True
mp-11799,PrNi,True
mp-1079699,PrAlNi,True
mp-38,Pr,True
mp-568417,PrAl,True
mp-1102445,PrNi3,True
mp-1106122,Pr3Ni,True
mp-12553,PrAl3,True
mp-1095484,PrAl4Ni,True
mp-1103785,Pr3Al11,True
mp-1163,UBe13,True
mp-87,Be,True
mp-1225044,Er2C,True
mp-567314,ErNi,True
mp-1184115,Er,True
mp-1203719,Er3C4,True
mp-853,ErNi5,True
mp-28147,Er4Ni13C4,True
mp-11723,ErNiC2,True
mp-1051,ErNi3,True
mp-1212833,Er4C7,True
mp-1939,ErNi2,True
mp-1200559,Er2Ni7,True
mp-1206215,Er4Ni2C5,True
mp-7130,ScRu3C,True
mp-33,Ru,True
mp-1179515,Sc3RuC4,True
mp-30867,ScRu,True
mp-1194143,Sc11Ru4,True
mp-567750,ScRu2,True
mp-1210377,Sc57Ru13,True
mp-1209947,Sc44Ru7,True
mp-103,Hf,True
mp-2802,HfRu,True
mp-569220,ErRu2,True
mp-1184159,ErHfRu2,True
mp-31198,Er3Ru2,True
mp-131,Zr,True
mp-214,ZrRu,True
mp-1184237,ErZrRu2,True
mp-646926,GdRu2,True
mp-1184370,Gd2NiRu,True
mp-1184422,Gd2CuRu,True
mp-1184496,Gd3Lu,True
mp-11495,LuRu,True
mp-1184510,GdLuRu2,True
mp-568630,LuRu2,True
mp-1198195,Tm5Ir3,True
mp-1184532,GdTmIr2,True
mp-11483,TmIr,True
mp-30743,TmIr2,True
mp-510400,GdIr3,True
mp-101,Ir,True
mp-2363,HfMo2,True
mp-11460,HfTc,True
mp-129,Mo,True
mp-1184589,HfTc2Mo,True
mp-113,Tc,True
mp-1095669,HfTc2,True
mp-11452,HfOs,True
mp-1193087,Zr11Os4,True
mp-570684,ZrOs2,True
mp-49,Os,True
mp-1184607,HfZrOs2,True
mp-11541,ZrOs,True
mp-30581,Hf2Cu,True
mp-1224756,Hf14Cu51,True
mp-1184609,Hf2CuTc,True
mp-1200988,Hf7Cu10,True
mp-7353,Hf3Cu8,True
mp-1189478,Er3Ir,True
mp-10659,Ho,True
