elements
Ho
W
Ne
Be
Al
Zr
U
Xe
Sm
Ca
Ac
Gd
Pa
Rh
Th
Li
Mo
Sc
Tm
Sr
Ce
Dy
Tb
Nb
Mn
Ta
Os
K
Pr
Yb
Cu
Ru
Ir
Y
Pu
Nd
V
Tc
Cr
La
Co
Kr
Ni
Hf
Pm
Np
Ti
Cs
Lu
Er
He
C
Re
Fe
Eu
Ar
Rb
