material_id,pretty_formula,FullWindow
mp-1184159,ErHfRu2,True
mp-31198,Er3Ru2,True
mp-2228,ErMg,True
mp-1212943,Er4MgRh,True
mp-865611,MgRh3,True
mp-1762,ErRh2,True
mp-74,Rh,True
mp-1172,MgRh,True
mp-1184217,ErMgRh2,True
mp-2381,ErRh,True
mp-12693,Mg2Rh,True
mp-542429,Mg3Rh,True
mp-1185250,ErMg149,True
mp-30612,Er7Rh3,True
mp-11437,Er3Rh,True
mp-30778,Mg5Rh2,True
mp-862681,ErMg3,True
mp-1198715,Er3Rh2,True
mp-1185582,Mg149Rh,True
mp-131,Zr,True
mp-214,ZrRu,True
mp-1184237,ErZrRu2,True
mp-669713,Gd2Ni7,True
mp-646926,GdRu2,True
mp-1184370,Gd2NiRu,True
mp-542632,GdNi,True
mp-21305,GdNi5,True
mp-543019,GdNi2,True
mp-1184422,Gd2CuRu,True
mp-1184496,Gd3Lu,True
mp-11495,LuRu,True
mp-145,Lu,True
mp-1184510,GdLuRu2,True
mp-568630,LuRu2,True
mp-1198195,Tm5Ir3,True
mp-1184532,GdTmIr2,True
mp-11483,TmIr,True
mp-30743,TmIr2,True
mp-510400,GdIr3,True
mp-101,Ir,True
mp-1185568,Mg149Pt,True
mp-1007691,HfPt,True
mp-11456,HfPt3,True
mp-13208,Mg2Pt,True
mp-12651,MgPt,True
mp-1185513,HfMg149,True
mp-18707,Mg3Pt,True
mp-30777,MgPt3,True
mp-1184572,HfMgPt2,True
mp-1206346,MgPt7,True
mp-1224475,HfPt4,True
mp-2363,HfMo2,True
mp-11460,HfTc,True
mp-129,Mo,True
mp-1184589,HfTc2Mo,True
mp-113,Tc,True
mp-1095669,HfTc2,True
mp-11453,HfPd3,True
mp-8,Re,True
mp-862586,Re3Pd,True
mp-865166,HfPd5,True
mp-11454,Hf2Pd,True
mp-1203605,Hf21Re25,True
mp-567490,Hf5Re24,True
mp-1184592,Hf2RePd,True
mp-1007692,HfPd,True
mp-1689,HfRe2,True
mp-861610,Tc3Pd,True
mp-1184594,Hf2TcPd,True
mp-11452,HfOs,True
mp-1193087,Zr11Os4,True
mp-570684,ZrOs2,True
mp-49,Os,True
mp-1184607,HfZrOs2,True
mp-11541,ZrOs,True
mp-30581,Hf2Cu,True
mp-1224756,Hf14Cu51,True
mp-1184609,Hf2CuTc,True
mp-1200988,Hf7Cu10,True
mp-7353,Hf3Cu8,True
mp-195,HoPt3,True
mp-1184663,Ho2RuPt,True
mp-1079180,HoPt,True
mp-1103863,Ho3Pt4,True
mp-1188476,Ho3Pt,True
mp-1102104,Ho2Pt,True
mp-1198999,Ho5Pt4,True
mp-1189478,Er3Ir,True
mp-1197997,Ho5Ir3,True
mp-1201760,Er5Ir3,True
mp-2713,ErIr,True
mp-1495,ErIr2,True
mp-928,HoIr2,True
mp-1184769,HoErIr2,True
mp-11476,HoIr,True
mp-1189120,Ho3Ir,True
mp-1184831,HoTmRu2,True
mp-1185270,LiNpRh2,True
mp-11534,Np,True
mp-11536,NpRh3,True
mp-1018134,Li,True
mp-600561,LiRh,True
mp-1001787,LiRh3,True
mp-1761,LuIr2,True
mp-54,Co,True
mp-1529,LuIr,True
mp-2206,LuCo2,True
mp-1222465,Lu4Co3,True
mp-567963,Lu5Ir2,True
mp-1185467,Lu2CoIr,True
mp-1169,ScCu,True
mp-1185508,LuScCu2,True
mp-1025122,LuCu2,True
mp-1018149,ScCu2,True
mp-580136,LuCu5,True
mp-1103511,Lu(Al2Cu)4,True
mp-2805,LuAl3,True
mp-1222454,Lu(AlCu)6,True
mp-1185509,LuAlCu2,True
mp-1234,LuAl2,True
mp-16508,Lu3Al2,True
mp-16507,LuAl,True
mp-1222329,LuAlCu,True
mp-1185586,Mg149Be,True
mp-855,MgBe13,True
mp-865382,V3Ru,True
mp-1395,VRu,True
mp-1185641,Mg149V,True
mp-146,V,True
mp-1185620,MgVRu2,True
mp-971788,VRu3,True
mp-1065995,ZrPt,True
mp-1185655,Mg149Zr,True
mp-1185625,MgZrPt2,True
mp-1188129,ZrPt3,True
mp-1207440,Zr7Pt10,True
mp-1205768,ZrPt8,True
mp-1220634,Nb2Tc,True
mp-1932,Nb3Os,True
mp-1220323,NbTc,True
mp-1220934,Nb3Os2,True
mp-867212,TcOs3,True
mp-1186210,Nb2TcOs,True
mp-862779,Tc3Os,True
mp-1327,NdMg,True
mp-123,Nd,True
mp-866172,HoMg3,True
mp-1787,NdMg3,True
mp-1199,HoMg,True
mp-1186307,NdHoMg2,True
mp-1185534,HoMg149,True
mp-1186599,NdMg149,True
mp-1186437,Pd3W,True
mp-91,W,True
mp-862954,PmPd3,True
mp-1186462,Pm2CuPd,True
mp-867200,Pm,True
mp-863677,PmCu3,True
mp-1186482,Pm2NiPt,True
mp-863718,PmNi3,True
mp-1186117,NiPt3,True
mp-945,NiPt,True
mp-1100766,Ni3Pt,True
mp-1104610,Eu5Pd2,True
mp-1057315,Eu,True
mp-1186575,PmEuPd2,True
mp-1018147,EuPd,True
mp-1854,EuPd2,True
mp-1105286,Eu3Pd2,True
mp-1186655,PmTmRu2,True
mp-1196999,Y3Rh2,True
mp-1189474,Y7Rh3,True
mp-1207780,Y3Rh,True
mp-1191413,YRh3,True
mp-862959,PmRh3,True
mp-921,YRh2,True
mp-1186677,PmYRh2,True
mp-191,YRh,True
mp-1186681,PmYIr2,True
mp-1198712,Y5Ir3,True
mp-1207785,Y3Ir,True
mp-2762,YIr2,True
mp-12678,TaMn2,True
mp-35,Mn,True
mp-1186761,Ta2MnRe,True
mp-50,Ta,True
mp-1187203,Ta3Re,True
mp-1217894,TaRe,True
