elements
Ho
W
Pt
Ne
Be
Al
Zr
U
Xe
Sm
Ca
Ac
Gd
Pa
Rh
Mg
Th
Li
Mo
Sc
Tm
Sr
Ce
Dy
Tb
Nb
Mn
Ta
Os
Pr
Yb
Cu
Ru
Ir
Y
Pu
Nd
V
Tc
Cr
La
Co
Kr
Ni
Hf
Pm
Np
Ti
Ba
Pd
Cs
Lu
Er
He
Na
Re
Fe
Eu
Ar
Rb
