material_id,pretty_formula,FullWindow
mp-1211687,La5Ge3O,True
mp-1084830,LaGe,True
mp-1211472,La4Ge7,True
mp-1187206,Ta3W,True
mp-979289,TaW3,True
mp-91,W,True
mp-1217811,TaW,True
mp-15698,Sr5As3,True
mp-13660,Ca4Sb2O,True
mp-2605,CaO,True
mp-9925,Ca2Sb,True
mp-1227708,Ca16Sb11,True
mp-17564,Ca5Sb3,True
mp-10688,CeO,True
mp-542313,Ce2O3,True
mp-2629,Ce7O12,True
mp-2517,Ca2Si,True
mp-1727,SrSi2,True
mp-2661,SrSi,True
mp-1563,CaSi,True
mp-7084,SrCaSi,True
mp-2700,CaSi2,True
mp-793,Ca5Si3,True
mp-1106,Sr2Si,True
mp-746,Sr5Si3,True
mp-10047,Ca5As3,True
mp-685008,Ba20As13,True
mp-2542,BeO,True
mp-679,Er2O3,True
mp-504886,Gd2O3,True
mp-35,Mn,True
mp-2748,CeAs,True
mp-54,Co,True
mp-2251,Li3N,True
mp-1001,BaN2,True
mp-1892,Ba2N,True
mp-2686,Ca2N,True
mp-1009657,CaN2,True
mp-844,Ca3N2,True
mp-1029375,BaCN2,True
mp-1214417,BaC6,True
mp-2209,CeGa2,True
mp-2563,CeSe,True
mp-1018276,CeGa,True
mp-862696,CeGa3,True
mp-19920,Ce3Ga,True
mp-510430,Li13In3,True
mp-1138,LiF,True
mp-31324,Li2In,True
mp-21293,Li3In2,True
mp-867226,Li3In,True
mp-12723,CaAu,True
mp-30367,Ca5Au2,True
mp-30368,Ca5Au3,True
mp-571264,Ca5Au4,True
mp-2364,PaO2,True
mp-2252,ScB2,True
mp-24237,ScH2,True
mp-22898,KI,True
mp-1095642,Eu2Ge,True
mp-21394,EuO,True
mp-20712,EuGe,True
mp-1188934,Eu5Ge3,True
mp-615,YMg,True
mp-2652,Y2O3,True
mp-865376,YMg3,True
mp-1265,MgO,True
mp-1188082,YMg149,True
mp-1623,ErS,True
mp-12671,Er2SO2,True
mp-573697,CsCl,True
mp-1215,Ti2O,True
mp-1071163,TiO,True
mp-554098,Ti6O,True
mp-72,Ti,True
mp-2591,Ti3O,True
mp-865027,Mn3Ge,True
mp-1025122,LuCu2,True
mp-580136,LuCu5,True
mp-2399,YHg,True
mp-11256,ScAu,True
mp-2647,Al2Au,True
mp-980769,SmCu,True
mp-1077154,SmCu2,True
mp-227,SmCu5,True
mp-1183995,GaCu3,True
mp-1087547,EuCu,True
mp-2066,EuCu5,True
mp-1071732,EuCu2,True
mp-1018131,LuAg2,True
mp-279,LiIr,True
