material_id,pretty_formula,FullWindow
mp-1102043,LaOs2,True
mp-49,Os,True
mp-11247,Li3Au,True
mp-567395,Li15Au4,True
mp-10961,La5Si3,True
mp-567258,LaZn2,True
mp-7083,LaSi,True
mp-12724,SrZn,True
mp-2615,LaZn,True
mp-569426,SrZn2,True
mp-9556,SrZnSi,True
mp-30949,Sr3SiO,True
mp-2472,SrO,True
mp-861620,LaZn4,True
mp-18510,Sr2SiO4,True
mp-2062,LaSi2,True
mp-30709,La2Zn17,True
mp-18026,SrZn11,True
mp-672707,SrZn13,True
mp-1200584,La3Zn22,True
mp-571191,LaZn11,True
mp-1218375,Sr2Zn5Si3,True
mp-1435,SrZn5,True
mp-1218249,SrLa4Si3O13,True
mp-14208,LiYSi,True
mp-1223129,Li4SiO4,True
mp-7020,LiYO2,True
mp-1201871,Li7Si3,True
mp-29720,Li21Si5,True
mp-1314,Li12Si7,True
mp-672287,Li13Si4,True
mp-2011,UP,True
mp-1199056,RbGe,True
mp-27757,Be4B,True
mp-2542,BeO,True
mp-11854,Er5Ge3,True
mp-1203572,Er11Ge10,True
mp-1711,Er3Ge4,True
mp-1198083,Gd5Ge4,True
mp-504886,Gd2O3,True
mp-155,Gd,True
mp-19918,GdGe,True
mp-21256,Mn7C3,True
mp-1849,Mn2P,True
mp-542830,Mn23C6,True
mp-1427,Lu2O3,True
mp-10688,CeO,True
mp-2154,CeP,True
mp-542313,Ce2O3,True
mp-2629,Ce7O12,True
mp-50,Ta,True
mp-1216441,Zr14Cu51,True
mp-193,Zr2Cu,True
mp-131,Zr,True
mp-1188077,Zr7Cu10,True
mp-1224756,Hf14Cu51,True
mp-30581,Hf2Cu,True
mp-1200988,Hf7Cu10,True
mp-7353,Hf3Cu8,True
mp-1472,ZrB2,True
mp-1515,ZrSi2,True
mp-893,ZrSi,True
mp-1215377,Zr4O,True
mp-1278,Zr2Si,True
mp-22447,Zr3P,True
mp-561418,Zr3O,True
mp-647729,Zr14P9,True
mp-11345,ZrP,True
mp-583740,Zr7P4,True
mp-1207024,Zr3Si2,True
mp-1185594,Mg149In,True
mp-1213975,CaB4,True
mp-865,CaB6,True
mp-3575,Ca3(BO3)2,True
mp-11908,Lu5Si3,True
mp-1001612,LuSi,True
mp-1096,CeS,True
mp-3972,Ce2SO2,True
mp-1106300,Nd3Ru,True
mp-1103979,Nd5Ru2,True
mp-1102217,NdRu2,True
mp-1103990,EuC6,True
mp-504731,EuF2,True
mp-778,Fe2P,True
mp-7822,Sc5Si3,True
mp-9969,ScSi,True
mp-619,UB4,True
mp-1514,UB2,True
mp-22319,UB12,True
mp-1221,V3Ge,True
mp-1104,LaMg,True
mp-1094174,LaMg3,True
mp-23703,LiH,True
mp-973391,LiSiB6,True
mp-8298,Sr4P2O,True
mp-32635,Sr3P2,True
mp-1109,Sr5Al9,True
mp-981,SrF2,True
mp-3393,Sr3Al2O6,True
mp-2775,SrAl4,True
mp-3094,SrAl2O4,True
mp-13972,Sm2SeO2,True
mp-1447,SmSe,True
mp-5380,Ca4P2O,True
mp-18350,V3P,True
mp-684675,V12P7,True
mp-20541,V2P,True
mp-1203324,Zr3Ge,True
mp-17706,Zr5Ge3,True
mp-1200749,Zr5Ge4,True
mp-1025513,ZrGe,True
mp-1269,SmS,True
mp-2748,CeAs,True
mp-1894,WC,True
mp-2599,NdN,True
mp-2593,AlNi3,True
mp-23,Ni,True
mp-16514,Al3Ni5,True
mp-1487,AlNi,True
mp-622209,Al3Ni,True
mp-1057,Al3Ni2,True
mp-16515,Al4Ni3,True
mp-510557,CsN3,True
mp-28366,Gd2B5,True
mp-1105563,GdB4,True
mp-22266,GdB6,True
mp-567833,EuSn,True
mp-1213070,Eu2Sn,True
mp-510430,Li13In3,True
mp-31324,Li2In,True
mp-21293,Li3In2,True
mp-867226,Li3In,True
mp-1158,LuPd3,True
mp-1103963,Lu3Pd4,True
mp-2205,LuPd,True
mp-2686,Ca2N,True
mp-1009657,CaN2,True
mp-1001,BaN2,True
mp-844,Ca3N2,True
mp-1892,Ba2N,True
mp-343,PrN,True
mp-16705,Pr2O3,True
mp-9968,PrSi,True
mp-2495,PrS,True
mp-3236,Pr2SO2,True
mp-1079937,Pr3Si2,True
mp-27760,PrSi2,True
mp-721592,Ca6Al7O16,True
mp-1591,Al4C3,True
mp-2404,CaAl2,True
mp-1227232,Ca6Al7ClO16,True
mp-1190736,Ca8Al3,True
mp-28160,Ca3C3Cl2,True
mp-23859,CaHCl,True
mp-984055,Ca7(H6Cl)2,True
mp-1139,Co3Mo,True
mp-28731,V6C5,True
mp-1195743,V18P9C2,True
mp-20648,V2C,True
mp-20937,Cr3C2,True
mp-1196316,Cr7C3,True
mp-723,Cr23C6,True
mp-7806,Cr3P,True
mp-22204,Co2P,True
mp-2296,Ni3P,True
mp-2199,Fe3Si,True
mp-871,FeSi,True
mp-568656,SiC,True
mp-1714,FeSi2,True
mp-867200,Pm,True
mp-862690,Ac,True
mp-2541,SmTl,True
mp-319,Sm2Tl,True
mp-11469,PrHg,True
mp-28164,Ba4P2O,True
mp-32606,Ba3P2,True
mp-2983,Ba(PN2)2,True
mp-2252,ScB2,True
mp-24237,ScH2,True
mp-19879,PPd3,True
mp-113,Tc,True
mp-464,HoSe,True
mp-510404,GdSe,True
mp-2470,DyS,True
mp-242,SrB6,True
mp-16432,Sr3(BO3)2,True
mp-743,RbN3,True
mp-33090,V2N,True
mp-1018027,VN,True
mp-1188283,V8N,True
mp-755293,Sr4Sb2O,True
mp-2585,Sr5Sb3,True
mp-1820,YbS,True
mp-2390,YbP,True
mp-1187909,Yb3P,True
mp-1190061,Eu5Si3,True
mp-21279,EuSi,True
mp-1072248,EuSi2,True
mp-554546,Eu2SiO4,True
mp-1102914,Ba2Eu3Si7,True
mp-22903,RbI,True
mp-22867,RbBr,True
mp-1188441,TiCu4,True
mp-742,Ti2Cu,True
mp-2078,TiCu,True
mp-2643,Ti3Cu4,True
mp-12546,TiCu3,True
mp-570436,CaIr2,True
mp-570356,Ca5Ir,True
mp-1463,LaIr2,True
mp-1104303,La3Ir2,True
mp-1199235,La5Ir3,True
mp-1104396,La5Ir2,True
mp-769173,PrOF,True
mp-5634,NdOF,True
mp-9967,NdSi,True
mp-18511,NdF3,True
mp-884,NdSi2,True
mp-567735,Nd5Si3,True
mp-355,Nd5Si4,True
mp-1072208,DyOF,True
mp-2620,DySi,True
mp-2345,Dy2O3,True
mp-2836,Dy5Si3,True
mp-1212889,DyF3,True
mp-569825,Dy10Si17,True
mp-1464,Nd5Ge3,True
mp-172,Nd5Ge4,True
mp-663,NdGe,True
mp-2015,Nd3Ge5,True
mp-2057,DyB2,True
mp-2719,DyB4,True
mp-16037,Dy2TeO2,True
mp-30429,Ba8Ga7,True
mp-1219,BaGa2,True
mp-335,BaGa4,True
mp-1774,ErB2,True
mp-2847,ErB4,True
mp-1222310,Lu2C,True
mp-24288,LuH2,True
mp-1203767,Lu3C4,True
mp-15178,Lu4C7,True
mp-1187695,V3Cr,True
mp-1216394,VCr,True
mp-1187696,VCr3,True
mp-744,HoP,True
mp-1191288,Eu2Ta2O7,True
mp-2747,TbPd3,True
mp-1104088,Tb3Pd4,True
mp-1080451,TbPd,True
mp-30667,Sr8Ga7,True
mp-182,SrGa2,True
mp-1827,SrGa4,True
mp-797,DyPd3,True
mp-1104399,Dy3Pd4,True
mp-12543,Dy3Pd2,True
mp-2226,DyPd,True
mp-636253,GdCu5,True
mp-1077933,GdCu2,True
mp-614455,GdCu,True
mp-569335,Sm2C3,True
mp-1219177,Sm2C,True
mp-1227337,Ca6Al7O16F,True
mp-1205337,Ca3(AlP2)2,True
mp-20181,Ce2C3,True
mp-408,Mg2Ge,True
mp-1183837,Co3Ni,True
mp-20874,EuB6,True
mp-505346,Eu3(BO3)2,True
mp-600561,LiRh,True
mp-1001787,LiRh3,True
mp-601,PrP,True
mp-645,TbP,True
mp-1029,BaF2,True
mp-505528,Nb3P,True
mp-505064,Nb2P,True
mp-9339,NbP,True
mp-648999,Nb5P3,True
mp-18254,Nb7P4,True
mp-1106024,Eu5As3,True
mp-20995,Eu4As3,True
mp-978,Sr2Sn,True
mp-1698,SrSn,True
mp-17720,Sr5Sn3,True
mp-980757,Sm5Sb3,True
mp-770806,Sm2TiO5,True
mp-561233,Sm9(SbO)5,True
mp-2281,SmSb,True
mp-931,ThP,True
mp-30228,Li4HN,True
mp-2251,Li3N,True
mp-23702,LiH2N,True
mp-1201065,Li15H9N8,True
mp-1200910,Li7H5N4,True
mp-31214,Ti3P,True
mp-30218,Ti2P,True
mp-739,TiP,True
mp-1191079,Ti7P4,True
mp-21009,EuSe,True
mp-542583,EuTe,True
mp-20300,EuP,True
mp-1025200,Eu2TiO4,True
mp-1079111,EuTiO3,True
mp-20587,EuS,True
mp-640095,La3Co,True
mp-1205615,La2Co2I,True
mp-30559,LaCo13,True
mp-1500,BaS,True
mp-555932,RbEr3F10,True
mp-2524,NdGa2,True
mp-1748,NdS,True
mp-1448,NdGa,True
mp-1203103,Nd3Ga2,True
mp-4156,Li2ZrO3,True
mp-5418,Li6Zr2O7,True
mp-3949,K7LiSi8,True
mp-8937,CrSi2,True
mp-729,Cr3Si,True
mp-1201758,KGe,True
mp-10711,VSi2,True
mp-2567,V3Si,True
mp-568671,V5Si3,True
mp-1395,VRu,True
mp-865382,V3Ru,True
mp-971788,VRu3,True
mp-1210753,Li2Al,True
mp-16506,Li3Al2,True
mp-10890,LiAl3,True
mp-1067,LiAl,True
mp-11534,Np,True
mp-2286,Li2Se,True
mp-20831,Gd4Sb3,True
mp-510403,GdSb,True
mp-570001,Al6Fe,True
mp-1229054,Al53Fe17Si12,True
mp-29110,Al2(FeSi)3,True
mp-1229249,Al79(Fe13Si9)2,True
mp-1190708,Al3Fe2Si,True
mp-2658,AlFe,True
mp-867878,AlFe2Si,True
mp-1183162,AlFe3,True
mp-616559,Ti2S,True
mp-29210,Li2Ga,True
mp-1205930,Li5Ga4,True
mp-9568,Li3Ga2,True
mp-21237,CoGe,True
mp-2052,ScAs,True
mp-505002,Sc5As3,True
mp-1188926,Sc3As2,True
mp-685008,Ba20As13,True
mp-8300,Ba4As2O,True
mp-28930,KC8,True
mp-4126,KUO3,True
mp-2486,UC2,True
mp-2625,U2C3,True
mp-2489,UC,True
mp-752658,Y2SeO2,True
mp-2637,YSe,True
mp-29621,Ba5Bi3,True
mp-1228030,Ba4Bi2O,True
mp-2367,LaC2,True
mp-1184,La2C3,True
mp-2800,USi3,True
mp-956,U3Si,True
mp-1845,CaBe13,True
mp-10721,Ti2C,True
mp-1215204,ZrTi2O,True
mp-631,TiC,True
mp-2795,ZrC,True
mp-684623,Zr10C9,True
mp-27919,Ti8C5,True
mp-1000,BaTe,True
mp-30428,BaCu,True
mp-1240,HoS,True
mp-2563,CeSe,True
mp-1205536,La2Os2I,True
mp-639805,Ta3Ge,True
mp-17593,Ta5Ge3,True
mp-1672,CaS,True
mp-642644,V2H,True
mp-318,SrIr2,True
mp-9488,SmOF,True
mp-1025489,SmSi,True
mp-1106373,Sm5Si3,True
mp-13955,SmSi2,True
mp-763,MgB2,True
mp-365,MgB4,True
mp-978275,MgB7,True
mp-1214417,BaC6,True
mp-20273,Ca3PbO,True
mp-30478,Ca2Pb,True
mp-2786,Ca5Zn3,True
mp-30483,CaZn,True
mp-1725,CaZn2,True
mp-1734,CaZn5,True
mp-18567,CaZn11,True
mp-11578,VZn3,True
mp-1227465,Ca4Zn51,True
mp-30883,V4Zn5,True
mp-5597,Ca(FeP)2,True
mp-1021323,LiC12,True
mp-20049,LiFeP,True
mp-760680,Li2Fe12P7,True
mp-695998,K2ZnH4,True
mp-1219429,Sc2CO,True
mp-2807,ScP,True
mp-22600,Sc3P2,True
mp-15661,Sc4C3,True
mp-28733,Sc3C4,True
mp-29941,Sc2C,True
mp-1188800,Sc3P,True
mp-17190,Sc5Ge3,True
mp-1198803,Sc5Ge4,True
mp-1196279,Sc11Ge10,True
mp-14964,Pr3TaO7,True
mp-2606,BaPd5,True
mp-1687,BaPd2,True
mp-1193896,Ba2H4Pd,True
mp-1008505,BaPd,True
mp-867199,Pm3Tl,True
mp-734,LaHg,True
mp-1079938,TlPd3,True
mp-1610,TbS,True
mp-814,DySe,True
mp-1534,YS,True
mp-1079585,Nb2N,True
mp-2634,NbN,True
mp-201,Yb5Sb3,True
mp-1857,YbCd,True
mp-1187653,YbCd3,True
mp-661,AlN,True
mp-1101870,TiFeP,True
mp-305,TiFe,True
mp-1217193,Ti3Fe5P4,True
mp-1217052,Ti6P2O,True
mp-1227708,Ca16Sb11,True
mp-17564,Ca5Sb3,True
mp-9925,Ca2Sb,True
