material_id,pretty_formula,theoretical,band_gap,density,e_above_hull,icsd_ids
mp-827,KN3,False,4.202,1.908,0.000,"[28896, 34270, 641260, 183847, 24007, 183850, 25006, 183849, 155168, 34269, 183848]"
mp-4481,Ca2SiO4,False,4.201,2.891,0.000,"[39005, 166637, 82995, 82994, 68753, 68754, 200707, 417503, 81095, 18179, 9095, 181558]"
mp-743,RbN3,False,4.198,2.634,0.000,"[34272, 644650, 34273, 25007]"
mp-555218,Ba4Br6O,False,4.181,4.506,0.000,[391435]
mp-554346,KSr4(BO3)3,False,4.172,3.994,0.000,"[171423, 425548, 423814]"
mp-3094,SrAl2O4,False,4.153,3.442,0.000,"[291357, 291361, 160297, 26466, 160296]"
mp-695998,K2ZnH4,False,4.149,2.083,0.000,"[79584, 187277, 658386]"
mp-3397,Ba2TiO4,False,4.144,4.965,0.000,"[2625, 15450]"
mp-27791,SrBe3O4,False,4.127,3.568,0.000,[26179]
mp-2652,Y2O3,False,4.106,4.892,0.000,"[193377, 237970, 193375, 193376, 193374, 187274, 41936, 160890, 290965, 86814, 81861, 66242, 85355, 82420, 290963, 16394, 86817, 78581, 186675, 153500, 193042, 181871, 155173, 184530, 185295, 23811, 290961, 26190, 27772, 647653, 181825, 80033, 86815, 77081, 86813, 151761, 66730, 33648, 66243, 41267, 151760, 290960, 192862, 290964]"
mp-4202,BaAl2O4,False,4.097,3.939,0.000,"[291360, 291356, 75426, 246027, 10036]"
mp-352,HfO2,False,4.068,9.968,0.000,"[60903, 173964, 60902, 638740, 27313, 638737, 638744, 57385, 173158, 187015, 172165]"
mp-661,AlN,False,4.054,3.201,0.000,"[608626, 608627, 602460, 190420, 44107, 54697, 161881, 82790, 602459, 191772, 183638, 185441, 42001, 34475, 44106, 608624, 41480, 163953, 31169, 181362, 34236, 41482, 67767, 41542]"
mp-22898,KI,False,4.043,2.972,0.000,"[53843, 44283, 52244, 22158, 53827]"
mp-707218,Ba3AlHO4,False,4.041,5.188,0.000,"[280520, 51069]"
mp-1427,Lu2O3,False,4.031,9.495,0.000,"[193361, 194467, 428543, 642475, 151762, 40471, 642477, 96211, 33659, 168341]"
mp-557753,K3PO4,False,3.999,2.510,0.000,[158801]
mp-1767,Tm2O3,False,3.991,8.919,0.000,"[647578, 33657, 78582, 184541, 90669, 61270, 647581]"
mp-29909,Ba4I6O,False,3.988,4.813,0.000,[280584]
mp-679,Er2O3,False,3.982,8.654,0.000,"[39185, 55832, 39187, 53406, 39521, 94888, 180843, 96210, 33656, 184540, 39189, 630890, 630897, 186592, 39190, 39186, 39188, 27992, 27774]"
mp-812,Ho2O3,False,3.961,8.404,0.000,"[184539, 80038, 152458, 639523, 44516, 639519, 27993, 185248, 82423, 33655, 27773, 96209, 639525, 82422, 41268]"
mp-22903,RbI,False,3.954,3.360,0.000,"[53831, 61536, 22168, 44287, 53846]"
mp-5418,Li6Zr2O7,False,3.944,3.433,0.000,"[73835, 73836, 41321]"
mp-2345,Dy2O3,False,3.936,8.144,0.000,"[630047, 82421, 630042, 61269, 248579, 184538, 185242, 248578, 185606, 96208, 27994, 180837, 41269, 66736]"
mp-1056,Tb2O3,False,3.912,7.837,0.000,"[33653, 27995, 647494, 184537, 647501, 647509, 40474]"
mp-2983,Ba(PN2)2,False,3.912,4.600,0.000,"[153060, 414350]"
mp-31116,LaScO3,False,3.897,5.670,0.000,"[99538, 237284]"
mp-218,Sm2O3,False,3.878,6.962,0.000,"[96206, 647450, 184535, 41271, 165779, 647461, 40475, 27998, 33650]"
mp-3564,BaSc2O4,False,3.872,4.796,0.000,"[201083, 35592]"
mp-614603,CsI,False,3.856,3.555,0.000,[61517]
mp-777297,K5H(CN2)2,False,3.850,1.984,0.000,[409559]
mp-4156,Li2ZrO3,False,3.841,4.032,0.000,"[291154, 94897, 191166, 94895, 94896, 94894, 94893]"
mp-23859,CaHCl,False,3.840,2.490,0.000,"[37199, 25601]"
mp-4974,La2Zr2O7,False,3.833,5.883,0.000,"[51573, 154752, 153222, 15165, 159321, 150206, 153814, 248878]"
mp-4571,CaZrO3,False,3.826,4.467,0.000,"[239370, 97466, 183758, 97464, 167889, 183757, 97463, 97465, 130053, 37264]"
mp-216,Sc2O3,False,3.814,3.751,0.000,"[202905, 647392, 647398, 184529, 169172, 647397, 24200, 27948, 41264, 26841, 33646, 186676, 26942]"
mp-568284,SrI2,False,3.802,4.243,0.000,[203137]
mp-1199246,Ba5B3BrO9,False,3.780,4.786,0.000,[422557]
mp-1201345,Ba5B3ClO9,False,3.749,4.652,0.000,[422556]
mp-18337,Be3N2,False,3.717,2.703,0.000,"[616348, 412667]"
mp-1045,Nd2O3,False,3.711,6.396,0.000,"[191535, 645662, 96204, 645664, 645657, 184534]"
mp-984055,Ca7(H6Cl)2,False,3.696,2.176,0.000,[420927]
mp-2605,CaO,False,3.692,3.287,0.000,"[60199, 52783, 60704, 619461, 61550, 180198, 26959, 90486, 261847, 51409, 75786, 163628, 75785, 28905]"
mp-16594,K3TbSi2O7,False,3.688,3.528,0.000,[412522]
mp-16705,Pr2O3,False,3.659,6.090,0.000,"[647301, 184533, 647290, 96203]"
mp-4387,SrZrO3,False,3.626,5.252,0.000,"[650, 173398, 184465, 89354, 188454, 159454]"
mp-3952,BaY2O4,False,3.593,5.602,0.000,"[78483, 166845, 89640, 427510]"
mp-2292,La2O3,False,3.590,5.840,0.000,"[641600, 184531, 641602, 96201]"
mp-29910,Sr4I6O,False,3.586,4.673,0.000,[280585]
mp-560978,Ba4Al2O7,False,3.574,5.080,0.000,[150769]
mp-23956,K2MgH4,False,3.554,1.585,0.000,"[68358, 93378]"
mp-1153,Li2S,False,3.538,1.630,0.000,"[642291, 54396, 657596, 642297, 60432, 657597, 56023]"
mp-3933,Mg2PN3,False,3.537,3.045,0.000,"[27229, 50224]"
mp-8430,KLiS,False,3.537,1.965,0.000,"[47229, 290450]"
mp-1216,YbO,False,3.531,11.723,0.000,"[77710, 151764]"
mp-551203,Sr2I2O,False,3.480,4.483,0.000,[409896]
mp-31417,Nd3TaO7,False,3.472,7.403,0.000,[55659]
mp-4056,CaSc2O4,False,3.456,3.819,0.000,"[26074, 16886]"
mp-2472,SrO,False,3.449,4.878,0.000,"[181061, 181274, 180194, 28904, 248393, 109461, 163625, 105548, 249178, 52276, 187678, 26960]"
mp-5977,Nd2Zr2O7,False,3.443,6.152,0.000,"[261854, 62793, 62794, 153227, 249974, 154754, 174187, 201277]"
mp-23260,BaI2,False,3.436,4.899,0.000,"[24366, 15707]"
mp-14964,Pr3TaO7,False,3.418,7.233,0.000,[78008]
mp-3834,BaZrO3,False,3.410,5.958,0.000,"[43136, 90049, 97460, 97462, 97461, 27048, 290002, 97459]"
mp-5001,Li3BN2,False,3.402,1.732,0.000,"[41022, 155129]"
mp-1079891,Ba2Br2O,False,3.401,4.492,0.000,[423479]
mp-2892,BaNd2O4,False,3.394,6.612,0.000,"[81380, 427484, 96546, 78486, 81379]"
mp-753721,GdOF,False,3.375,7.541,0.000,"[247803, 247805, 247806, 184007, 247802, 247804]"
mp-17904,Nd2TiO5,False,3.348,5.729,0.000,"[195209, 262619, 2898, 247560]"
mp-1195324,Pr2TiO5,False,3.346,5.528,0.000,[195208]
mp-770806,Sm2TiO5,False,3.336,6.106,0.000,"[195210, 191142]"
mp-974713,K2H4Pt,False,3.316,3.533,0.000,"[638221, 201992]"
mp-18051,La2TiO5,False,3.292,5.361,0.000,"[195207, 261167, 262618, 28277, 247559]"
mp-974482,K4Hf5O12,False,3.274,6.730,0.000,[180186]
mp-28030,Li8Nb2O9,False,3.242,3.396,0.000,[35252]
mp-23714,SrH2,False,3.236,3.318,0.000,"[69077, 81426, 163569, 155988]"
mp-643047,Ba3(H6Ir)2,False,3.208,5.662,0.000,[75962]
mp-23713,CaH2,False,3.186,1.959,0.000,"[156881, 156882, 156883, 23870, 157944, 155987, 261185, 261636, 260873, 81425, 261635, 619336, 1090]"
mp-12671,Er2SO2,False,3.182,8.210,0.000,[109334]
mp-23703,LiH,False,3.175,0.825,0.000,"[638265, 638263, 44748, 61751, 173192, 61749, 61754, 61752, 26874, 638266, 173177, 173178, 26873, 157495, 173205, 168789, 61750, 187680, 28557, 61753, 187681, 56066, 53975, 603869]"
mp-551835,Ba2I2O,False,3.152,4.792,0.000,[391434]
mp-10408,K2CN2,False,3.143,2.097,0.000,"[423580, 411094]"
mp-3556,Tm2SO2,False,3.140,8.430,0.000,"[647382, 400048]"
mp-23702,LiH2N,False,3.124,1.120,0.000,"[168793, 165467, 182470, 156000, 51679, 10354, 173179, 237203, 182471, 37370, 161017, 168792, 154395]"
mp-12669,Dy2SO2,False,3.115,7.771,0.000,[109332]
mp-17143,BaGd2O4,False,3.109,7.389,0.000,"[78484, 427487]"
mp-2286,Li2Se,False,3.107,2.827,0.000,"[642354, 642353, 168446, 60433, 642355]"
mp-4511,La2SO2,False,3.080,5.700,0.000,"[31640, 31614, 260145, 154583, 14280]"
mp-2931,Li2TiO3,False,3.069,3.336,0.000,"[261238, 261236, 162215, 15150, 261239]"
mp-504554,Ba5Ta4O15,False,3.059,7.685,0.000,"[15429, 16028]"
mp-5598,Sm2SO2,False,3.057,6.730,0.000,"[191403, 647379, 93224]"
mp-8335,Ba2ZrO4,False,3.028,5.804,0.000,[39707]
mp-3211,Nd2SO2,False,3.016,6.222,0.000,"[645665, 300245, 32515]"
mp-3236,Pr2SO2,False,3.005,5.945,0.000,"[109329, 154585]"
mp-1212889,DyF3,True,7.871,7.692,0.000,[]
mp-1211343,KNdF4,True,7.166,4.592,0.000,[]
mp-1209185,RbPrF4,True,6.859,4.923,0.000,[]
mp-17077,K2YF5,True,6.810,3.211,0.000,[]
mp-865934,YbF2,True,6.733,7.541,0.000,[]
mp-1219553,RbBH4,True,6.212,1.887,0.000,[]
mp-1185319,LiCl,True,5.927,1.660,0.000,[]
mp-1225884,CsBH4,True,5.816,2.372,0.000,[]
mp-865716,YbCl2,True,5.400,4.773,0.000,[]
mp-1097916,CsCaCl3,True,5.383,2.836,0.000,[]
mp-1213703,Cs3Ca2Cl7,True,5.186,2.860,0.000,[]
mp-1025185,Cs2CaCl4,True,5.113,2.875,0.000,[]
mp-1223129,Li4SiO4,True,5.093,2.317,0.000,[]
mp-1210775,LuOF,True,5.025,8.727,0.000,[]
mp-1207669,TmOF,True,4.860,8.197,0.000,[]
mp-1228149,Ba3Sr9Al4(O4F)4,True,4.604,4.992,0.000,[]
mp-769173,PrOF,True,4.437,6.241,0.000,[]
mp-1218249,SrLa4Si3O13,True,4.428,5.169,0.000,[]
mp-755417,Ba3(BO3)2,True,4.170,4.752,0.000,[]
mp-1189614,BaThO3,True,4.044,7.431,0.000,[189333]
mp-1216160,Y4Zr3O12,True,4.032,5.250,0.000,[]
mp-1227337,Ca6Al7O16F,True,3.871,2.658,0.000,[]
mp-1227232,Ca6Al7ClO16,True,3.797,2.695,0.000,[]
mp-755558,BaLa2O4,True,3.711,5.426,0.000,[]
mp-755895,Ba3Zr2O7,True,3.030,5.860,0.000,[]
