material_id,pretty_formula,band_gap,e_above_hull,theoretical
mp-4950,KCaF3,6.1391,0.023815076499999144,False
mp-23289,KCl,4.837999999999999,0.07811847000000016,False
mp-23193,KCl,5.027,0.0,False
mp-463,KF,5.9956,0.0,False
mp-8454,KF,6.3559,0.10353516999999979,False
mp-24084,KH,3.4696,0.0,False
mp-22898,KI,3.8512999999999997,0.0,False
mp-22901,KI,3.24,0.06974994499999987,False
mp-1078836,KI,3.7152000000000003,0.0207357749999999,False
mp-8430,KLiS,3.0582000000000003,0.0,False
mp-3448,KMgF3,6.9536999999999995,0.0,False
mp-827,KN3,4.1558,0.0,False
mp-861868,KNaLaTaO5,3.7163000000000004,0.0,False
mp-558212,KNaNdNbO5,3.4453,0.0,False
mp-861607,KNaNdTaO5,3.5102,0.0,False
mp-558317,KNaPrNbO5,3.4132,0.0,False
mp-861944,KNaPrTaO5,3.4550000000000005,0.0,False
mp-556438,KNaSmNbO5,3.4945,0.0,False
mp-861957,KNaSmTaO5,3.8959,0.0,False
mp-560767,KNaTiO3,3.5357999999999996,0.0,False
mp-2292,La2O3,3.532,0.0,False
mp-1968,La2O3,3.8443999999999994,0.024227712000000068,False
mp-4511,La2SO2,3.079699999999999,0.0,False
mp-905,LaF3,6.0428999999999995,0.0,False
mp-1101074,LaF3,5.2027,0.12366921791666652,False
mp-334,LaF3,6.0452,0.0006256274999998368,False
mp-8354,LaF3,5.7609,0.019348059166666154,False
mp-17171,LaF3,4.9443,0.14399255083333262,False
mp-31116,LaScO3,3.8831000000000007,0.0,False
mp-1960,Li2O,4.9168,0.0,False
mp-1125,Li2S,3.8991,0.055819699999999806,False
mp-557142,Li2S,3.1603,0.17537577999999954,False
mp-1153,Li2S,3.4112,0.0,False
mp-2931,Li2TiO3,3.0427999999999997,0.0,False
mp-4156,Li2ZrO3,3.7502000000000004,0.0,False
mp-27275,Li3BO3,5.147,0.0,False
mp-559848,Li4SiO4,4.9533,0.0025965272222165936,False
mp-11737,Li4SiO4,4.774100000000001,0.0,False
mp-9172,Li4TiO4,4.5591,0.0,False
mp-5418,Li6Zr2O7,3.9436,0.0,False
mp-28549,Li8SiO6,4.4497,0.0,False
mp-1138,LiF,8.7164,0.0,False
mp-23703,LiH,3.018,0.0,False
mp-23702,LiH2N,3.1435,0.0,False
mp-1188218,LiH2N,3.9371,0.2773444199999995,False
mp-561430,LiLuF4,7.901199999999999,0.0,False
mp-556472,LiYF4,7.8165000000000004,0.0006278624999982441,False
mp-3700,LiYF4,7.8271,0.0,False
mp-7020,LiYO2,4.108199999999999,0.0,False
mp-1427,Lu2O3,4.0233,0.0,False
mp-17673,Lu3O2F5,5.639399999999999,0.0,False
mp-24383,Mg(H2N)2,3.0141,0.0,False
mp-3933,Mg2PN3,3.5372000000000003,0.0,False
mp-549706,MgO,3.2870999999999997,0.07414231999999998,False
mp-1265,MgO,4.444899999999999,0.0,False
mp-1009129,MgO,3.0015000000000005,0.3869352250000002,False
mp-978278,Na(BH)6,5.638199999999999,0.0,False
mp-17183,Na2BeSiO4,4.5437,0.0,False
mp-6236,Na2BeSiO4,4.564,0.011590575781250223,False
mp-541989,Na2CN2,3.0423999999999998,0.0,False
mp-540945,Na2Li3GaO4,3.2395,0.0,False
mp-6406,Na2MgSiO4,3.7654,0.0,False
mp-6426,Na2MgSiO4,3.7692000000000005,0.0022324503125004114,False
mp-4533,Na2SiO3,3.8609999999999998,0.0,False
mp-18480,Na3Ca2TaO6,4.244,0.0,False
mp-707836,Na3H6Ir,3.3105,0.0,False
mp-24747,Na3H6Rh,3.1082,0.0,False
mp-558805,Na3Nd(BO3)2,3.7653000000000003,0.0,False
mp-4223,Na3PO4,4.1727,0.004459258125000254,False
mp-4185,Na3ScF6,6.8420000000000005,0.0,False
mp-556039,Na3Y(BO3)2,3.6611000000000002,0.0,False
mp-558455,Na4Li5(BO3)3,3.8260000000000005,0.0,False
mp-7500,Na4SiO4,3.2221,0.0,False
mp-14726,Na4TiO4,3.3158999999999996,0.0,False
mp-1192521,Na5Nd4Si4O16F,4.531000000000001,0.0,False
mp-1192370,Na5Pr4Si4O16F,4.4625,0.0,False
mp-1192338,Na5Sm4Si4O16F,4.6293,0.0,False
mp-28559,Na6Be8O11,3.6159999999999997,0.0,False
mp-556168,Na7Al3O8,3.1165000000000003,0.0,False
mp-28017,Na8Ti5O14,3.507,0.0,False
mp-7748,NaAlO2,4.7338000000000005,0.06499021687499962,False
mp-9212,NaAlO2,3.8007,0.0,False
mp-38725,NaBH4,6.3332,0.0,False
mp-1190869,NaBH4,6.3998,0.0029029808333334017,False
mp-1101862,NaBH4,6.415100000000001,0.0011249483333330978,False
mp-22916,NaBr,4.0899,0.0,False
mp-1180133,NaCaH6Ir,3.5244999999999997,0.0,False
mp-22862,NaCl,5.003299999999999,0.0,False
mp-22851,NaCl,3.9718999999999998,0.15451221000000004,False
mp-5586,NaErO2,4.0544,0.0,False
mp-11601,NaErO2,4.0684000000000005,0.00140653437500049,False
mp-682,NaF,6.0943,0.0,False
mp-5088,NaGdO2,3.1174,0.0,False
mp-23870,NaH,3.7974,0.0,False
mp-23268,NaI,3.5255,0.0,False
mp-1064979,NaI,4.0274,0.11819110749999995,False
mp-13019,NaLa2TaO6,3.969199999999999,0.0,False
mp-1020648,NaLaSiO4,4.457600000000001,0.0,False
mp-560189,NaLi2BO3,3.9495,0.0,False
mp-559904,NaLi3SiO4,4.4998000000000005,0.0,False
mp-8452,NaLiS,3.0482999999999993,0.0,False
mp-570538,NaN3,3.9425,0.0018523225000004473,False
mp-22003,NaN3,4.0245,0.0,False
mp-1066400,NaN3,4.1512,0.0018895724999996588,False
mp-8128,NaNdO2,3.3343999999999996,0.0,False
mp-13774,NaNdSiO4,4.4775,0.0,False
mp-10572,NaPN2,4.6825,0.0,False
mp-8470,NaPrO2,3.1969000000000003,0.0,False
mp-7914,NaScO2,3.99,0.0,False
mp-8973,NaSi2N3,4.183999999999999,0.0,False
mp-13042,NaSr3TaO6,3.8935,0.0,False
mp-556695,NaSrBO3,3.8485000000000005,0.0,False
mp-6964,NaTbO2,3.8924999999999996,0.0,False
mp-30980,NaYO2,4.133100000000001,0.0,False
mp-17891,NaYSiO4,4.2828,0.0,False
mp-2763,Nd2O3,3.8337999999999997,0.03809165250000035,False
mp-1045,Nd2O3,3.708,0.0,False
mp-17904,Nd2TiO5,3.3137999999999996,0.0,False
mp-31417,Nd3TaO7,3.4828,0.0,False
mp-1192039,Nd3TaO7,3.4700999999999995,0.0051485881818198465,False
mp-5634,NdOF,4.5309,0.0,False
mp-16705,Pr2O3,3.6593000000000004,0.0,False
mp-2063,Pr2O3,3.7756000000000003,0.02559570300000047,False
mp-14964,Pr3TaO7,3.4238,0.0,False
mp-13815,Rb2NaErF6,6.4984,0.0,False
mp-15318,Rb2NaHoF6,6.5301,0.0,False
mp-15317,Rb2NaHoF6,6.4808,0.0013000020000077939,False
mp-13926,Rb2NaYF6,6.4704,0.0,False
mp-23303,RbBr,3.9267,0.05520757499999984,False
mp-22867,RbBr,4.1927,0.0,False
mp-23295,RbCl,4.8393,0.0,False
mp-23299,RbCl,4.7794,0.061318749999999866,False
mp-555932,RbEr3F10,7.282,0.0,False
mp-22903,RbI,3.777,0.0,False
mp-23302,RbI,3.3455,0.04967870499999982,False
mp-581833,RbN3,3.7529,0.016001921249999995,False
mp-743,RbN3,4.1735999999999995,0.0,False
mp-556185,RbNaTiO3,3.4608999999999996,0.0,False
mp-216,Sc2O3,3.8235,0.0,False
