entry_id,pretty_formula
mp-12684,LaAl
mp-1189501,La7Pt3
mp-26,La
mp-16505,La3Al11
mp-959,LaAl3
mp-1002104,LaPt
mp-912,LaPt2
mp-1222903,LaAl2Pt3
mp-1104856,La3Pt4
mp-11351,CeAlNi
mp-20338,CeAl3Ni2
mp-1226626,CeAlNi4
mp-580354,CeNi3
mp-21188,CeNi
mp-582245,Ce4Al23Ni6
mp-1910,CeNi5
mp-1654,CeNi2
mp-30750,CeAl4Ni
mp-1204381,Ce2Ni7
mp-4817,CeAl5Ni2
mp-11512,LiAl2Ir
mp-135,Li
mp-279,LiIr
mp-30738,LiIr3
mp-568404,Li9Al4
mp-1210753,Li2Al
mp-16506,Li3Al2
mp-1067,LiAl
mp-11537,NbAlRu2
mp-977434,Nb3Ru
mp-75,Nb
mp-1842,NbAl3
mp-11517,NbRu3
mp-18427,Nb2Al
mp-432,NbRu
mp-1191827,Tb3(AlNi3)2
mp-11538,TbAlNi
mp-1103391,Tb2Al
mp-623751,Tb3Ni
mp-11698,Tb
mp-867232,TbAl3
mp-30808,TbNi5
mp-1189379,Tb2Ni7
mp-1217581,TbAlNi4
mp-1069297,Tb2AlNi2
mp-999130,TbNi
mp-1208327,TbAl3Ni2
mp-16516,TbAl2Ni
mp-756,TbAl2
mp-11225,TbAl
mp-276,TbNi2
mp-4353,TbAl4Ni
mp-1183191,AlCuRh2
mp-1214887,Al7Cu2Rh
mp-1742,GdRh
mp-1214063,Ca5Rh
mp-1191219,GdRh3
mp-571262,CaRh2
mp-20084,GdRh2
mp-1183601,CaGdRh2
mp-1183732,CeTh3
mp-2825,ErPd3
mp-1077518,ErCu4Pd
mp-1024991,ErCu2
mp-851,ErPd
mp-1184119,CuPd3
mp-1018029,CuPd
mp-1104774,Er3Pd4
mp-580357,Cu3Pd
mp-30579,ErCu5
mp-1184092,Er2CuPd
mp-1955,ErCu
mp-12545,Er3Pd2
mp-1184151,Cs
mp-646926,GdRu2
mp-1184370,Gd2NiRu
mp-974358,Ir3Ru
mp-510400,GdIr3
mp-862620,IrRu3
mp-1184393,Gd2IrRu
mp-1184583,Ho2AlRu
mp-1212260,Ho3(Al3Ru)4
mp-144,Ho
mp-1188420,HoAl
mp-391,HoAl2
mp-16502,Ho2Al
mp-1212388,Ho(Al5Ru)2
mp-898,HoAl3
mp-195,HoPt3
mp-1184663,Ho2RuPt
mp-1079180,HoPt
mp-1103863,Ho3Pt4
mp-1102104,Ho2Pt
mp-1198999,Ho5Pt4
mp-12086,Cu3Pt
mp-644311,CuPt
mp-580364,HoCu5
mp-30584,HoCu2
mp-12608,CuPt7
mp-1971,HoCu
mp-1184717,Ho2CuPt
mp-1184724,Ho2CoRu
mp-1023,Ho2Co17
mp-54,Co
mp-1223854,HoCoRu
mp-2396,HoCo2
mp-622565,Ho3Co
mp-30558,HoCo3
mp-30969,Ho12Co7
mp-1207785,Y3Ir
mp-1198712,Y5Ir3
mp-2762,YIr2
mp-1184732,GdYIr2
mp-30746,YIr
mp-31198,Er3Ru2
mp-569220,ErRu2
mp-1184790,GdErRu2
mp-1184891,HoLuCu2
mp-1025122,LuCu2
mp-1184930,HoLu3
mp-580136,LuCu5
mp-1185004,LaPmIr2
mp-867200,Pm
mp-1463,LaIr2
mp-1104303,La3Ir2
mp-1199235,La5Ir3
mp-1104396,La5Ir2
mp-1188506,La3Ir
mp-1104662,Yb5Pt2
mp-410,YbPt2
mp-1102776,Yb2Pt
mp-1190212,Yb5Pt3
mp-1197435,Yb5Pt4
mp-1185013,LaYbPt2
mp-1158,LuPd3
mp-1185442,Lu2CuPd
mp-2205,LuPd
mp-1103963,Lu3Pd4
mp-2206,LuCo2
mp-1204082,Lu2Co17
mp-1185457,Lu2CoCu
mp-1222465,Lu4Co3
mp-1103511,Lu(Al2Cu)4
mp-1222454,Lu(AlCu)6
mp-1185509,LuAlCu2
mp-1222329,LuAlCu
mp-1185609,LiGd2Rh
mp-600561,LiRh
mp-1001787,LiRh3
mp-1186205,Nb2MoOs
mp-129,Mo
mp-49,Os
mp-1220934,Nb3Os2
mp-1220327,NbMo
mp-1932,Nb3Os
mp-1220322,NbRe
mp-1186207,Nb2ReRu
mp-974455,Re3Ru
mp-862630,ReRu3
mp-1186901,Re
mp-1220634,Nb2Tc
mp-1220323,NbTc
mp-867212,TcOs3
mp-1186210,Nb2TcOs
mp-113,Tc
mp-862779,Tc3Os
mp-862848,Pa3Al
mp-862844,PaAl3
mp-2658,AlFe
mp-1186389,PaAlFe2
mp-10740,Pa
mp-570001,Al6Fe
mp-1183162,AlFe3
mp-13,Fe
mp-973908,PaFe3
mp-1214901,Al12Fe7
mp-862954,PmPd3
mp-1186481,Pm2NiPd
mp-863718,PmNi3
mp-1186482,Pm2NiPt
mp-1186117,NiPt3
mp-945,NiPt
mp-1100766,Ni3Pt
mp-1104610,Eu5Pd2
mp-1057315,Eu
mp-1105286,Eu3Pd2
mp-1854,EuPd2
mp-1018147,EuPd
mp-1186575,PmEuPd2
mp-1186583,PmEuPt2
mp-22797,EuPt2
mp-1104413,Eu5Pt2
mp-1104698,Eu3Pt2
mp-1196458,Eu5Pt4
mp-1187208,Ta2ReW
mp-91,W
mp-1217894,TaRe
mp-979289,TaW3
mp-1187203,Ta3Re
mp-50,Ta
mp-1187206,Ta3W
mp-1187370,TbPmIr2
mp-2725,TbIr2
mp-1201266,Tb5Ir3
mp-1106276,Tb3Ir
mp-1216621,TiW
mp-1823,Ti3Al
mp-72,Ti
mp-1187418,Ti2AlW
mp-1953,TiAl
mp-567705,TiAl2
mp-542915,TiAl3
mp-11227,Al12W
mp-30337,Al5W
mp-30336,Al4W
mp-291,TiOs
mp-1017983,TiMo3
mp-1187420,Ti2MoOs
mp-7343,Y3Pt
mp-1102657,Y2Pt
mp-2403,YPt3
mp-2674,YPt2
mp-1025448,YPt
mp-1187509,YbYPt2
mp-1095545,ZrTc2
mp-485,ZrNi3
mp-556,ZrNi
mp-867357,Tc3Ni
mp-2717,Zr2Ni7
mp-1188020,Zr2TcNi
mp-328,Zr2Ni
mp-2116,ZrMn2
mp-669917,ZrRh
mp-35,Mn
mp-229,ZrRh3
mp-417,MnRh
mp-1188022,ZrMnRh2
mp-2626,Zr3Rh5
mp-571664,Zr2Rh
mp-1188413,Zr3Rh
mp-1080703,PrAlPd
mp-1571,PrPd3
mp-1189783,PrAlPd2
mp-1104184,Pr3Pd4
mp-999291,PrPd
mp-395,ZrAl3
mp-1193200,Zr6Al7Cu16
mp-193,Zr2Cu
mp-1471,Zr3Al
mp-1188077,Zr7Cu10
mp-2772,ZrAl2
mp-12752,Zr4Al3
mp-1216441,Zr14Cu51
mp-1215318,ZrAlCu
mp-1482,Zr2Al3
mp-11453,HfPd3
mp-865166,HfPd5
mp-1193241,Hf6Al16Pd7
mp-1223870,Hf2Al3Pd
mp-16501,HfAlPd2
mp-11454,Hf2Pd
mp-1007692,HfPd
mp-1193889,HoBe13
mp-87,Be
mp-2554,Al3V
mp-1387,AlV3
mp-1194657,Th(Al10V)2
mp-30622,Dy5Ru2
mp-864995,DyAl3
mp-803,DyAl2
mp-1195540,Dy3(Al3Ru)4
mp-1105841,Dy3Ru
mp-1102728,Dy2Al
mp-1184067,Dy
mp-433,DyAl
mp-1195613,Sr2Al5Pd4
mp-22318,SrAl2
mp-999143,SrPd
mp-1558,SrPd2
mp-11224,Sr8Al7
mp-2775,SrAl4
mp-1260,SrPd5
mp-1109,Sr5Al9
mp-90,Cr
mp-1699,AlCr2
mp-867780,Al3Cr
mp-1196837,Ca(Al10Cr)2
mp-31019,Al45Cr7
mp-30174,Ca4Al51Cr7
mp-18142,Ca(Al5Cr)2
mp-259,AlMo3
mp-2733,Al8Mo3
mp-1198488,Er6Al43Mo4
mp-550,Al12Mo
mp-571053,Al5Mo
mp-571247,Al3Mo
mp-11318,CePt3
mp-1104294,Ce3Pt4
mp-19827,CeAlPt
mp-672344,CeAl5Pt3
mp-542777,CePt5
mp-21245,CePt
mp-1199697,Ce3(Al3Pt2)2
mp-570981,Ce2Al16Pt9
mp-1200740,Yb(TiAl10)2
mp-1199732,Yb6Ti4Al43
mp-1203416,Sm(Al10Cr)2
mp-1203633,Sm6Al43Cr4
mp-1204729,Yb6Al43W4
mp-568186,YRu2
mp-1207698,Y(Al5Ru)2
mp-1207781,Y3Ru
mp-1207755,Yb6Nb4Al43
mp-771,MnAl
mp-2856,Mn4Al11
mp-1207829,Yb6Mn4Al43
mp-173,MnAl6
mp-1208184,Tm6Nb4Al43
mp-1208191,Tm6Ti4Al43
mp-1208552,Tb2(Al3Ir)3
mp-1208556,Tb6Al43V4
mp-7188,Al2Os
mp-567339,PrOs2
mp-1209309,Pr(Al5Os)2
mp-567929,Al13Os4
mp-1209374,Pr3(Al3Os)4
mp-1189967,Pr3Os
mp-1210082,Nd6Al5Fe9
mp-1209904,Nd(Al5Fe)2
mp-977054,La(Al2Fe)4
mp-1211263,La(Al5Fe)2
mp-1211603,La6Al5Fe9
mp-1211304,Lu6Ti4Al43
mp-1211311,La2(Al3Ir)3
mp-1702,LaRh2
mp-1002107,LaRh
mp-974030,LaRh3
mp-1211312,La2(Al3Rh)3
mp-1211543,LaAlRh
mp-626,La4Rh3
mp-1104495,La3Rh2
mp-1212162,Ho(Al5Fe)2
mp-1224088,Ho(AlFe)6
mp-31179,Ho(Al2Fe)4
mp-30634,HoFe3
mp-1926,HoFe2
mp-1212705,GdAlRh
mp-1212845,Er(Al5Fe)2
mp-1225092,Er(AlFe)6
