material_id,pretty_formula
mp-647729,Zr14P9
mp-583740,Zr7P4
mp-1189340,Fe2P
mp-12040,K5FeO4
mp-18708,Fe3P
mp-1071163,TiO
mp-21289,TiZn3
mp-1215,Ti2O
mp-756510,K4TiO4
mp-554098,Ti6O
mp-1014229,Ti2Zn
mp-2591,Ti3O
mp-1014230,TiZn
mp-30882,TiZn2
mp-5455,K6Ti2O7
mp-13133,K2TiO3
mp-2741,CaF2
mp-45,Ca
mp-5926,KCaF3
mp-2292,La2O3
mp-26,La
mp-7958,KLaO2
mp-31415,La3TaO7
mp-23715,BaH2
mp-18892,KBaVO4
mp-19096,Ba2VO4
mp-31214,Ti3P
mp-1217052,Ti6P2O
mp-30218,Ti2P
mp-739,TiP
mp-1191079,Ti7P4
mp-729,Cr3Si
mp-8937,CrSi2
mp-3536,MgAl2O4
mp-31212,K2MgF4
mp-1185634,Mg149Si
mp-1185596,Mg149Al
mp-1367,Mg2Si
mp-1094116,MgAl2
mp-2151,Mg17Al12
mp-15171,K2MgSiO4
mp-11719,K4ZnP2
mp-695998,K2ZnH4
mp-2384,LaP
mp-2350,LaS
mp-15781,KLaS2
mp-28825,K3CoO2
mp-10004,Mo3P
mp-259,AlMo3
mp-219,MoP
mp-541684,K3AlP2
mp-568153,Al22Mo5
mp-2733,Al8Mo3
mp-7505,K2P2Pd
mp-19879,PPd3
mp-1618,PPd6
mp-2,Pd
mp-7643,K2AgSb
mp-1598,Na3P
mp-567276,TaV2
mp-7642,K2AgAs
mp-8298,Sr4P2O
mp-32635,Sr3P2
mp-1187073,Sr
mp-2472,SrO
mp-7931,SrP
mp-541294,SrNi9P5
mp-18632,SrNi5P3
mp-680339,Mn4Si7
mp-1431,MnSi
mp-20211,Mn3Si
mp-551873,Ca4Bi2O
mp-1056,Tb2O3
mp-2605,CaO
mp-27145,Ca5Bi3
mp-569535,Ca2Bi
mp-1189848,Tb5Bi3
mp-773137,KCaBi
mp-22921,TbBi
mp-20909,La3In
mp-759,La2Sb
mp-542503,La9(SbO)5
mp-20582,LaIn
mp-20729,LaIn3
mp-1065,LaSb
mp-1223,La4Sb3
mp-22282,LaIn2
mp-1104307,La3SbO3
