Li-Zr-Se
Li-Rh
Li-B
Li-Ce-Sn
Li-Ag
Li-H-Pd
Li-Ce-Sb
Li-Ce-Bi
Li-La-As
Li-La-Bi
Li-Sm-Sb
Li-Y-Bi
Li-S-O
Li-B-O
Li-Ge-N
Li-C
Li-Ru-N
Li-V-N
Li-Sb-N
Li-Fe-N
Li-Os-N
Li-Nb-N
Li-Al
Li-Tl
Li-Gd-Bi
Li-Tb-Ge
Li-Au-F
Li-Pd
Li-Mg
Li-Yb-Bi
Li-Sn-Se
Ba-Li-Sb
Li-Eu-Sb
Li-Hf-N
Li-Eu-O
Li-La-Si
Li-Eu-Bi
Li-Rh-F
Li-Au
Li-Cd-Pb
Li-F
Li-Al-Ir
Li-S
Li-Y-Ga
Li-Ag-F
Li-Cu-S
Li-Pt
Li-In-Bi
Li-In-Hg
Li-In-Pb
Li-Cd-Hg
Li-Pa-O
Li-Ac-Pb
Li-Ge-Pt
Li-Cl
Li-Mg-Cd
Li-Mg-Au
Li-Mg-Pb
Li-Gd-Al
Li-Pm-Ga
Li-Zn-Pt
Li-Zn-Ni
Li-Zn-Ag
Li-Sn-Pt
Li-Th-Rh
Li-Gd-Rh
Li-Zn-Sn
Cs-Li-Cl
Li-In-S
Li-Lu-Sn
Li-Sm-Sn
Li-Te-N
Li-Gd-Sn
Li-Ho-Sn
Li-B-H
Li-Se-O
Sr-Li
Li-Ho-Ge
Li-Ce-F
Li-Th-F
Li-Si
Li-Cu-P
Li-Sn-F
Li-Lu-Ge
Li-Cu-Ge
Li-Ga
Li-Ti-Se
Li-Ta-F
Li-Tc-O
Li-Pr-Sn
Li-Pt-O
Li-I-O
Li-Eu-P
Li-Yb-Hg
Li-Ni-F
Li-Tm-Ge
Li-Mg-Zn
Li-Cu-Si
Cs-Li-Pb
Li-Sm-S
Li-U-I
Li-Bi-S
Li-Cd-Sb
Li-Er-Br
Li-Mg-Tl
Li-Zn-Cu
Li-Mg-Hg
Li-Mg-Ga
Li-Mg-Ge
Li-Ge-Pd
Li-Ti-Te
Li-Mg-Si
Li-O
Li-B-F
Li-Mg-As
Li-Ho-O
Li-Tl-Pd
Na-Li-Au
Sr-Li-Ge
Sr-Li-P
Ba-Li-P
Li
Li-Co-Ge
Li-Al-N
Li-Pt-F
Li-Rh-O
Li-Y-Si
Li-Y-Ge
Li-Cd
Li-Zn-O
Li-Ge-O
Ba-Li-Si
Li-Cu-As
Ba-Li-As
Li-Y-S
Li-Dy-S
Li-Ho-S
Li-Tb-Se
Li-Ho-Se
Li-Er-Se
Li-Sm-Ge
Li-U-S
Li-Ni-Ge
Li-Si-Ni
Li-Ag-Sb
Li-In-Ge
Li-Hg
Li-Sn-Rh
Li-Ge
Li-Cr-O
Li-Zn
Li-Fe-O
Li-Cu-O
Li-Fe-P
Li-In-Se
Li-In-Pt
Li-Sb
Li-In-Te
Li-Ca-Pb
Li-In-Pd
Li-Yb-Pb
Li-In
Li-Sn-Ru
Li-Gd-O
Li-Mo-F
Li-Pb-O
Li-N
Li-Se
Li-Bi
Li-Al-Cl
Li-Pb
Li-H-N
Li-H
Li-H-O
Li-H-F
Li-Te
Li-Th-N
Li-P
Li-Te-O
Li-Ir
Li-Nb-O
Li-Ga-Cl
Li-As-S
Li-Bi-O
Na-Li-Se
Li-Br-N
Li-Ti-O
Li-Sb-O
Li-Be-N
Li-Au-I
Li-Au-S
Li-Ga-Rh
Li-Nb-Cl
Li-Ge-S
Li-Cl-O
Li-In-Ag
Li-In-Au
Li-Sb-Au
Li-Sn-Au
Li-C-O
Li-Sn
Li-Al-Pd
Li-Al-Pt
Li-H-S
Li-Ga-Cu
Li-In-Ir
Li-Sb-Pt
Li-Ga-Pd
Li-P-N
Li-Sm-Se
Li-Sn-O
Li-Mg-P
Li-Ga-Pt
Li-Mn-O
Li-Ru-O
Li-Ce-Ge
Li-Mg-N
Li-Ga-N
Li-Zr-F
Li-Si-O
Li-B-N
Li-Y-Sn
Li-Re-O
Na-Li-Sb
Li-Cr-N
Li-Al-O
Li-Ir-O
Sr-Li-Sb
Li-In-I
Li-Ga-Ir
Li-Fe-F
Li-Mn-F
Li-Te-S
Li-B-S
Li-Lu-F
Li-Ag-Sn
Li-Ga-I
Ba-Na-Li
Li-Ca
Li-I
Li-Nd-Si
Li-Eu-Si
Li-Sc-O
Li-Ga-O
Li-Al-Ge
Li-Y-In
Li-In-Cl
Li-Mn-Se
Li-As
Rb-Li-Sn
Li-Si-P
Li-Ti-N
Li-Si-N
Li-Y-O
Li-Tb-O
Li-V-F
Li-Ce-O
Li-Hf-O
Li-Ta-S
Li-Sb-S
Li-Zn-N
Cs-Li-F
Li-W-F
Li-Cu-F
Li-Ta-O
Li-Ti-S
Li-Co-O
Li-Ni-O
Li-V-O
Li-Ge-F
Li-Ga-Ge
Li-Al-B
Li-La-Sb
Li-Nd-As
Li-La-P
K-Li-S
Li-U-O
Li-Mn-Pt
Li-Rh-Pb
Li-Tm-In
Li-Ho-Hg
Li-La-Pb
Li-Ga-Au
Li-Pm-Al
Li-Ta-Rh
Li-Pm-Ge
Li-Lu-Os
Li-Al-Rh
Li-As-Pd
Li-Er-Tl
Li-Ac-Tl
Li-Er-Ir
Li-Y-Al
Li-Er-Os
Li-Er-Hg
Li-Ca-Al
Li-Cu
Li-Er-Ru
Li-Hf-Os
Li-Al-Au
Li-Ca-Rh
Li-Gd-Ir
Li-Pm-Os
Li-Sc-Os
Li-Pm-Au
Li-Pm-Tl
Li-Pm-Sn
Li-Mg-Pt
Na-Li-Bi
Li-Sm-Tl
Li-Gd-Tl
Li-Sc-Pt
Li-Gd-In
Li-Er-In
Li-Cd-Pd
Li-Ho-Tl
Li-Pr-Ge
Li-Pr-Tl
Li-In-Sn
Li-Pr-Hg
Li-Sc-Rh
Li-Si-Ru
Li-Zr-Pt
Li-Y-Tl
Li-Zr-Rh
Li-Zr-Os
Li-Zn-Au
Li-Ca-In
Li-Zn-Rh
Li-Zr-Au
Li-Si-Ir
Li-Sc-Tc
Li-Th-Au
Li-Ca-Sn
Li-Pd-Au
Li-Nd-Tl
Li-Nd-In
Li-Yb-Si
Li-Pr-Pb
Li-Dy-Tl
Li-Cd-Rh
Li-Tm-Rh
Sr-Li-Pb
Li-Ga-Ni
