Li-Tl
Li-Si
Li-Rh
Li-Ge
Li-P
Li-Sb
Li-H
Li-Ir
Li-N
Li-Cd
Li-O
Li-Pd
Li-Mg
Li-Pb
Li-Ag
Li-B
Li-Hg
Li-Ga
Li-C
Li-In
Li-Zn
Li-Sn
Li-Au
Li-Se
Li-Cu
Li-As
Li-Cl
Li-I
Li-Al
Li-Pt
Li-S
Li-Ca
Sr-Li
Li-Bi
Li-Te
Li-Br
Li-F
