material_id,pretty_formula
mp-1018134,Li
mp-131,Zr
mp-2286,Li2Se
mp-573471,Li17Sn4
mp-567332,Ce
mp-1197547,Li15Pd4
mp-23703,LiH
mp-23222,Li3Bi
mp-980757,Sm5Sb3
mp-86,Sm
mp-2074,Li3Sb
mp-1187739,Y
mp-75,Nb
mp-1188283,V8N
mp-146,V
mp-33090,V2N
mp-4604,Li7VN4
mp-2251,Li3N
mp-49,Os
mp-33,Ru
mp-1078961,LiTbGe
mp-11698,Tb
mp-1777,Li15Ge4
mp-1079394,LiDyGe
mp-10658,Dy
mp-867227,Li3Pt
mp-1138,LiF
mp-1077063,La2Bi
mp-26,La
mp-1018768,Li3LaBi2
mp-1095265,LiYbBi
mp-972364,Yb
mp-864647,Hf2N
mp-103,Hf
mp-1097065,Li2HfN2
mp-2828,HfN
mp-1224388,Hf3N2
mp-15822,LiSmGe
mp-15821,LiNdGe
mp-123,Nd
mp-8481,LiPrGe
mp-38,Pr
mp-1095380,LiEuBi
mp-1057315,Eu
mp-1885,AlIr
mp-279,LiIr
mp-11512,LiAl2Ir
mp-1210753,Li2Al
mp-1204352,Y3Ga2
mp-11420,YGa
mp-29210,Li2Ga
mp-1153,Li2S
mp-8,Re
mp-7396,Li3Tl
mp-1646,Li3Hg
mp-1079796,Ti3Pd
mp-72,Ti
mp-1185329,LiAcRh2
mp-600561,LiRh
mp-862690,Ac
mp-1185354,LiGd2Os
mp-155,Gd
mp-1094591,Li3Mg
mp-567395,Li15Au4
mp-510430,Li13In3
mp-145,Lu
mp-1185392,LiGd2Al
mp-19923,GdAl2
mp-1078585,GdAl
mp-1107,Th7Rh3
mp-37,Th
mp-12755,ThRh
mp-1185462,LiThRh2
mp-1190768,LiSmSn
mp-1191877,LiGdSn
mp-1192002,LiHoSn
mp-10659,Ho
mp-1192210,LiDySn
mp-1192957,Li8Ce7Ge10
mp-865875,Li3Ag
mp-15820,LiHoGe
mp-570466,Li2Ca
mp-1197580,Li6Ca17Hg9
mp-1188310,Tm5Ge3
mp-1018122,Tm
mp-1205941,LiTmGe
mp-1106373,Sm5Si3
mp-1025489,SmSi
mp-29720,Li21Si5
mp-1079937,Pr3Si2
mp-9968,PrSi
mp-1210780,Li2Pr2Si3
mp-1960,Li2O
mp-113,Tc
mp-1211088,LiCaP
mp-736,Li3P
mp-23,Ni
mp-1269,SmS
mp-867343,Li3Cd
mp-862658,LiCu3
mp-31442,Li2InRh
mp-14210,LiGdGe
mp-1001835,LiB
mp-3726,Li2GaPt
mp-865892,Li2CaPb
mp-574275,Li17Pb4
mp-834,ThN
mp-27487,Li2ThN2
mp-27797,Li4H4Rh
mp-10172,Na
mp-29149,Li4NCl
mp-1185319,LiCl
mp-210,BaLi4
mp-30816,Li2AlPd
mp-30818,Li2AlPt
mp-30819,LiAl2Pt
mp-862297,LiAlRh2
mp-364,AlRh
mp-30821,LiAl2Rh
mp-2988,Li2GaRh
mp-2530,Li2Te
mp-31441,Li2GaIr
mp-685209,Sc39N34
mp-67,Sc
mp-2857,ScN
mp-542435,Li3ScN2
mp-569501,LiCaBi
mp-87,Be
mp-567735,Nd5Si3
mp-571109,Li2Nd2Si3
mp-9967,NdSi
mp-355,Nd5Si4
mp-44,U
mp-1179656,Rb
mp-1934,LiZn
mp-862655,Ru3W
