material_id,pretty_formula,FullWindow
mp-1104052,Pr9Ga4,True
mp-669594,Pr5Ga3,True
mp-1190862,Sc2Pd,True
mp-2781,ScPd,True
mp-1780,ScRh,True
mp-30863,Sc57Rh13,True
mp-2748,CeAs,True
mp-567490,Hf5Re24,True
mp-1203605,Hf21Re25,True
mp-1689,HfRe2,True
mp-1495,ErIr2,True
mp-2713,ErIr,True
mp-1201760,Er5Ir3,True
mp-30843,Sr7Pt3,True
mp-1104397,Yb5Pd2,True
mp-2547,YbPd,True
mp-1184479,Gd3In,True
mp-1207599,Yb2Si,True
mp-1079180,HoPt,True
mp-1188476,Ho3Pt,True
mp-1102104,Ho2Pt,True
mp-1198999,Ho5Pt4,True
mp-1102508,DyOs2,True
mp-1189887,Dy3Os,True
mp-1184905,K,True
mp-16502,Ho2Al,True
mp-391,HoAl2,True
mp-1188420,HoAl,True
mp-1018166,AlTc2,True
mp-1104669,Ca5Pd2,True
mp-1104661,Ca3Pd2,True
mp-1106061,Ca3Pd,True
mp-2516,YZn,True
mp-1199166,Be17Os3,True
mp-1202141,Tm3Ga2,True
mp-1065301,TmGa,True
mp-553921,Pm2O3,True
mp-2290,NdRh2,True
mp-999335,NdRh,True
mp-1220520,Nd4Rh,True
mp-1104743,Nd3Rh2,True
mp-1201296,Nd5Rh4,True
mp-17706,Zr5Ge3,True
mp-1203324,Zr3Ge,True
mp-1188062,Zr3Sc,True
mp-1077791,ZrSc2,True
mp-1095690,Tm2Au,True
mp-1358,DyIr2,True
mp-1200226,Dy5Ir3,True
mp-1105615,Dy3Ir,True
mp-650,Be5Pd,True
mp-862714,Be3Ir,True
mp-1102875,Er2Al,True
mp-1208,ErAl2,True
mp-1188739,ErAl,True
mp-567750,ScRu2,True
mp-30867,ScRu,True
mp-1210377,Sc57Ru13,True
mp-1194143,Sc11Ru4,True
mp-1209947,Sc44Ru7,True
mp-1438,ZrIr3,True
mp-30749,Zr5Ir3,True
mp-568992,ZrIr,True
mp-30748,Zr3Ir,True
mp-11457,HfRh,True
mp-1190626,Hf2Rh,True
mp-1101968,HoTc2,True
mp-571262,CaRh2,True
mp-1214063,Ca5Rh,True
mp-214,ZrRu,True
mp-567258,LaZn2,True
mp-2615,LaZn,True
mp-1388,DyRh2,True
mp-232,DyRh,True
mp-1105786,Dy7Rh3,True
mp-1205201,Dy3Rh2,True
mp-1107,Th7Rh3,True
mp-12755,ThRh,True
mp-569074,Th7Pt3,True
mp-12754,ThPt,True
mp-129,Mo,True
mp-567412,Y5Sn3,True
mp-685209,Sc39N34,True
mp-2857,ScN,True
mp-570670,YOs2,True
mp-1188757,Y3Os,True
mp-567612,ScOs2,True
mp-568623,Sc44Os7,True
mp-12305,Sc11Os4,True
mp-1095545,ZrTc2,True
mp-1102657,Y2Pt,True
mp-1025448,YPt,True
mp-7343,Y3Pt,True
mp-11564,TmRh,True
mp-348,TmPd,True
mp-16507,LuAl,True
mp-1234,LuAl2,True
mp-16508,Lu3Al2,True
mp-568630,LuRu2,True
mp-11495,LuRu,True
mp-2786,Ca5Zn3,True
mp-1103570,Ca5Pt2,True
mp-1294,YCo2,True
mp-865373,YCo,True
mp-1105598,Y3Co,True
mp-510184,GdOs2,True
mp-1742,GdRh,True
mp-20084,GdRh2,True
mp-10622,PrAs,True
mp-1584,YbIr2,True
mp-632,TmCo2,True
mp-1217007,Tm4Co3,True
mp-2762,YIr2,True
mp-1198712,Y5Ir3,True
mp-1207785,Y3Ir,True
mp-2339,Ti3Pt,True
mp-21246,Ba2Pb,True
mp-291,TiOs,True
mp-1072856,PrZn2,True
mp-460,PrZn,True
mp-544,Ti3Ir,True
mp-1235,TiIr,True
mp-1129,ScIr,True
mp-1200708,Sc44Ir7,True
mp-1103411,Dy2Au,True
mp-567590,LuOs2,True
mp-1102890,TmTc2,True
mp-30385,Ho2Au,True
mp-189,SiRu,True
mp-867262,ScTc3,True
mp-1101953,HoOs2,True
mp-1190011,Ho3Os,True
mp-1578,V3Rh,True
mp-2006,V3Ir,True
mp-1001613,LuGa,True
mp-1199315,Lu3Ga2,True
mp-708,LaAs,True
mp-542569,AlRu,True
mp-1070580,Al3Ru2,True
mp-10910,Al2Ru,True
mp-11375,EuHg,True
mp-2545,YbHg,True
mp-672286,Eu3Ga2,True
mp-1487,AlNi,True
mp-2593,AlNi3,True
mp-16514,Al3Ni5,True
mp-862655,Ru3W,True
mp-867816,TaRu3,True
mp-977390,Ta3Ru,True
mp-1601,TaRu,True
mp-1218044,Ta3Ru2,True
mp-921,YRh2,True
mp-191,YRh,True
mp-1207780,Y3Rh,True
mp-1189474,Y7Rh3,True
mp-1196999,Y3Rh2,True
mp-2725,TbIr2,True
mp-1201266,Tb5Ir3,True
mp-1106276,Tb3Ir,True
mp-16721,TmAl,True
mp-858,TmAl2,True
mp-982635,Tm3Al2,True
mp-1104,LaMg,True
mp-2292,La2O3,True
mp-1094174,LaMg3,True
mp-23193,KCl,True
mp-614603,CsI,True
mp-1184151,Cs,True
mp-23295,RbCl,True
mp-22903,RbI,True
mp-2686,Ca2N,True
mp-1104937,Pr5Ru2,True
mp-16705,Pr2O3,True
mp-1197932,Pr7Ru3,True
mp-2665,PrRu2,True
mp-1105741,Pr3Ru,True
mp-1045,Nd2O3,True
mp-3211,Nd2SO2,True
mp-1748,NdS,True
mp-1427,Lu2O3,True
mp-20874,EuB6,True
mp-21394,EuO,True
mp-504886,Gd2O3,True
mp-1224869,Gd2C,True
mp-1189998,Gd2C3,True
mp-554098,Ti6O,True
mp-1018124,Ti2Rh,True
mp-2583,TiRh,True
mp-1215377,Zr4O,True
mp-1102043,LaOs2,True
mp-284,AlCo,True
mp-2652,Y2O3,True
mp-16713,Pr2B5,True
mp-12569,PrB4,True
mp-1542,YB2,True
mp-637,YB4,True
