material_id,pretty_formula,band_gap,e_above_hull,theoretical,icsd_ids
mp-15171,K2MgSiO4,4.003,0.000,False,[83226]
mp-680381,K2Na2Gd4Nb2O13,3.170,0.000,False,"[94744, 380307]"
mp-1201519,K2Na2Nd4Nb2O13,3.759,0.000,False,[380309]
mp-1200960,K2Na2Sm4Nb2O13,3.758,0.000,False,[380306]
mp-1198935,K2Na2Sm4Ta2O13,3.971,0.000,False,[308311]
mp-6058,K2NaScF6,6.758,0.000,False,"[22112, 65730]"
mp-1211860,K2NdF5,6.673,0.000,True,[]
mp-15379,K2SiO3,3.744,0.000,False,[201163]
mp-17434,K2SmF5,6.705,0.000,False,[20118]
mp-1211691,K2TbF5,6.791,0.000,True,[]
mp-1211547,K2ThO3,3.724,0.000,True,[]
mp-13133,K2TiO3,3.412,0.000,False,[162216]
mp-1211536,K2TmF5,6.803,0.000,True,[]
mp-17077,K2YF5,6.808,0.000,False,[20692]
mp-695998,K2ZnH4,4.127,0.000,False,"[79584, 187277, 658386]"
mp-18449,K2ZrO3,3.664,0.000,False,[16264]
mp-1211654,K3DyF6,6.436,0.000,True,[]
mp-16595,K3DySi2O7,3.706,0.000,False,[412523]
mp-1211695,K3ErF6,6.506,0.000,True,[]
mp-16597,K3ErSi2O7,3.738,0.000,False,[412525]
mp-680437,K3GdSi2O7,3.142,0.000,False,[412521]
mp-1211714,K3HoF6,6.492,0.000,True,[]
mp-16596,K3HoSi2O7,3.722,0.000,False,[412524]
mp-561474,K3LiSiO4,3.673,0.000,False,[65291]
mp-1211659,K3Lu(BO3)2,3.280,0.000,True,[]
mp-1211665,K3LuF6,6.483,0.000,True,[]
mp-557543,K3LuSi2O7,3.612,0.000,False,[412528]
mp-17850,K3NaTh2O6,3.667,0.000,False,[38325]
mp-1211700,K3Nd(BO3)2,3.367,0.000,True,[]
mp-8614,K3NdSi2O7,3.556,0.000,False,[62179]
mp-14565,K3P6N11,3.996,0.000,False,[50211]
mp-557753,K3PO4,4.002,0.000,False,[158801]
mp-1111079,K3ScF6,6.163,0.000,True,[]
mp-557577,K3ScSi2O7,3.638,0.000,False,[413432]
mp-1212001,K3Si6H6N11,3.106,0.000,True,[]
mp-559574,K3Sm(BO3)2,3.418,0.000,False,[245924]
mp-1195475,K3SmSi2O7,3.612,0.000,False,[430193]
mp-1211631,K3Tb(BO3)2,3.204,0.000,True,[]
mp-16594,K3TbSi2O7,3.688,0.000,False,[412522]
mp-1211645,K3TmF6,6.493,0.000,True,[]
mp-16598,K3TmSi2O7,3.756,0.000,False,[412526]
mp-19052,K3VO4,3.631,0.022,False,[4138]
mp-560869,K3VO4,4.043,0.000,False,[108936]
mp-555495,K3Y(BO3)2,3.181,0.000,False,[245925]
mp-13230,K3YF6,6.463,0.000,False,[416296]
mp-28158,K4Be3O5,3.211,0.000,False,[33808]
mp-1202514,K4Ca(SiO3)3,4.261,0.000,False,[246255]
mp-974482,K4Hf5O12,3.268,0.000,False,[180186]
mp-1211821,K4MoO5,3.159,0.000,True,[]
mp-560535,K4Sr(SiO3)3,4.161,0.008,False,[245304]
mp-1203391,K4Sr(SiO3)3,4.159,0.000,False,[240748]
mp-756510,K4TiO4,3.149,0.000,True,[]
mp-504840,K4WO5,3.232,0.000,False,[33294]
mp-27377,K4Zr5O12,3.187,0.000,False,[14024]
mp-777297,K5H(CN2)2,3.850,0.000,False,[409559]
mp-866662,K5La4Si4O16F,4.661,0.000,False,[380466]
mp-557798,K5Li2NdF10,6.452,0.000,False,[100166]
mp-1196988,K5Li2PrF10,6.470,0.000,False,[248019]
mp-1192490,K5Pr4Si4O16F,5.042,0.000,False,[429324]
mp-1195556,K5Y2Si4O13F,4.347,0.000,False,[429093]
mp-30990,K6Si2O7,3.506,0.000,False,[17064]
mp-5455,K6Ti2O7,3.448,0.000,False,"[67396, 66774]"
mp-560228,K6Ti2O7,3.454,0.000,False,[67397]
mp-1195894,K9Li3Nd3(BO3)7,3.754,0.000,False,[429855]
mp-5525,KAlO2,3.999,0.000,False,"[262971, 91842, 262972, 88774, 262969, 262970, 262967, 151882, 169481, 262968]"
mp-37722,KBH4,6.100,0.000,False,"[160985, 99264, 160984]"
mp-3919,KBO2,4.130,0.000,False,"[16005, 31686]"
mp-6812,KBaPO4,4.946,0.000,False,"[23884, 202430]"
mp-18892,KBaVO4,3.979,0.000,False,"[404249, 418461]"
mp-559670,KBaYSi2O7,4.682,0.000,False,[163665]
mp-570891,KBr,3.878,0.073,False,"[290562, 290580, 290566, 290563, 290576, 290569, 290581, 290579, 290582, 290571, 290567, 290564, 290570, 290559, 290573, 290561, 290574, 290572, 290578, 290577, 61556, 290556, 290560, 290555, 290554, 290553, 290568, 290550, 290558, 290552, 290557, 290565, 290551, 290575, 290549]"
mp-23251,KBr,4.310,0.000,False,"[52243, 53826, 44282, 187220, 18015, 22157, 53842]"
mp-555023,KCa4(BO3)3,4.590,0.000,False,[171422]
mp-643749,KCaF3,6.598,0.002,False,[85320]
mp-4950,KCaF3,6.139,0.024,False,"[154073, 154074]"
mp-5926,KCaF3,6.647,0.000,False,"[181644, 181649, 153629, 153628, 181648, 181646, 181645, 181647, 181643]"
mp-23193,KCl,5.027,0.000,False,"[240508, 240509, 240513, 240528, 240526, 162799, 240502, 240505, 240520, 240529, 22156, 52242, 53825, 240527, 240511, 240519, 187219, 18014, 240507, 240524, 240525, 154214, 28938, 240506, 240503, 240522, 240515, 240521, 240523, 240518, 240504, 240530, 44281, 240510, 240512, 165593, 240516, 53841]"
mp-23289,KCl,4.838,0.078,False,"[61557, 290543, 290514, 290522, 290530, 290536, 290538, 290531, 290539, 290535, 290541, 290517, 290523, 290519, 290544, 290524, 290534, 290520, 290547, 290546, 290542, 290516, 290533, 290532, 290521, 290548, 290537, 31232, 290513, 290529, 290540, 60402, 290518, 290527, 290515, 290545, 290528, 290526, 290525]"
mp-1178141,KDyO2,3.976,0.000,True,[]
mp-1201270,KErF4,6.825,0.000,False,[186997]
mp-7959,KErO2,3.961,0.000,False,[27002]
mp-463,KF,5.996,0.000,False,"[53824, 52241, 64686]"
mp-8454,KF,6.356,0.104,False,[61558]
mp-757021,KGdO2,3.050,0.000,True,[]
mp-24084,KH,3.470,0.000,False,"[43432, 638207, 183287]"
