material_id,pretty_formula,band_gap,e_above_hull,theoretical,icsd_ids
mp-753721,GdOF,3.304,0.000,False,"[247803, 247805, 247806, 184007, 247802, 247804]"
mp-2472,SrO,3.287,0.000,False,"[181061, 181274, 180194, 28904, 248393, 109461, 163625, 105548, 249178, 52276, 187678, 26960]"
mp-18051,La2TiO5,3.286,0.000,False,"[195207, 261167, 262618, 28277, 247559]"
mp-3952,BaY2O4,3.249,0.000,False,"[78483, 166845, 89640, 427510]"
mp-7500,Na4SiO4,3.222,0.000,False,"[15500, 62594]"
mp-8470,NaPrO2,3.197,0.000,False,[61682]
mp-1019967,LaSi3N5,3.193,0.000,False,[130022]
mp-23702,LiH2N,3.144,0.000,False,"[168793, 165467, 182470, 156000, 51679, 10354, 173179, 237203, 182471, 37370, 161017, 168792, 154395]"
mp-23714,SrH2,3.131,0.000,False,"[69077, 81426, 163569, 155988]"
mp-556168,Na7Al3O8,3.117,0.000,False,[26405]
mp-5088,NaGdO2,3.117,0.000,False,"[22040, 97542]"
mp-551835,Ba2I2O,3.113,0.000,False,[391434]
mp-4511,La2SO2,3.080,0.000,False,"[31640, 31614, 260145, 154583, 14280]"
mp-12671,Er2SO2,3.073,0.000,False,[109334]
mp-2931,Li2TiO3,3.043,0.000,False,"[261238, 261236, 162215, 15150, 261239]"
mp-23703,LiH,3.018,0.000,False,"[638265, 638263, 44748, 61751, 173192, 61749, 61754, 61752, 26874, 638266, 173177, 173178, 26873, 157495, 173205, 168789, 61750, 187680, 28557, 61753, 187681, 56066, 53975, 603869]"
mp-24383,Mg(H2N)2,3.014,0.000,False,"[16222, 157494, 156001]"
mp-23713,CaH2,3.008,0.000,False,"[156881, 156882, 156883, 23870, 157944, 155987, 261185, 261636, 260873, 81425, 261635, 619336, 1090]"
mp-865934,YbF2,6.735,0.000,True,[]
mp-542201,Ba3Nb2O8,4.500,0.000,True,[]
mp-769173,PrOF,4.436,0.000,True,[]
mp-990440,Na2ZrO3,4.359,0.000,True,[]
mp-769271,Sr4Ta2O9,4.197,0.000,True,[]
mp-755417,Ba3(BO3)2,4.170,0.000,True,[]
mp-1222825,Lu4Zr3O12,4.118,0.000,True,[]
mp-755013,Li5TaO5,3.720,0.000,True,[]
mp-754027,NaSmO2,3.613,0.000,True,[]
mp-770771,SrSc2O4,3.436,0.000,True,[]
mp-755586,NaLaO2,3.241,0.000,True,[]
