material_id,pretty_formula,FullWindow
mp-9967,NdSi,True
mp-355,Nd5Si4,True
mp-19879,PPd3,True
mp-1618,PPd6,True
mp-1820,YbS,True
mp-12673,Lu2SO2,True
mp-1427,Lu2O3,True
mp-11266,BaCd2,True
mp-9909,Ba5Sb3,True
mp-527,BaCd,True
mp-8093,Ba2Cd,True
mp-2801,CeCu2,True
mp-1096,CeS,True
mp-581942,CeCu6,True
mp-570001,Al6Fe,True
mp-2658,AlFe,True
mp-1183162,AlFe3,True
mp-13155,Hf2Ag,True
mp-13156,HfAg,True
mp-21289,TiZn3,True
mp-1014229,Ti2Zn,True
mp-1014230,TiZn,True
mp-543051,Lu5Sb3,True
mp-516,LuSb,True
mp-2681,Ho5Sb3,True
mp-812,Ho2O3,True
mp-2050,HoSb,True
mp-2147,SrGe,True
mp-2472,SrO,True
mp-30950,Sr3GeO,True
mp-2576,Sr2Ge,True
mp-1218382,Sr4Bi2O,True
mp-29620,Sr5Bi3,True
mp-979289,TaW3,True
mp-1187206,Ta3W,True
mp-1217811,TaW,True
mp-683,Pr2C3,True
mp-2384,LaP,True
mp-1038,MgCu2,True
mp-2481,Mg2Cu,True
mp-1342,BaO,True
mp-3020,BaNbO3,True
mp-542201,Ba3Nb2O8,True
mp-4651,SrTiO3,True
mp-5532,Sr2TiO4,True
mp-3349,Sr3Ti2O7,True
mp-2011,UP,True
mp-787,U3P4,True
mp-1377,ThCu2,True
mp-503,ThS,True
mp-1217740,Th14Cu51,True
mp-12834,ThCu6,True
mp-279,LiIr,True
mp-30738,LiIr3,True
mp-30579,ErCu5,True
mp-1024991,ErCu2,True
mp-1955,ErCu,True
mp-2491,ErSe,True
mp-1203025,Np2N3,True
mp-2596,NpN,True
mp-10688,CeO,True
mp-542313,Ce2O3,True
mp-2629,Ce7O12,True
mp-760323,Ce5O9,True
mp-23222,Li3Bi,True
mp-23870,NaH,True
mp-504886,Gd2O3,True
mp-1215377,Zr4O,True
mp-1200894,Zr3As,True
mp-561418,Zr3O,True
mp-1682,ZrAs,True
mp-972228,Zr3As2,True
mp-1191610,Zr7As4,True
mp-1203256,Zr14As9,True
mp-1198302,Nb3Ge,True
mp-16842,Nb5Ge3,True
mp-1598,Na3P,True
mp-31430,Na2In,True
mp-2352,Na2O,True
mp-769284,Dy2SeO2,True
mp-814,DySe,True
mp-2345,Dy2O3,True
mp-18350,V3P,True
mp-684675,V12P7,True
mp-1192783,V4P3,True
mp-20541,V2P,True
mp-20689,Nb3B2,True
mp-2580,NbB,True
mp-450,NbB2,True
mp-10255,Nb3B4,True
mp-1080021,Nb2B3,True
mp-3211,Nd2SO2,True
mp-1748,NdS,True
mp-1193889,HoBe13,True
mp-576,B13C2,True
mp-574275,Li17Pb4,True
mp-30761,Li7Pb2,True
mp-30760,Li3Pb,True
mp-2350,LaS,True
mp-614724,Cs3CrF7,True
mp-739,TiP,True
mp-1191079,Ti7P4,True
mp-30218,Ti2P,True
mp-31214,Ti3P,True
mp-616559,Ti2S,True
mp-1224756,Hf14Cu51,True
mp-30581,Hf2Cu,True
mp-1200988,Hf7Cu10,True
mp-7353,Hf3Cu8,True
mp-1102043,LaOs2,True
mp-16839,Na3WN3,True
mp-978,Sr2Sn,True
mp-15698,Sr5As3,True
mp-17720,Sr5Sn3,True
mp-1698,SrSn,True
mp-29424,Sr4As3,True
mp-570240,La14C14Cl9,True
mp-2367,LaC2,True
mp-567694,La2C2Cl,True
mp-1184,La2C3,True
mp-2795,ZrC,True
mp-684623,Zr10C9,True
mp-21009,EuSe,True
mp-2599,NdN,True
mp-11908,Lu5Si3,True
mp-1001612,LuSi,True
mp-504502,Ta3P,True
mp-22477,Ta2P,True
mp-1067587,TaP,True
mp-769271,Sr4Ta2O9,True
mp-1077933,GdCu2,True
mp-510404,GdSe,True
mp-614455,GdCu,True
mp-636253,GdCu5,True
mp-9972,YSi,True
mp-677445,Y4SiS3,True
mp-1534,YS,True
mp-2538,Y5Si3,True
mp-1216441,Zr14Cu51,True
mp-193,Zr2Cu,True
mp-1188077,Zr7Cu10,True
mp-1039345,CeMg2,True
mp-1038976,CeMg5,True
mp-19918,GdGe,True
mp-1198083,Gd5Ge4,True
mp-510402,GdS,True
mp-1186974,Sc3Tl,True
mp-7396,Li3Tl,True
mp-12283,Li5Tl2,True
mp-1786,Ti3Au,True
mp-1087547,EuCu,True
mp-2066,EuCu5,True
mp-1071732,EuCu2,True
mp-1018148,ScAu2,True
mp-11256,ScAu,True
mp-2462,PrCu5,True
mp-1071904,PrCu2,True
mp-1079091,PrCu,True
mp-1095690,Tm2Au,True
mp-1017507,TmAu,True
mp-560,TmAu2,True
mp-1102972,Er2Au,True
mp-11243,ErAu,True
mp-2466,ErAu2,True
mp-1103411,Dy2Au,True
mp-1007918,DyAu,True
mp-11241,DyAu2,True
mp-1080443,YCu,True
mp-2698,YCu2,True
mp-2797,YCu5,True
mp-2714,Pr2Au,True
mp-1079915,PrAu,True
mp-30415,PrAu2,True
mp-1071698,EuAu2,True
mp-1078589,EuAu,True
mp-1189094,Eu3Au,True
mp-1106137,Eu7Au3,True
mp-1104457,Eu3Au2,True
mp-2796,TmAg,True
mp-30359,TmAg2,True
mp-1229012,AgPd,True
mp-985296,Ag3Pd,True
mp-1436,EuAg2,True
mp-665747,EuAg,True
mp-621667,Eu3Ag2,True
mp-542568,EuAg5,True
mp-1202213,Cs8Ga11Cl,True
mp-2605,CaO,True
mp-1078920,LaCu,True
mp-2051,LaCu2,True
mp-2613,LaCu5,True
mp-1194443,LaCu13,True
mp-972521,SmGe,True
mp-1506,Sm5Ge4,True
mp-1447,SmSe,True
mp-9339,NbP,True
mp-505528,Nb3P,True
mp-505064,Nb2P,True
mp-648999,Nb5P3,True
mp-18254,Nb7P4,True
mp-983509,Na3Cd,True
mp-1217395,Th4C3,True
mp-1164,ThC,True
mp-643,ThO2,True
mp-1217298,Th5C,True
mp-1188514,Th2C3,True
mp-7224,ThC2,True
mp-20711,Fe3Ge,True
mp-601833,Fe13Ge3,True
mp-1363,Na2Au,True
mp-2744,LiPd,True
mp-728,Li2Pd,True
mp-1079855,LiPd7,True
mp-1197547,Li15Pd4,True
mp-861936,LiPd3,True
mp-1560,LaTe,True
mp-1103990,EuC6,True
mp-17904,Nd2TiO5,True
mp-1025059,LaAg2,True
mp-1948,LaAg,True
mp-11283,ZrBe5,True
mp-30445,ZrBe13,True
mp-2544,Zr2Be17,True
mp-541787,Na8Hg3,True
mp-31205,Zr3Fe,True
mp-1190681,ZrFe2,True
mp-582924,Zr6Fe23,True
mp-2823,NdP,True
mp-2116,ZrMn2,True
mp-12662,Re24Mo5,True
mp-1981,Ba2Sn,True
mp-872,BaSn,True
mp-567276,TaV2,True
mp-637224,Pu2O3,True
mp-24720,PuH2,True
mp-1959,PuO2,True
mp-639805,Ta3Ge,True
mp-17593,Ta5Ge3,True
mp-1210753,Li2Al,True
mp-23703,LiH,True
mp-16506,Li3Al2,True
mp-10890,LiAl3,True
mp-1067,LiAl,True
mp-18337,Be3N2,True
mp-11427,GdPd,True
mp-21427,GdPd3,True
mp-1190736,Ca8Al3,True
mp-2741,CaF2,True
mp-2404,CaAl2,True
mp-9774,Ba4Sb2O,True
mp-1500,BaS,True
mp-2602,NdAs,True
mp-999291,PrPd,True
mp-16705,Pr2O3,True
mp-1104184,Pr3Pd4,True
mp-1571,PrPd3,True
mp-11239,ZrAg,True
mp-2221,Zr2Ag,True
mp-28395,B6P,True
mp-1189967,Pr3Os,True
mp-567339,PrOs2,True
mp-510401,GdP,True
mp-931,ThP,True
mp-778,Fe2P,True
mp-20587,EuS,True
mp-24650,YH2,True
mp-2114,YN,True
mp-1849,Mn2P,True
mp-17751,Y5Ge3,True
mp-17381,Y3Ge4,True
mp-13360,Y5Ge4,True
mp-2637,YSe,True
mp-29210,Li2Ga,True
mp-9568,Li3Ga2,True
mp-1205930,Li5Ga4,True
mp-9546,Yb2C3,True
mp-1103975,YbC6,True
mp-1185628,Mg149Sb,True
mp-600561,LiRh,True
mp-1001787,LiRh3,True
mp-510430,Li13In3,True
mp-31324,Li2In,True
mp-21293,Li3In2,True
mp-867226,Li3In,True
mp-1184658,HgPd3,True
mp-1077442,CeAu2,True
mp-1025468,CeAu,True
mp-1095658,Tb2Au,True
mp-999141,TbAu,True
mp-570179,TbAu2,True
mp-1071422,CeAg2,True
mp-1080709,NdAu,True
mp-12788,Nd3Au4,True
mp-567586,Nd17Au36,True
mp-1102098,Nd2Au,True
mp-1217874,Tb14Ag51,True
mp-30358,TbAg2,True
mp-2268,TbAg,True
mp-13392,NdCu,True
mp-11852,NdCu2,True
mp-1140,NdCu5,True
mp-30841,UPd3,True
mp-1326,Nb3Sn,True
mp-1542,YB2,True
mp-637,YB4,True
mp-419,YbB6,True
mp-864603,YbH2,True
mp-1189298,YbB4,True
mp-1186271,NaMg149,True
mp-1185635,Mg149Tl,True
mp-20831,Gd4Sb3,True
mp-510403,GdSb,True
mp-570606,Pr4Ge3,True
mp-1674,PrSe,True
mp-511,PrGe,True
mp-867190,Pr4Ge7,True
mp-504731,EuF2,True
mp-201,Yb5Sb3,True
mp-1857,YbCd,True
mp-1187653,YbCd3,True
mp-770806,Sm2TiO5,True
mp-753192,Yb4Sb2O,True
mp-601,PrP,True
mp-13971,Nd2SeO2,True
mp-1453,NdSe,True
mp-7233,La2SeO2,True
mp-22266,GdB6,True
mp-1105563,GdB4,True
mp-28366,Gd2B5,True
mp-2748,CeAs,True
mp-18051,La2TiO5,True
mp-1766,TmS,True
mp-3556,Tm2SO2,True
mp-1767,Tm2O3,True
mp-467,Th3N4,True
mp-834,ThN,True
mp-1464,Nd5Ge3,True
mp-172,Nd5Ge4,True
mp-663,NdGe,True
mp-2015,Nd3Ge5,True
mp-865834,Yb3GeO,True
mp-1694,Yb2Ge,True
mp-21300,Yb5Ge4,True
mp-13973,Gd2SeO2,True
mp-1216020,Zn35Cu17,True
mp-987,ZnCu,True
mp-1368,Zn8Cu5,True
mp-1065,LaSb,True
mp-759,La2Sb,True
mp-1223,La4Sb3,True
mp-32606,Ba3P2,True
mp-17566,Ba5P4,True
mp-28823,Ba4P3,True
mp-9968,PrSi,True
mp-1079937,Pr3Si2,True
mp-27760,PrSi2,True
mp-1185586,Mg149Be,True
mp-855,MgBe13,True
mp-30842,ZrPd3,True
mp-266,Zr2Pd,True
mp-13495,ZrPd,True
mp-1623,ErS,True
mp-12671,Er2SO2,True
mp-679,Er2O3,True
mp-1213824,Ce4Ge3,True
mp-2563,CeSe,True
mp-1200696,Ce5Ge4,True
mp-1213848,Ce4Ge7,True
mp-2154,CeP,True
mp-1144,ErP,True
mp-13415,Ta3B2,True
mp-1097,TaB,True
mp-1108,TaB2,True
mp-10142,Ta3B4,True
mp-1269,SmS,True
